bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength,ins_score_sperm.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_5.3.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
100000,110000,0.9,100000,chr1,-0.0198765371437797,0.6588660330163288,-0.9479296368605954,-0.39425301247434663,-0.019876537143779724,-0.71099083734864,-0.5557535571848911,-0.5217567037668832,-0.7714798824345225
670000,680000,0.9,100000,chr1,-0.1783553169912936,0.7483689734687914,0.28234836959298215,0.22720727678699293,-0.17835531699129362,-0.3413354868015418,-0.37974053204897723,-0.40352401465544335,-0.31213079315067527
1090000,1100000,0.9,100000,chr1,-0.872794615274596,1.4340617077026296,-0.7480272253183519,-0.9842700269659612,-0.872794615274596,-0.9753442412444863,-1.0568982040591723,-0.4193515327502637,-0.4887384366770928
1340000,1350000,0.9,100000,chr1,-0.8683427548651882,1.4225501062127746,-0.7945202959858395,-0.8041143179482895,-0.8683427548651882,-1.0554111605302932,-0.9465184502775271,-1.2298083604488168,-0.8908012625716855
1630000,1640000,0.9,100000,chr1,-0.4489901174784324,0.903180827363346,-0.49087990127711484,-0.45728542430762714,-0.4489901174784324,-0.5631929774490664,-0.5324730376362193,-0.4412813542049884,-1.0313523438608823
2230000,2240000,0.9,100000,chr1,-0.3039714605371506,0.5520843336923749,0.20991836945073622,0.18558384092326152,-0.3039714605371506,-0.06880279876829914,-0.3847245553180831,-0.2697495854417276,-0.33389715312392326
2510000,2520000,0.9,100000,chr1,-0.7207399656970648,1.1136272891881394,-0.5430252155631662,-0.574696907417313,-0.7207399656970648,-0.7299864134885291,-0.77004312765069,-0.4775036293765957,-0.5305019143151967
3060000,3070000,0.9,100000,chr1,-0.4809391797495532,0.7506504158619658,-0.6503956221075133,-0.7409515172969204,-0.4809391797495532,-0.4344351049904751,-0.44435669770159525,-0.44452071177417873,-0.5292174456359146
3650000,3660000,0.9,100000,chr1,-1.564793897561122,2.789468905916582,-1.5339988670800828,-1.0920467836688263,-1.564793897561122,-1.5334823596405707,-1.5073757408916304,-1.5923312877555666,-1.4648352034723686
4410000,4420000,0.9,100000,chr1,-0.3647143758775999,0.5417087414784989,-0.0999681838548113,-0.2041826150620049,-0.36471437587759997,-0.24641948571285788,-0.3805273285447204,-0.5208589255838245,-0.4190690326786193
5210000,5220000,0.9,100000,chr1,-0.3683423563940499,0.5558663992595065,-0.15562044231497132,-0.1883247117343213,-0.3683423563940499,-0.09028031597113337,-0.31357927850886413,-0.1908152194741936,-0.42678728083653217
5560000,5570000,0.9,100000,chr1,-0.387853545285914,0.4498781992440883,-0.0830861161187701,-0.017356056654759776,-0.387853545285914,-0.06485407543489168,-0.2767302608816694,-0.059125766099302916,-0.1371197633746989
6360000,6370000,0.9,100000,chr1,-0.4231618732700822,0.6194168641801547,-0.1646445064257692,-0.17598637706424228,-0.4231618732700822,-0.1734962125694648,-0.345243150239012,-0.4019784186616018,-0.46103268561853444
6640000,6650000,0.9,100000,chr1,-0.3604863537085501,0.4853513341226974,-0.1258511241182122,-0.2781936663020217,-0.36048635370855014,-0.20813354408847745,-0.26649725465628,-0.7067216006194328,-0.4667205900010866
7930000,7940000,0.9,100000,chr1,-0.6009609909937301,0.8500666280213707,-0.4089376880315548,-0.3088984123141744,-0.6009609909937301,-0.4693550207936669,-0.4938481129735882,-0.5038205011959586,-0.3047443395577888
8480000,8490000,0.9,100000,chr1,-0.4240275748066798,0.6665381216872863,-0.1340493996046577,-0.061310419696642596,-0.4240275748066798,-0.4278269752569476,-0.4308927573406174,-0.5012703627488154,-0.46178232381873413
8930000,8940000,0.9,100000,chr1,-0.3276004280277645,0.6014168476002658,-0.05884852964325596,0.06190016156934066,-0.3276004280277645,-0.1438326605590337,-0.30098844818687714,-0.22740646968335665,-0.22099012394420456
10700000,10710000,0.9,100000,chr1,-0.3345802279100784,0.492939004344848,-0.01794198099470434,-0.10492983946871758,-0.33458022791007846,-0.19781516525138088,-0.31055438750697945,-0.4012144227536533,-0.3517495075963979
11130000,11140000,0.9,100000,chr1,-0.4891999782807202,0.8487365447559485,-0.33436086410977334,-0.3100380220855415,-0.48919997828072026,-0.38582220420104874,-0.37826851767177294,-0.5155401132832158,-0.34744568674715975
12400000,12410000,0.9,100000,chr1,-0.4182671703172819,0.487368920329877,-0.3246542335907337,-0.23676939035798553,-0.4182671703172819,-0.3598528855288655,-0.39254707990722515,-0.78453638532053,-0.5258554454513285
13920000,13930000,0.9,100000,chr1,-0.4536251644010335,0.5931253187563998,0.00289609426143464,-0.08251524708073218,-0.45362516440103356,-0.38299631576239695,-0.48457149788982046,-0.4685906172853751,-0.5254078046079497
16440000,16450000,0.9,100000,chr1,-0.3950564553114563,0.901716983605513,-0.11713662780344301,-0.05732858573437764,-0.39505645531145633,-0.20613914953424556,-0.26902121408315116,-0.4889816814583407,-0.3687731981315342
16680000,16690000,0.9,100000,chr1,-0.6536905166899173,1.173973832932754,-0.6196241799232359,-0.419131241755183,-0.6536905166899173,-0.48353748845033073,-0.655716330345074,-0.9355218338253336,-1.0118783140542111
16940000,16950000,0.9,100000,chr1,-0.3687474816741787,0.4666714069224467,-0.4772579615675294,-0.33313854125880005,-0.36874748167417876,-0.16523184249982267,-0.3192642420528802,-0.4026905274658332,-0.17342776310444183
18340000,18350000,0.9,100000,chr1,-0.3735111644958436,0.6792748017442816,-0.1896658436880144,-0.09776763645845972,-0.37351116449584365,-0.36152680253884795,-0.4020816001143618,-0.6056519630335416,-0.45514500423296456
18800000,18810000,0.9,100000,chr1,-0.3615468131387545,0.6169304313673636,-0.11613028697579776,0.028227077742740997,-0.36154681313875453,-0.35543361421920033,-0.45855784536179034,-0.4420121160595216,-0.2883631804794643
19110000,19120000,0.9,100000,chr1,-0.2938494461780888,0.7163681206515725,-0.11024330015196555,-0.016505664955296113,-0.2938494461780888,-0.2786246214114009,-0.16754224742237048,-0.4168594932312145,-0.3951146407298958
19850000,19860000,0.9,100000,chr1,-0.352230363600484,0.9134356411852508,-0.1528374866165077,-0.12046238727749743,-0.35223036360048404,-0.15072511725020935,-0.2987072442686566,-0.13918389124512295,-0.09078900969189091
20720000,20730000,0.9,100000,chr1,-0.3041762280277872,0.5261744781953517,-0.1307465563354917,-0.07512382885879319,-0.30417622802778727,-0.25176486751817184,-0.295439873630665,-0.4415526321444688,-0.18295470603071873
20870000,20880000,0.9,100000,chr1,-0.1594355906041299,0.4600361502626272,0.03599385399440198,0.07321094525309176,-0.1594355906041299,-0.15031612824902826,-0.08394559284495014,-0.23762147172473805,-0.11587256993955394
21310000,21320000,0.9,100000,chr1,-0.2893985245069026,0.5901519579682205,-0.07638526146657751,-0.217563058707853,-0.2893985245069026,-0.15585992877924257,-0.34682757576253426,-0.39925413153606,-0.2688017313828608
23240000,23250000,0.9,100000,chr1,-0.3456432722150148,0.6867543964644349,0.1175059843596006,0.03941227120523073,-0.34564327221501484,-0.128503692961174,-0.19390174758592493,-0.36042124790213514,-0.1807822201589838
23630000,23640000,0.9,100000,chr1,-0.2537255961808294,0.52896319314924,-0.28521401463462054,-0.27569878485419175,-0.25372559618082946,-0.2317938149476468,-0.3646461697835693,-0.3695707057964171,-0.392399148910328
23910000,23920000,0.9,100000,chr1,-0.582741493192764,1.1504380731219332,-0.24321653171218116,-0.7509949019431076,-0.582741493192764,-0.4820840590669184,-0.795339820959426,-0.9212821233779823,-0.8699790880947069
