bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength,ins_score_sperm.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_5.3.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
110000,120000,0.9,160000,chr1,-0.5415327310409555,0.7502131110905927,-0.5143625231301443,-0.028587517203085538,0.2356838759857302,-0.40231338362561614,-0.2546247144554026,-0.2643274454636838,-0.5415327310409555
620000,630000,0.9,160000,chr1,-0.4498791287322918,0.6518839001202431,0.27932842100915184,0.1113224798598909,0.055951749195504205,-0.42152510196168336,-0.17440295494770194,-0.32724670946128553,-0.44987912873229186
1080000,1090000,0.9,160000,chr1,-0.7170801840065483,1.0047466336822573,-0.32288415000214943,-0.7098299854517669,-0.6469023375655936,-0.7648916861639791,-0.8447862331433161,-0.5375867191813407,-0.7170801840065483
1340000,1350000,0.9,160000,chr1,-0.8099419105484547,1.2414785150542893,-0.42736544404392834,-0.5361096994997037,-0.6452212636366365,-0.7940004384468671,-0.7163998282104989,-1.0197019156814882,-0.8099419105484547
1630000,1640000,0.9,160000,chr1,-0.717206595126381,0.96823796991698,-0.37941793990904216,-0.28838034289406583,-0.4549763803425504,-0.41989934278005386,-0.4392224856796394,-0.3858848072110951,-0.717206595126381
2440000,2450000,0.9,160000,chr1,-0.8560123195568979,1.1367743047737386,-0.37512263722633965,-0.24520601410937645,-0.7216764420338585,-0.34791249366273413,-0.495487579189689,-0.9432221823801868,-0.8560123195568979
3160000,3170000,0.9,160000,chr1,-0.5524039301583203,0.7726524532482014,0.21989907225392247,-0.15297133657104908,-0.18630059678440852,-0.19937357126384547,-0.21008444245490004,-0.29151615097225736,-0.5524039301583203
3650000,3660000,0.9,160000,chr1,-1.2644568374033762,1.975050865108072,-1.3459873422728854,-1.005815862277352,-1.4726087597063642,-1.3594431903155675,-1.4882545873925104,-1.5170698984772795,-1.2644568374033762
4040000,4050000,0.9,160000,chr1,-0.3467050786636592,0.5776968253448982,0.10084148959965514,0.049449118354345116,-0.020766627391088765,-0.07937962625061386,0.018397399597741174,-0.3540182448244987,-0.34670507866365924
4420000,4430000,0.9,160000,chr1,-0.4784475071827114,0.7558319874252545,-0.0037599870791926076,-0.1063265483561172,-0.26764111257381357,-0.1364765702735975,-0.22281620955747167,-0.3463635040608056,-0.47844750718271145
5190000,5200000,0.9,160000,chr1,-0.4274203692357448,0.6266278682423468,-0.10767650234110464,-0.08582809249677668,-0.28080486007974964,-0.06747111592203922,-0.2843449957439029,-0.18456939128301025,-0.4274203692357448
6170000,6180000,0.9,160000,chr1,-0.4787748981835834,0.934393466639612,-0.09819367661829848,-0.12674652288155466,-0.05706274257830202,-0.13142356750224315,-0.04464635735807561,-0.3794327670283881,-0.47877489818358343
6670000,6680000,0.9,160000,chr1,-0.5592944327346215,0.783515405711706,-0.10356345533035528,-0.12975131824326594,-0.21891368456047577,-0.1106096213821717,-0.17292518840825605,-0.36227377523773185,-0.5592944327346215
