bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.9,20000,chr1,-1.8430645135717247,2.4388833205703127
150000,160000,0.9,20000,chr1,-0.5022540540338837,1.0865995817364738
600000,610000,0.9,20000,chr1,-0.4911704992131115,0.9583478779504664
760000,770000,0.9,20000,chr1,-4.190118766776558,6.093154257201094
780000,790000,0.9,20000,chr1,-3.4474103040809454,2.308303724440112
1080000,1090000,0.9,20000,chr1,-1.8639552210135442,2.797143188663018
1340000,1350000,0.9,20000,chr1,-2.9454746551682485,3.814008920396782
1630000,1640000,0.9,20000,chr1,-0.7889050023705898,1.3716237455143658
2510000,2520000,0.9,20000,chr1,-1.7578331150466044,2.3924061095580242
2610000,2620000,0.9,20000,chr1,-0.5992488069407913,1.118576498252449
2840000,2850000,0.9,20000,chr1,-0.5967289118952689,1.1728917569845134
2990000,3000000,0.9,20000,chr1,-0.9852746684757596,1.5672769280599392
3070000,3080000,0.9,20000,chr1,-1.69517428375458,2.3577589862356403
3100000,3110000,0.9,20000,chr1,-1.2638891305811206,1.5568982360271444
3120000,3130000,0.9,20000,chr1,-1.3057308592539616,2.091222385470861
3490000,3500000,0.9,20000,chr1,-0.35361663653148834,1.0634611475040487
3650000,3660000,0.9,20000,chr1,-4.13934101603024,5.242240734999919
3720000,3730000,0.9,20000,chr1,-0.41219426744156007,1.0284007894125056
3870000,3880000,0.9,20000,chr1,-1.0716286789611114,1.8848421919899163
4510000,4520000,0.9,20000,chr1,-0.7903616339372767,1.537365329294181
4700000,4710000,0.9,20000,chr1,-0.8292737877232784,1.0678086565126537
4780000,4790000,0.9,20000,chr1,-1.403946923587991,2.091300798806594
4840000,4850000,0.9,20000,chr1,-1.297632842687137,1.2269690664435864
5090000,5100000,0.9,20000,chr1,-0.6893873891081126,0.9976766650557555
5900000,5910000,0.9,20000,chr1,-1.0529836876159844,1.4954855685734667
6170000,6180000,0.9,20000,chr1,-0.8479177021081009,1.2394960993970052
7080000,7090000,0.9,20000,chr1,-0.6300062840129175,1.020334212170391
7820000,7830000,0.9,20000,chr1,-0.5513402518792501,0.9471944624237785
7940000,7950000,0.9,20000,chr1,-0.6360096185427089,1.1026807498542817
8270000,8280000,0.9,20000,chr1,-0.4652159129732282,0.9448541501030554
8690000,8700000,0.9,20000,chr1,-0.4872090285177166,0.977018391642579
9280000,9290000,0.9,20000,chr1,-0.6822996199152237,1.202161431086792
9980000,9990000,0.9,20000,chr1,-0.43578354233862526,0.9542206800171005
10130000,10140000,0.9,20000,chr1,-0.6742153189418323,1.3414668761680488
10910000,10920000,0.9,20000,chr1,-0.6373257872314544,1.0507524193617253
11990000,12000000,0.9,20000,chr1,-0.43196721631643753,0.9912645445312976
12260000,12270000,0.9,20000,chr1,-0.6672990216401706,1.2467566206055953
12810000,12820000,0.9,20000,chr1,-0.6120917801967833,0.97214518753532
13010000,13020000,0.9,20000,chr1,-0.8314341286293219,1.204942560393329
13560000,13570000,0.9,20000,chr1,-0.9162186534630843,1.5877483934389676
13810000,13820000,0.9,20000,chr1,-0.590195354559523,0.9406951715821582
14000000,14010000,0.9,20000,chr1,-0.8215210178856882,1.210752637479218
15030000,15040000,0.9,20000,chr1,-0.49183330635288275,1.0198478657011107
15280000,15290000,0.9,20000,chr1,-0.6505905349418555,1.0238212450956432
15730000,15740000,0.9,20000,chr1,-3.6094419636000565,4.755595687912132
15750000,15760000,0.9,20000,chr1,-3.422166468116458,3.0613988497550997
15870000,15880000,0.9,20000,chr1,-0.9467505560727657,1.1883067782723153
16140000,16150000,0.9,20000,chr1,-0.9573470489489515,1.5762267591609633
16510000,16520000,0.9,20000,chr1,-0.7490286549046075,1.0484955991660465
17180000,17190000,0.9,20000,chr1,-1.3340595490443028,2.0759898897798017
17230000,17240000,0.9,20000,chr1,-0.7426488918629919,1.0192168903299748
17720000,17730000,0.9,20000,chr1,-0.887796877432915,0.9434690911801168
17780000,17790000,0.9,20000,chr1,-0.8985443153714724,1.3284861671685975
17940000,17950000,0.9,20000,chr1,-0.807319796658832,1.1696177145509576
18140000,18150000,0.9,20000,chr1,-0.6320698714669091,1.0629490148527865
18350000,18360000,0.9,20000,chr1,-0.7947711602670982,0.9949712236228154
18660000,18670000,0.9,20000,chr1,-0.9591061394063253,1.4969910231933832
18820000,18830000,0.9,20000,chr1,-0.6771878183354682,1.008196003961477
19420000,19430000,0.9,20000,chr1,-0.765761940724711,1.283347394308182
19880000,19890000,0.9,20000,chr1,-0.5278228239433835,0.9662622603459969
20590000,20600000,0.9,20000,chr1,-0.5457353399722499,1.04441555281566
21200000,21210000,0.9,20000,chr1,-0.7724346427607053,1.3267489128120826
21600000,21610000,0.9,20000,chr1,-0.7521296574810266,1.4228455891918828
21730000,21740000,0.9,20000,chr1,-0.6887817195333918,0.941102752572023
22090000,22100000,0.9,20000,chr1,-0.4971367772239456,0.9715566472513966
22460000,22470000,0.9,20000,chr1,-1.368347195329042,2.2708046732428446
22640000,22650000,0.9,20000,chr1,-0.708306424659432,0.9999311013603122
22900000,22910000,0.9,20000,chr1,-0.5991598351513037,0.9410729646922835
23360000,23370000,0.9,20000,chr1,-0.5633026670727471,1.0808368861197581
23660000,23670000,0.9,20000,chr1,-0.819097000744839,1.1568823424194972
23920000,23930000,0.9,20000,chr1,-0.8626691774598543,1.4338084800179711
24360000,24370000,0.9,20000,chr1,-0.5363987393834896,1.0800734965850096
24660000,24670000,0.9,20000,chr1,-0.4750762054500256,0.9789392591342562
25480000,25490000,0.9,20000,chr1,-0.7695441346717427,1.332667804999838
26060000,26070000,0.9,20000,chr1,-0.8419839718538311,1.1862224725762358
26270000,26280000,0.9,20000,chr1,-1.0257015773479545,1.7655672284137727
26580000,26590000,0.9,20000,chr1,-0.7369417653644365,0.9796822470643198
26760000,26770000,0.9,20000,chr1,-0.7552620129534665,1.3805843256347647
26910000,26920000,0.9,20000,chr1,-0.4744406321877431,0.9598312576119445
27500000,27510000,0.9,20000,chr1,-0.3157479641525542,1.0242350289605944
28060000,28070000,0.9,20000,chr1,-0.7274744168808209,1.5873052903814893
28940000,28950000,0.9,20000,chr1,-0.7771156934463229,1.455218016093872
29140000,29150000,0.9,20000,chr1,-0.8281302564861075,1.649845154443117
29250000,29260000,0.9,20000,chr1,-0.5488894196819025,1.002577958923879
29660000,29670000,0.9,20000,chr1,-0.44512767814209764,1.112577592405564
30060000,30070000,0.9,20000,chr1,-1.2121094479978238,1.9872762365414385
30510000,30520000,0.9,20000,chr1,-0.7605984311407398,1.2574894097764289
31110000,31120000,0.9,20000,chr1,-0.4866625327499137,0.9674639116944594
31720000,31730000,0.9,20000,chr1,-0.6438515350190647,1.3344635579744069
32110000,32120000,0.9,20000,chr1,-2.3019095043759457,3.1428616255773876
32750000,32760000,0.9,20000,chr1,-0.679397092110654,1.0897056656299973
33210000,33220000,0.9,20000,chr1,-0.9385463105895113,1.504658329563164
33550000,33560000,0.9,20000,chr1,-0.85926995208953,1.246707900964443
33840000,33850000,0.9,20000,chr1,-0.7023482967477869,1.2387787348222676
34360000,34370000,0.9,20000,chr1,-0.7865635946080239,1.4135687985573173
34660000,34670000,0.9,20000,chr1,-0.6667264286101484,1.102182766323309
35450000,35460000,0.9,20000,chr1,-0.8580979508468725,1.5202718147046517
35610000,35620000,0.9,20000,chr1,-0.7541469965060302,1.0261221538162046
35890000,35900000,0.9,20000,chr1,-0.7180834298512674,1.2667943518444091
36150000,36160000,0.9,20000,chr1,-0.5634152895144681,0.9427507968259629
36690000,36700000,0.9,20000,chr1,-0.6645181224931799,1.2835351375203083
37470000,37480000,0.9,20000,chr1,-0.6352786106319888,1.033326966458287
37730000,37740000,0.9,20000,chr1,-0.6796004237778804,1.0677925180682935
38510000,38520000,0.9,20000,chr1,-0.7841805223980233,1.4203069817088863
38720000,38730000,0.9,20000,chr1,-0.7578220705878642,1.1196857274604821
38910000,38920000,0.9,20000,chr1,-0.6386694830951207,1.1894887116289796
38940000,38950000,0.9,20000,chr1,-0.89301246502953,1.4434829389753263
39330000,39340000,0.9,20000,chr1,-0.5316022962897544,0.954483377367361
40230000,40240000,0.9,20000,chr1,-0.7823719311225187,1.256313360459336
40710000,40720000,0.9,20000,chr1,-5.575802885849638,7.88708652726652
40930000,40940000,0.9,20000,chr1,-0.7175598462575773,1.0352240348840591
41280000,41290000,0.9,20000,chr1,-0.808162235888633,1.0055788037852154
41570000,41580000,0.9,20000,chr1,-1.8534704994091964,2.1873812120620313
42880000,42890000,0.9,20000,chr1,-0.8147460258039138,1.2210987300479959
43410000,43420000,0.9,20000,chr1,-0.6019880102365023,1.0397175596600472
43490000,43500000,0.9,20000,chr1,-0.6199472939615218,1.0650930949693798
43860000,43870000,0.9,20000,chr1,-0.5986979493441441,0.997568048100584
44160000,44170000,0.9,20000,chr1,-0.8588807437126172,1.4643774879985734
45040000,45050000,0.9,20000,chr1,-0.6630178053536598,1.263629692246507
45300000,45310000,0.9,20000,chr1,-0.5965357622156462,1.0014817094808508
46030000,46040000,0.9,20000,chr1,-1.7650777134604656,2.5764235242583977
46590000,46600000,0.9,20000,chr1,-0.6345779230016961,1.0116675051960293
48010000,48020000,0.9,20000,chr1,-0.5927323108183963,0.9693830434835666
48580000,48590000,0.9,20000,chr1,-0.8453270479071906,1.4497681688194182
48680000,48690000,0.9,20000,chr1,-0.5017957423997428,1.0752541529961206
49350000,49360000,0.9,20000,chr1,-0.6616233601346124,1.3554226711292254
51070000,51080000,0.9,20000,chr1,-0.5029325607353838,0.9773842467994034
51410000,51420000,0.9,20000,chr1,-0.5765879128605712,1.1330937986171588
51720000,51730000,0.9,20000,chr1,-0.5191982607470504,1.0079372038856516
52080000,52090000,0.9,20000,chr1,-0.7136023037164215,1.177372110180061
52750000,52760000,0.9,20000,chr1,-1.127732971360546,2.0145348293456062
53090000,53100000,0.9,20000,chr1,-0.43643593854186047,0.9607706095897928
53650000,53660000,0.9,20000,chr1,-0.5409210074927057,1.157744728107851
53920000,53930000,0.9,20000,chr1,-0.35961795537939223,1.0039990946028843
54620000,54630000,0.9,20000,chr1,-0.632543711888835,1.4066235612161337
55080000,55090000,0.9,20000,chr1,-0.4699144502723042,1.23359202687417
55340000,55350000,0.9,20000,chr1,-0.44890359321143836,1.5684444910362325
55690000,55700000,0.9,20000,chr1,-0.4333104647704361,1.5150352721480194
55730000,55740000,0.9,20000,chr1,-0.6478452226652913,1.3937856182765425
56190000,56200000,0.9,20000,chr1,-0.3814910411986556,1.0113728729621219
56380000,56390000,0.9,20000,chr1,-0.6669240163957133,1.071182292576061
56420000,56430000,0.9,20000,chr1,-1.103603178413038,1.8294648520854049
56700000,56710000,0.9,20000,chr1,-1.7294474776085074,3.5250491662231775
57200000,57210000,0.9,20000,chr1,-0.14976996542918528,1.194662372453141
57290000,57300000,0.9,20000,chr1,-0.3670080041508238,1.3607266466715418
57720000,57730000,0.9,20000,chr1,-0.14273182974165574,1.110351362013793
57990000,58000000,0.9,20000,chr1,-0.3924390964519436,1.9317703366189745
58430000,58440000,0.9,20000,chr1,-0.04769578815501105,1.0341074917448885
58680000,58690000,0.9,20000,chr1,-0.7148580703918621,1.4068895454521573
58730000,58740000,0.9,20000,chr1,-0.3324949378900589,0.981562031904111
58930000,58940000,0.9,20000,chr1,-3.1933644862541284,3.442860068492427
58950000,58960000,0.9,20000,chr1,-3.3178238817028576,3.4506414326488875
58970000,58980000,0.9,20000,chr1,-3.0179132800315527,2.077024601810609
59000000,59010000,0.9,20000,chr1,-4.024695132422308,4.811021620956572
59050000,59060000,0.9,20000,chr1,-4.046869028032338,6.358152669449222
59190000,59200000,0.9,20000,chr1,-0.5413001542629508,1.1099149912393136
59230000,59240000,0.9,20000,chr1,-1.0027578230046135,1.6968875618873458
59330000,59340000,0.9,20000,chr1,-1.0626981829139603,2.104996667983334
70000,80000,0.9,20000,chr2,-1.3649731910834964,2.1093220846623573
90000,100000,0.9,20000,chr2,-1.117869055405864,1.3167396536986662
150000,160000,0.9,20000,chr2,-2.8861116288656605,3.7528800519208794
240000,250000,0.9,20000,chr2,-2.7241352834591974,3.2734647239968995
350000,360000,0.9,20000,chr2,-2.5837822196267863,2.8822253730724867
550000,560000,0.9,20000,chr2,-1.0164689776180007,1.6311025960615777
650000,660000,0.9,20000,chr2,-1.0316983003606188,1.6579455106196317
1130000,1140000,0.9,20000,chr2,-1.1701052503234515,1.4415451931299617
1220000,1230000,0.9,20000,chr2,-2.089770075941503,2.7294713846683787
1330000,1340000,0.9,20000,chr2,-0.5928708615764174,0.9759908987172574
1580000,1590000,0.9,20000,chr2,-0.6027366024536488,1.0987678382207013
1960000,1970000,0.9,20000,chr2,-0.5233873116257414,1.0673144216483972
2240000,2250000,0.9,20000,chr2,-0.6576330038491801,1.232721543699327
2470000,2480000,0.9,20000,chr2,-1.1145030789312833,1.9433719309546036
2610000,2620000,0.9,20000,chr2,-3.853443218939855,4.854985488854858
2910000,2920000,0.9,20000,chr2,-1.1051342700732585,1.46026016622456
2980000,2990000,0.9,20000,chr2,-1.0580008278107245,1.4706589128096486
3000000,3010000,0.9,20000,chr2,-1.079974743295701,1.5821111607098284
3910000,3920000,0.9,20000,chr2,-1.2886849027608103,1.9638896515682793
4080000,4090000,0.9,20000,chr2,-0.594500926926289,1.0880396517447513
4400000,4410000,0.9,20000,chr2,-0.5790346984224938,1.0142433689765231
5090000,5100000,0.9,20000,chr2,-0.7834833348656569,1.4674135434071909
5720000,5730000,0.9,20000,chr2,-0.5209175000151804,0.9983950332186698
6240000,6250000,0.9,20000,chr2,-0.5927078981166687,0.9986980922953488
6640000,6650000,0.9,20000,chr2,-0.710686297409889,1.2526516930284983
7250000,7260000,0.9,20000,chr2,-0.5923318724465156,1.3998571898638588
7670000,7680000,0.9,20000,chr2,-0.5572385943480302,1.3828441970750873
7760000,7770000,0.9,20000,chr2,-0.5212088356541682,1.120561881788373
8240000,8250000,0.9,20000,chr2,-0.684972852128859,1.1004923656328969
9180000,9190000,0.9,20000,chr2,-1.2433090785516303,1.6930182976001662
9300000,9310000,0.9,20000,chr2,-0.6535749191585325,0.9744433641651278
9570000,9580000,0.9,20000,chr2,-0.6550460835299222,1.0883845960474843
9930000,9940000,0.9,20000,chr2,-0.6921979752525765,1.012429878630365
10260000,10270000,0.9,20000,chr2,-1.9035744199875262,2.8387012895672377
10410000,10420000,0.9,20000,chr2,-0.7917646970020261,1.1011365221872915
11030000,11040000,0.9,20000,chr2,-0.4624098634697472,1.200807884218387
11910000,11920000,0.9,20000,chr2,-0.5924266956311085,1.3448366847396025
12290000,12300000,0.9,20000,chr2,-0.9538781410483549,1.8044863927624881
12500000,12510000,0.9,20000,chr2,-0.6828872129768015,1.1282256192355504
13010000,13020000,0.9,20000,chr2,-0.8826721063412466,1.5710086080049757
13240000,13250000,0.9,20000,chr2,-0.40224185823055436,1.189818388424331
13410000,13420000,0.9,20000,chr2,-0.35835856672811606,1.3330822901256019
13440000,13450000,0.9,20000,chr2,-0.24894623943259386,1.1624337606069308
13680000,13690000,0.9,20000,chr2,-4.403380240982739,5.462964910852859
14490000,14500000,0.9,20000,chr2,-2.175505975201904,3.2014227618304014
14900000,14910000,0.9,20000,chr2,-0.7707004021044266,1.3701823952872716
15450000,15460000,0.9,20000,chr2,-0.7367099103638135,1.125792098569632
15600000,15610000,0.9,20000,chr2,-0.9401463615676888,0.9708427335064983
15620000,15630000,0.9,20000,chr2,-1.3152639968357842,1.833051208732881
15670000,15680000,0.9,20000,chr2,-1.1043845205897203,1.311096222535989
15770000,15780000,0.9,20000,chr2,-0.959178415876682,1.4693152010189752
16170000,16180000,0.9,20000,chr2,-0.6050263618107248,0.9920688257117025
16440000,16450000,0.9,20000,chr2,-1.3404858785341316,2.308897835791382
16700000,16710000,0.9,20000,chr2,-0.44707380846680866,0.9909761366692983
16800000,16810000,0.9,20000,chr2,-0.6100450279001504,1.22934764495071
17740000,17750000,0.9,20000,chr2,-0.7869206023840598,1.5764136522726429
18620000,18630000,0.9,20000,chr2,-0.5717613327404937,0.9956581351963683
18950000,18960000,0.9,20000,chr2,-0.6326645579161099,1.2879458603322627
19780000,19790000,0.9,20000,chr2,-0.4751209419920913,1.0514205966048877
19890000,19900000,0.9,20000,chr2,-0.48367126248612397,0.9809833351769146
20380000,20390000,0.9,20000,chr2,-0.5540533698848162,1.1993108608702159
20860000,20870000,0.9,20000,chr2,-0.5872562324141679,1.4987184411699812
21440000,21450000,0.9,20000,chr2,-0.504242043214098,0.9939771534922834
21920000,21930000,0.9,20000,chr2,-0.6049719116415385,1.1683489149476203
22580000,22590000,0.9,20000,chr2,-2.0797676795374347,3.1385115655260902
23030000,23040000,0.9,20000,chr2,-1.0515728179267727,1.7428443068447814
23170000,23180000,0.9,20000,chr2,-0.45127375147385496,1.127461490189956
23940000,23950000,0.9,20000,chr2,-0.5289331837194688,1.002990865968859
24470000,24480000,0.9,20000,chr2,-0.7800196549378394,1.6973367055295006
24910000,24920000,0.9,20000,chr2,-0.6750190922086903,0.9819893159953855
25530000,25540000,0.9,20000,chr2,-0.6513358543618165,1.0665887332212625
25910000,25920000,0.9,20000,chr2,-0.7340536400654503,1.1772701338675904
26830000,26840000,0.9,20000,chr2,-0.5590133375320713,1.0881522654464106
27560000,27570000,0.9,20000,chr2,-0.628142434411115,1.2542437650260028
28160000,28170000,0.9,20000,chr2,-0.5406920047855016,1.1697305632576716
28430000,28440000,0.9,20000,chr2,-0.8358433698704824,1.0732476365902532
28570000,28580000,0.9,20000,chr2,-1.1497291992596321,2.069001165165661
28680000,28690000,0.9,20000,chr2,-0.8033756169431528,1.1198301022424597
29310000,29320000,0.9,20000,chr2,-0.8223784435619688,1.6489287137147786
31070000,31080000,0.9,20000,chr2,-0.7876035982867926,1.1104452455744265
31740000,31750000,0.9,20000,chr2,-0.5965215856991646,1.0992222203579607
32010000,32020000,0.9,20000,chr2,-0.5890132429425369,1.0176842613229882
33320000,33330000,0.9,20000,chr2,-0.7377504666207984,1.3054792410842069
34170000,34180000,0.9,20000,chr2,-0.5214268833184256,0.9857621081243804
34280000,34290000,0.9,20000,chr2,-0.6212839017228081,1.1587174000101559
34490000,34500000,0.9,20000,chr2,-0.6481638742333337,1.0722023278917499
35150000,35160000,0.9,20000,chr2,-0.7696006404907475,1.4673953800710795
35970000,35980000,0.9,20000,chr2,-0.6928524396123701,1.2121622095741116
37420000,37430000,0.9,20000,chr2,-1.1083318781706315,1.6336465804660762
38600000,38610000,0.9,20000,chr2,-0.6800318893183843,1.0227321970035104
38720000,38730000,0.9,20000,chr2,-1.1922489178573792,1.874208070387379
39250000,39260000,0.9,20000,chr2,-0.6248971382836966,0.9717548271508034
39690000,39700000,0.9,20000,chr2,-0.7209191734407996,1.3524755193242324
39850000,39860000,0.9,20000,chr2,-0.712202230066342,1.012185396894656
39940000,39950000,0.9,20000,chr2,-0.45436774556850584,1.0869401781992114
40950000,40960000,0.9,20000,chr2,-0.8078687629742134,1.270496143258751
41740000,41750000,0.9,20000,chr2,-5.6468616205234525,7.337191385361571
41790000,41800000,0.9,20000,chr2,-5.227958885766718,5.3970607218052065
42390000,42400000,0.9,20000,chr2,-1.4639222234830336,1.8140344045225518
42870000,42880000,0.9,20000,chr2,-2.0409086149500593,2.4183187262977874
43130000,43140000,0.9,20000,chr2,-0.8720600362757628,1.3232639630454166
43190000,43200000,0.9,20000,chr2,-0.7313941031523815,1.1188786796228198
43540000,43550000,0.9,20000,chr2,-1.3028181412754838,1.2420517585950965
43580000,43590000,0.9,20000,chr2,-2.0718533886748545,2.895090852561006
43660000,43670000,0.9,20000,chr2,-1.6942531717287708,2.195778759865949
43930000,43940000,0.9,20000,chr2,-3.2992230152011386,4.403905053441706
44750000,44760000,0.9,20000,chr2,-0.5486148750171722,1.0576758790573917
45480000,45490000,0.9,20000,chr2,-1.1846979588531652,1.8210735031486778
45790000,45800000,0.9,20000,chr2,-0.5045155088243473,1.0546444804763269
46070000,46080000,0.9,20000,chr2,-1.334283958246472,2.1018082784246217
46100000,46110000,0.9,20000,chr2,-0.8406836303669687,1.183085366912746
46210000,46220000,0.9,20000,chr2,-0.8963851803865923,1.354325407086729
46300000,46310000,0.9,20000,chr2,-1.0750127005173038,1.5563905504864353
46410000,46420000,0.9,20000,chr2,-0.7653723835836542,1.1552752095541976
46610000,46620000,0.9,20000,chr2,-1.1304382611943244,1.4350788151892373
46920000,46930000,0.9,20000,chr2,-1.5267888293806398,2.645260391744042
47370000,47380000,0.9,20000,chr2,-0.4211768494498919,1.0938941093282766
47690000,47700000,0.9,20000,chr2,-0.5848199212058909,1.1233489531298897
48180000,48190000,0.9,20000,chr2,-0.6709032585409732,1.0418823029849769
48600000,48610000,0.9,20000,chr2,-1.1943434061533718,2.0465105637219096
48750000,48760000,0.9,20000,chr2,-0.9944004837604633,2.0123779027006456
49230000,49240000,0.9,20000,chr2,-0.6184410541532968,1.098452520485688
49850000,49860000,0.9,20000,chr2,-0.3570910078419025,0.9928565046850734
50060000,50070000,0.9,20000,chr2,-1.0153069075967898,1.7125329755397662
50290000,50300000,0.9,20000,chr2,-0.7537374920237822,1.3408818565955425
51110000,51120000,0.9,20000,chr2,-0.585674577510293,0.9958401621978599
51930000,51940000,0.9,20000,chr2,-0.689582360975024,1.3584467365474802
52080000,52090000,0.9,20000,chr2,-0.6778926188038837,1.1606673213234922
52450000,52460000,0.9,20000,chr2,-0.815725178371971,1.5111527045245707
52850000,52860000,0.9,20000,chr2,-0.6033205555245447,1.1660110193007112
53180000,53190000,0.9,20000,chr2,-2.0588099006659815,2.6120252783490954
53270000,53280000,0.9,20000,chr2,-2.868590768720678,3.763902714717635
53560000,53570000,0.9,20000,chr2,-0.7261164198801512,1.1303241095045544
53680000,53690000,0.9,20000,chr2,-1.1954746518133423,1.6892253559462411
53890000,53900000,0.9,20000,chr2,-4.920360504538037,5.986361298449348
54350000,54360000,0.9,20000,chr2,-0.9397166246009349,1.2784910986524767
54700000,54710000,0.9,20000,chr2,-0.7544404269835585,1.0264398117180027
54860000,54870000,0.9,20000,chr2,-1.91750235481814,2.3328818305568486
54980000,54990000,0.9,20000,chr2,-2.147415608607366,2.8015116629811807
55850000,55860000,0.9,20000,chr2,-1.1701079654802617,1.7679018288904493
56470000,56480000,0.9,20000,chr2,-3.5332597135187473,4.255261242955204
