bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.9,20000,chr1,-2.032812161113504,2.9550244802056103
600000,610000,0.9,20000,chr1,-1.1609039803315016,2.0552128844730038
780000,790000,0.9,20000,chr1,-2.691174310310697,3.551041829674982
1080000,1090000,0.9,20000,chr1,-2.302584134642874,3.1136052489400154
1340000,1350000,0.9,20000,chr1,-3.741361316760098,5.221282136719436
1530000,1540000,0.9,20000,chr1,-0.4131423290859109,1.2997858575966417
1630000,1640000,0.9,20000,chr1,-0.8699259591791487,1.7756581729020888
1740000,1750000,0.9,20000,chr1,-0.7902469493903073,1.5848206866486918
1800000,1810000,0.9,20000,chr1,-0.5641769161272892,1.4239175752643018
2440000,2450000,0.9,20000,chr1,-0.6623160119945706,1.3190486083936133
2510000,2520000,0.9,20000,chr1,-2.6990814707446384,3.847670265261583
2930000,2940000,0.9,20000,chr1,-0.8995352369386346,1.3032619831757515
3060000,3070000,0.9,20000,chr1,-1.7356019374077833,2.739502538252487
3300000,3310000,0.9,20000,chr1,-0.6595999644778797,1.4887850797565378
3730000,3740000,0.9,20000,chr1,-1.1295457648549059,2.112153455213246
3910000,3920000,0.9,20000,chr1,-1.0726496384404145,1.8545673468455073
4020000,4030000,0.9,20000,chr1,-0.6519100538332991,1.28795106943726
4190000,4200000,0.9,20000,chr1,-0.9886476202344957,1.411495697430186
4430000,4440000,0.9,20000,chr1,-1.4705608545118942,2.127216506067342
4780000,4790000,0.9,20000,chr1,-1.3194580727710572,1.858983962251185
4840000,4850000,0.9,20000,chr1,-1.7422262645730324,2.835928463798296
4880000,4890000,0.9,20000,chr1,-1.452369110102028,1.9576300214424704
4950000,4960000,0.9,20000,chr1,-1.1661651651584066,1.539435134874016
5150000,5160000,0.9,20000,chr1,-0.6866748337342333,1.3079631103804261
5560000,5570000,0.9,20000,chr1,-1.1561500011862345,1.7532216834738579
6640000,6650000,0.9,20000,chr1,-0.8684319559637858,1.3260240805524623
7030000,7040000,0.9,20000,chr1,-1.0344046320710427,1.416327912157389
7170000,7180000,0.9,20000,chr1,-1.2350054985594205,1.910106065384525
7540000,7550000,0.9,20000,chr1,-0.7078062070030398,1.3013081650536131
7730000,7740000,0.9,20000,chr1,-0.8519425607872638,1.48836338980498
7930000,7940000,0.9,20000,chr1,-1.3765632795426028,2.1590328591882813
8410000,8420000,0.9,20000,chr1,-0.8905435302785466,1.261041463840441
9020000,9030000,0.9,20000,chr1,-1.0247053184568466,1.4940218475794884
9200000,9210000,0.9,20000,chr1,-0.6906065857935098,1.2861332390822957
9490000,9500000,0.9,20000,chr1,-0.6781873914033805,1.2424524980853036
9720000,9730000,0.9,20000,chr1,-0.7310550677364693,1.37772962456291
10020000,10030000,0.9,20000,chr1,-0.7511759919476468,1.3159889706173287
10250000,10260000,0.9,20000,chr1,-1.2700805026144797,2.059208209441901
10710000,10720000,0.9,20000,chr1,-0.8376949780975547,1.2252385133631174
11360000,11370000,0.9,20000,chr1,-1.086666362177537,1.5148669120642613
11740000,11750000,0.9,20000,chr1,-0.895124574601941,1.4861038057622236
11990000,12000000,0.9,20000,chr1,-0.8098150435652338,1.360355678134801
12560000,12570000,0.9,20000,chr1,-1.0351795386186498,1.413611425462669
13010000,13020000,0.9,20000,chr1,-1.0662651173929052,1.2635496211319273
13100000,13110000,0.9,20000,chr1,-1.3142799091197856,1.8091426136403217
13320000,13330000,0.9,20000,chr1,-0.9846609630792124,1.2191938962011752
13760000,13770000,0.9,20000,chr1,-1.590054416084166,2.3080813469408876
13890000,13900000,0.9,20000,chr1,-0.9084184342051115,1.606063277893464
14090000,14100000,0.9,20000,chr1,-0.8849752259261654,1.4634037331787964
14770000,14780000,0.9,20000,chr1,-0.8492747725913815,1.43460405335996
15080000,15090000,0.9,20000,chr1,-0.960325815949581,1.2883105911660324
15330000,15340000,0.9,20000,chr1,-1.0531352437635542,1.5165044097158926
15470000,15480000,0.9,20000,chr1,-0.9161560934790927,1.226574823030146
15730000,15740000,0.9,20000,chr1,-3.1969016249748408,2.1402789025711964
15750000,15760000,0.9,20000,chr1,-3.4395568528729648,4.679447374557028
16060000,16070000,0.9,20000,chr1,-1.2840915552689576,1.5238985050422467
16140000,16150000,0.9,20000,chr1,-1.3021757956969202,1.5481505884294275
16330000,16340000,0.9,20000,chr1,-0.7371060549560445,1.2007319741333502
16700000,16710000,0.9,20000,chr1,-0.9321057235191976,1.5463032636923086
16940000,16950000,0.9,20000,chr1,-1.0770157905084874,1.6290788581396698
17590000,17600000,0.9,20000,chr1,-0.77911484799739,1.2961649041517616
17720000,17730000,0.9,20000,chr1,-0.7955675935211208,1.2700109500334256
17910000,17920000,0.9,20000,chr1,-1.205657765452524,2.0652149122804655
18820000,18830000,0.9,20000,chr1,-0.8131803737135054,1.2984640655100859
19320000,19330000,0.9,20000,chr1,-0.7982421596176668,1.3133885486430188
19970000,19980000,0.9,20000,chr1,-2.1090449921538084,3.2192415292610064
20740000,20750000,0.9,20000,chr1,-0.9506592243862334,1.4049831997462068
20790000,20800000,0.9,20000,chr1,-1.0484469312756244,1.6646367386189298
22230000,22240000,0.9,20000,chr1,-1.0521959120733269,1.7121087406443962
22620000,22630000,0.9,20000,chr1,-0.8032709227525339,1.2042452220039097
23260000,23270000,0.9,20000,chr1,-0.5251997033581243,1.2303379420005327
23660000,23670000,0.9,20000,chr1,-0.7176330450551398,1.2533471840496984
23740000,23750000,0.9,20000,chr1,-0.9002719912551175,1.4064324825919314
24690000,24700000,0.9,20000,chr1,-0.9443115865108805,1.7884195216697027
24820000,24830000,0.9,20000,chr1,-0.813922480927354,1.4267623567265684
25140000,25150000,0.9,20000,chr1,-0.6590135751572387,1.3579805362990054
25360000,25370000,0.9,20000,chr1,-0.599286143601304,1.2961624761813546
25850000,25860000,0.9,20000,chr1,-0.7395069909576235,1.455135243199858
26450000,26460000,0.9,20000,chr1,-0.541849780991218,1.4318939690352077
26760000,26770000,0.9,20000,chr1,-0.8096470458663434,1.2352720370826482
26800000,26810000,0.9,20000,chr1,-1.4756484826386784,2.550417890380232
26910000,26920000,0.9,20000,chr1,-0.5976835991321422,1.2935815855268533
27440000,27450000,0.9,20000,chr1,-0.38496613117392403,1.261734903948658
27960000,27970000,0.9,20000,chr1,-0.5364061611166975,1.3761707186198262
28180000,28190000,0.9,20000,chr1,-0.6815713357267497,1.682771058705717
