bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
390000,400000,0.95,20000,chr1,-1.8542336296165083,2.6585909811525745
820000,830000,0.95,20000,chr1,-3.4349987258154733,4.784487188012706
1080000,1090000,0.95,20000,chr1,-2.3691185632616505,3.52593158045387
1340000,1350000,0.95,20000,chr1,-2.4573889446124606,3.5768352198426894
2380000,2390000,0.95,20000,chr1,-1.8439900882205806,2.8910302657440643
2520000,2530000,0.95,20000,chr1,-2.860468704716778,3.826919844258314
2780000,2790000,0.95,20000,chr1,-1.8894097501862883,2.7072312698788195
3010000,3020000,0.95,20000,chr1,-2.069709199953065,2.6264980800835533
3100000,3110000,0.95,20000,chr1,-6.2405869482116225,9.250751002549015
3120000,3130000,0.95,20000,chr1,-3.7953016665642414,4.237714890945012
3640000,3650000,0.95,20000,chr1,-2.0078470086791995,2.801579233584046
3740000,3750000,0.95,20000,chr1,-1.4802726247420877,2.5004691319319905
3830000,3840000,0.95,20000,chr1,-1.39346772330432,2.511923228758169
3970000,3980000,0.95,20000,chr1,-1.5001791952399568,2.508239086515867
4380000,4390000,0.95,20000,chr1,-2.1443462838438196,3.310772851154427
4700000,4710000,0.95,20000,chr1,-2.4951988678445622,3.28141934932726
4840000,4850000,0.95,20000,chr1,-2.794909722231117,3.5329723552604064
4980000,4990000,0.95,20000,chr1,-1.8613187379280292,2.591889174001206
5230000,5240000,0.95,20000,chr1,-2.991329228939683,3.8232062120647283
5340000,5350000,0.95,20000,chr1,-2.5839141578112392,2.588959109507136
6040000,6050000,0.95,20000,chr1,-3.2266170129772527,5.715873188954205
6750000,6760000,0.95,20000,chr1,-2.4843410326421678,3.22971784733795
7320000,7330000,0.95,20000,chr1,-2.5283814825187756,3.3634504811786043
7370000,7380000,0.95,20000,chr1,-1.6462826402055444,2.5795912640604053
8560000,8570000,0.95,20000,chr1,-2.7283979990546787,3.7514538511236677
9090000,9100000,0.95,20000,chr1,-2.100039475277887,2.9671753818285977
9880000,9890000,0.95,20000,chr1,-2.2174897029147496,3.1772284427796755
10890000,10900000,0.95,20000,chr1,-1.9804590610871915,2.9794250862903606
12000000,12010000,0.95,20000,chr1,-1.3513730179978036,2.5433880777608966
13230000,13240000,0.95,20000,chr1,-1.892354183012866,3.032757179437093
14430000,14440000,0.95,20000,chr1,-2.346452038468061,3.861083520695514
14780000,14790000,0.95,20000,chr1,-1.7485892522893651,2.5619129880530536
15180000,15190000,0.95,20000,chr1,-2.107161395560912,3.315454940150525
15510000,15520000,0.95,20000,chr1,-1.6519165992283085,2.7174443522088096
15730000,15740000,0.95,20000,chr1,-3.418254252687656,4.876250734717055
17720000,17730000,0.95,20000,chr1,-2.206694929780653,3.5883724012819127
18340000,18350000,0.95,20000,chr1,-1.8020013988259644,2.5531557975419314
19330000,19340000,0.95,20000,chr1,-1.8261110775889549,2.5292757725126735
20250000,20260000,0.95,20000,chr1,-2.180177559272301,2.6035560121356514
20290000,20300000,0.95,20000,chr1,-2.3719132415200908,3.5961749155880667
20550000,20560000,0.95,20000,chr1,-2.243186314787829,2.8503380997317294
21500000,21510000,0.95,20000,chr1,-1.5030897543144632,2.6511220346999536
23810000,23820000,0.95,20000,chr1,-2.5579138142380486,3.499625824148417
23930000,23940000,0.95,20000,chr1,-2.0476745935414895,2.659844114375227
26760000,26770000,0.95,20000,chr1,-2.637970740673726,3.972105220256303
27900000,27910000,0.95,20000,chr1,-1.6489472071420208,2.977577754333209
28940000,28950000,0.95,20000,chr1,-2.8265122872017154,4.197458965151772
29170000,29180000,0.95,20000,chr1,-1.9575167674850569,2.9100908903385503
30050000,30060000,0.95,20000,chr1,-2.1235919061576176,3.3532213072471766
31590000,31600000,0.95,20000,chr1,-1.7634212699837406,2.9544921742987214
32140000,32150000,0.95,20000,chr1,-3.144660356353117,4.459164632795662
33460000,33470000,0.95,20000,chr1,-1.6226294403166377,2.748960523410628
38050000,38060000,0.95,20000,chr1,-3.5132222480952513,6.401653270106509
38330000,38340000,0.95,20000,chr1,-2.640437082487324,3.0661160709447044
38810000,38820000,0.95,20000,chr1,-2.121348759952697,2.7981174006325635
39250000,39260000,0.95,20000,chr1,-2.4077553550077964,3.5894907071853845
40710000,40720000,0.95,20000,chr1,-2.1812015604930988,3.1018423722163138
42150000,42160000,0.95,20000,chr1,-2.1957650897550445,3.3592961528627763
43440000,43450000,0.95,20000,chr1,-1.5358660778448914,2.5995825145161744
43490000,43500000,0.95,20000,chr1,-1.6806211161840618,2.5890157013735027
45050000,45060000,0.95,20000,chr1,-3.2702646095132573,4.731178452761964
46030000,46040000,0.95,20000,chr1,-2.159256108405319,2.7212565834132776
46400000,46410000,0.95,20000,chr1,-2.569437480814595,3.483089954374277
46780000,46790000,0.95,20000,chr1,-2.5371611652627855,3.151016495009264
48750000,48760000,0.95,20000,chr1,-2.7608833766390144,3.6839539238123216
50390000,50400000,0.95,20000,chr1,-2.086556908381324,3.114353966068549
51190000,51200000,0.95,20000,chr1,-1.5991064579663543,2.5789385131493354
52570000,52580000,0.95,20000,chr1,-1.6121953842124546,2.6268799239232714
52860000,52870000,0.95,20000,chr1,-1.9786378180627198,3.0753842511377543
53120000,53130000,0.95,20000,chr1,-1.4944831382151729,2.5159436852727537
54480000,54490000,0.95,20000,chr1,-2.4380855133903876,4.476649371604777
54570000,54580000,0.95,20000,chr1,-2.285429377250051,3.1266675466812965
55730000,55740000,0.95,20000,chr1,-1.32984501517821,2.7663214178541202
56420000,56430000,0.95,20000,chr1,-2.3526140327707745,4.134761293863322
56660000,56670000,0.95,20000,chr1,-1.502142275063978,3.181442454662811
57180000,57190000,0.95,20000,chr1,-1.331367155556006,3.077593090007684
58520000,58530000,0.95,20000,chr1,-1.3824014112434915,2.770708391912806
58720000,58730000,0.95,20000,chr1,-1.3703278245441741,2.513432538553297
58850000,58860000,0.95,20000,chr1,-1.6349501713147323,2.6161093511789475
58950000,58960000,0.95,20000,chr1,-2.7889109615501835,3.6469513141228918
59050000,59060000,0.95,20000,chr1,-3.049971679645832,6.060135733983223
59330000,59340000,0.95,20000,chr1,-1.561353993866416,3.6961670746886757
240000,250000,0.95,20000,chr2,-2.314852562994479,2.863944855886239
350000,360000,0.95,20000,chr2,-2.8646125863906144,3.7123443568811045
550000,560000,0.95,20000,chr2,-2.477748554409744,3.152572527368714
840000,850000,0.95,20000,chr2,-3.015065180502112,4.247365687490202
1220000,1230000,0.95,20000,chr2,-2.797068995091835,3.85528823804092
1580000,1590000,0.95,20000,chr2,-1.853538947857443,2.7100459720283285
2640000,2650000,0.95,20000,chr2,-2.419504183792435,3.2730062273002867
2980000,2990000,0.95,20000,chr2,-2.370427835290496,3.118179333297462
3180000,3190000,0.95,20000,chr2,-1.9648664336033164,2.6404588746329147
3510000,3520000,0.95,20000,chr2,-2.469196883771033,3.5735489387918893
5100000,5110000,0.95,20000,chr2,-1.8667118478115823,2.9471652615403876
5830000,5840000,0.95,20000,chr2,-3.2496573138627927,5.142689270137957
6050000,6060000,0.95,20000,chr2,-2.8456859951122353,3.748034082241624
7010000,7020000,0.95,20000,chr2,-1.6059789714981503,3.2414712012228124
8110000,8120000,0.95,20000,chr2,-2.564557122734986,4.453665595153165
8580000,8590000,0.95,20000,chr2,-1.6246426416471227,2.886869519059626
9920000,9930000,0.95,20000,chr2,-1.813125766999793,2.7853762761365406
10260000,10270000,0.95,20000,chr2,-2.8908010171836414,4.595489600088319
11250000,11260000,0.95,20000,chr2,-1.7533144407305248,2.709584135943773
12440000,12450000,0.95,20000,chr2,-1.215862253733719,2.56618864683824
14480000,14490000,0.95,20000,chr2,-2.5134876088859555,3.887016436397051
14890000,14900000,0.95,20000,chr2,-1.457760696585778,2.7633065505242627
14980000,14990000,0.95,20000,chr2,-2.068945645930497,3.1393551371051647
15610000,15620000,0.95,20000,chr2,-2.0677497667869806,2.9252586848390933
16440000,16450000,0.95,20000,chr2,-2.5765019272132346,3.969392964184545
18020000,18030000,0.95,20000,chr2,-1.4891774473403436,2.570340847245462
18960000,18970000,0.95,20000,chr2,-2.0740475921757304,3.378480551485079
20840000,20850000,0.95,20000,chr2,-2.2322240002882485,3.4943727383083765
21830000,21840000,0.95,20000,chr2,-1.947337928964678,2.8462987747179858
23790000,23800000,0.95,20000,chr2,-1.7629913501439476,2.8074315343875487
23940000,23950000,0.95,20000,chr2,-1.772033254292733,2.5468099640632405
24720000,24730000,0.95,20000,chr2,-1.8126358009699661,2.6988827841719267
25760000,25770000,0.95,20000,chr2,-2.604010844276395,4.046385560873707
27060000,27070000,0.95,20000,chr2,-1.9618902070991613,2.8138442458001696
28060000,28070000,0.95,20000,chr2,-1.4473196057319309,2.784630946290223
28740000,28750000,0.95,20000,chr2,-1.9651593470898223,3.156178604655935
28820000,28830000,0.95,20000,chr2,-1.4708767536600662,2.590519470188679
31700000,31710000,0.95,20000,chr2,-2.588668789450284,3.283459998963072
31860000,31870000,0.95,20000,chr2,-3.1714281528818247,4.28509890639053
34670000,34680000,0.95,20000,chr2,-1.6028396285688018,2.5589410382105386
36100000,36110000,0.95,20000,chr2,-1.8503990689467948,2.7862713562090393
36460000,36470000,0.95,20000,chr2,-2.4409809113920953,3.497018535380187
36940000,36950000,0.95,20000,chr2,-2.228566937535233,2.9107925081262405
37290000,37300000,0.95,20000,chr2,-1.7539515848886253,2.7890661233572374
37420000,37430000,0.95,20000,chr2,-2.6368900384990575,3.7240315377917073
38150000,38160000,0.95,20000,chr2,-1.8163048512712194,2.577877579815324
39730000,39740000,0.95,20000,chr2,-1.7060617699455727,2.586799493075712
39920000,39930000,0.95,20000,chr2,-2.8947116295145006,3.865495652798472
40750000,40760000,0.95,20000,chr2,-1.7954601886593482,2.6584146925331305
40960000,40970000,0.95,20000,chr2,-3.1290115983159925,4.028177266448417
42000000,42010000,0.95,20000,chr2,-1.850116833456575,2.6927483609638156
42870000,42880000,0.95,20000,chr2,-3.409520789885421,5.995004281188205
43580000,43590000,0.95,20000,chr2,-1.6295515794986817,2.5814236733262588
44180000,44190000,0.95,20000,chr2,-1.6851646144731738,2.649321082245253
44720000,44730000,0.95,20000,chr2,-1.885919866014444,2.6987432220670384
45480000,45490000,0.95,20000,chr2,-2.973258092491686,3.981545499181814
45620000,45630000,0.95,20000,chr2,-1.85092862435885,3.060372747161596
46490000,46500000,0.95,20000,chr2,-2.0719594349122548,2.9026647284872
46920000,46930000,0.95,20000,chr2,-2.119869705166406,3.78675596429403
47680000,47690000,0.95,20000,chr2,-1.7518658670429959,2.9947312936710624
49880000,49890000,0.95,20000,chr2,-1.8783773797033776,4.125991300959091
50040000,50050000,0.95,20000,chr2,-1.7213830558598537,2.755339164126102
50370000,50380000,0.95,20000,chr2,-2.3177966119802718,4.637724684640155
50600000,50610000,0.95,20000,chr2,-2.306046080407945,3.193251949354378
50920000,50930000,0.95,20000,chr2,-1.7667967213387235,2.967652117529852
52210000,52220000,0.95,20000,chr2,-2.086731550765549,3.194684599116023
52360000,52370000,0.95,20000,chr2,-1.7335193129129338,2.591932228645972
53180000,53190000,0.95,20000,chr2,-2.5385590587502977,3.835332002587143
53580000,53590000,0.95,20000,chr2,-1.8011212055157793,2.628734493439542
53900000,53910000,0.95,20000,chr2,-2.7289351681542646,4.111085168839213
54850000,54860000,0.95,20000,chr2,-2.277707844183343,3.2005109665228995
55340000,55350000,0.95,20000,chr2,-2.025321848230075,3.104455393903422
56110000,56120000,0.95,20000,chr2,-2.6383608618927608,3.640103512427512
56490000,56500000,0.95,20000,chr2,-3.3652149817926906,5.950698473095474
56900000,56910000,0.95,20000,chr2,-2.0303002546198843,3.147835836251813
57230000,57240000,0.95,20000,chr2,-1.937565794965108,2.7202604464809443
57560000,57570000,0.95,20000,chr2,-2.022261964734294,3.0557434983604868
58090000,58100000,0.95,20000,chr2,-2.7762807333957493,4.187908777415446
58670000,58680000,0.95,20000,chr2,-1.8688941065794367,2.8716563035065903
58740000,58750000,0.95,20000,chr2,-2.2105754774451865,2.8735102552389513
