bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.9,100000,chr1,-0.0198765371437797,0.6588660330163288
670000,680000,0.9,100000,chr1,-0.1783553169912936,0.7483689734687914
1090000,1100000,0.9,100000,chr1,-0.872794615274596,1.4340617077026296
1340000,1350000,0.9,100000,chr1,-0.8683427548651882,1.4225501062127746
1630000,1640000,0.9,100000,chr1,-0.4489901174784324,0.903180827363346
2230000,2240000,0.9,100000,chr1,-0.3039714605371506,0.5520843336923749
2510000,2520000,0.9,100000,chr1,-0.7207399656970648,1.1136272891881394
3060000,3070000,0.9,100000,chr1,-0.4809391797495532,0.7506504158619658
3650000,3660000,0.9,100000,chr1,-1.564793897561122,2.789468905916582
4410000,4420000,0.9,100000,chr1,-0.3647143758775999,0.5417087414784989
5210000,5220000,0.9,100000,chr1,-0.3683423563940499,0.5558663992595065
5560000,5570000,0.9,100000,chr1,-0.387853545285914,0.4498781992440883
6360000,6370000,0.9,100000,chr1,-0.4231618732700822,0.6194168641801547
6640000,6650000,0.9,100000,chr1,-0.3604863537085501,0.4853513341226974
7930000,7940000,0.9,100000,chr1,-0.6009609909937301,0.8500666280213707
8480000,8490000,0.9,100000,chr1,-0.4240275748066798,0.6665381216872863
8930000,8940000,0.9,100000,chr1,-0.3276004280277645,0.6014168476002658
10700000,10710000,0.9,100000,chr1,-0.3345802279100784,0.492939004344848
11130000,11140000,0.9,100000,chr1,-0.4891999782807202,0.8487365447559485
12400000,12410000,0.9,100000,chr1,-0.4182671703172819,0.487368920329877
13920000,13930000,0.9,100000,chr1,-0.4536251644010335,0.5931253187563998
16440000,16450000,0.9,100000,chr1,-0.3950564553114563,0.901716983605513
16680000,16690000,0.9,100000,chr1,-0.6536905166899173,1.173973832932754
16940000,16950000,0.9,100000,chr1,-0.3687474816741787,0.4666714069224467
18340000,18350000,0.9,100000,chr1,-0.3735111644958436,0.6792748017442816
18800000,18810000,0.9,100000,chr1,-0.3615468131387545,0.6169304313673636
19110000,19120000,0.9,100000,chr1,-0.2938494461780888,0.7163681206515725
19850000,19860000,0.9,100000,chr1,-0.352230363600484,0.9134356411852508
20720000,20730000,0.9,100000,chr1,-0.3041762280277872,0.5261744781953517
20870000,20880000,0.9,100000,chr1,-0.1594355906041299,0.4600361502626272
21310000,21320000,0.9,100000,chr1,-0.2893985245069026,0.5901519579682205
23240000,23250000,0.9,100000,chr1,-0.3456432722150148,0.6867543964644349
23630000,23640000,0.9,100000,chr1,-0.2537255961808294,0.52896319314924
23910000,23920000,0.9,100000,chr1,-0.582741493192764,1.1504380731219332
25010000,25020000,0.9,100000,chr1,-0.2240706285729087,0.6150593938353823
26050000,26060000,0.9,100000,chr1,-0.1030081639068058,0.6403134356305059
26450000,26460000,0.9,100000,chr1,-0.0762222867928123,0.4665696707143213
26680000,26690000,0.9,100000,chr1,-0.1700697963743611,0.7096648466286054
29140000,29150000,0.9,100000,chr1,0.0416554521171813,0.6968655803438578
29650000,29660000,0.9,100000,chr1,0.0134149280133024,0.7292872270586851
30530000,30540000,0.9,100000,chr1,-0.1781706562645365,0.716976088789354
31710000,31720000,0.9,100000,chr1,-0.3110186174428492,0.7237173706054354
33190000,33200000,0.9,100000,chr1,-0.2755785860210331,0.6285761496558915
35600000,35610000,0.9,100000,chr1,-0.3031140423299655,0.4886081826265736
35890000,35900000,0.9,100000,chr1,-0.3447424971118477,0.5196530575930418
37400000,37410000,0.9,100000,chr1,-0.3322399964180024,0.4714417718551544
38120000,38130000,0.9,100000,chr1,-0.4204900394777125,0.5371398360536376
38810000,38820000,0.9,100000,chr1,-0.4519674308969227,0.8323810035050849
40220000,40230000,0.9,100000,chr1,-0.1203626559069523,0.4726353646096257
40620000,40630000,0.9,100000,chr1,-1.0670227637011638,0.5310157375970085
40710000,40720000,0.9,100000,chr1,-1.303004279738456,2.527679288093916
41570000,41580000,0.9,100000,chr1,-1.0750852242373434,1.2400735234866005
42390000,42400000,0.9,100000,chr1,-0.3217714123610718,0.4856944090760622
43240000,43250000,0.9,100000,chr1,-0.2920329556045115,0.4818696905444632
43680000,43690000,0.9,100000,chr1,-0.3495545812416569,0.5464011897664351
43930000,43940000,0.9,100000,chr1,-0.4171561802195494,0.6691617940094553
45310000,45320000,0.9,100000,chr1,-0.2043121404469884,0.5099291541597266
46030000,46040000,0.9,100000,chr1,-0.7858539035449071,1.2099703507220343
46830000,46840000,0.9,100000,chr1,-0.2619240122793778,0.6499706038399475
47130000,47140000,0.9,100000,chr1,-0.2490765664832789,0.5087545649563315
47590000,47600000,0.9,100000,chr1,-0.2692019806777649,0.5727418841297001
49930000,49940000,0.9,100000,chr1,-0.4176246803909811,0.8699599948390517
50980000,50990000,0.9,100000,chr1,-0.2199554201117177,0.6404210604273894
51390000,51400000,0.9,100000,chr1,-0.2922086314408323,0.5660094609400703
51710000,51720000,0.9,100000,chr1,-0.3424669261785889,0.8214505590393687
52480000,52490000,0.9,100000,chr1,-0.2089503329490256,0.4545448002357454
52750000,52760000,0.9,100000,chr1,-0.3067830809431565,0.673815754983726
53640000,53650000,0.9,100000,chr1,-0.1671923586136326,0.4537400416431036
54180000,54190000,0.9,100000,chr1,-0.2155538688384583,0.5540740782262252
54620000,54630000,0.9,100000,chr1,-0.2456861790547265,0.6501357615780025
55250000,55260000,0.9,100000,chr1,0.0655440150351939,0.5107358269644938
55730000,55740000,0.9,100000,chr1,-0.0967337145804652,0.72294957734483
56210000,56220000,0.9,100000,chr1,0.0434263159180455,0.6305269552572995
58680000,58690000,0.9,100000,chr1,-0.2404903175570691,0.7438068191033372
58970000,58980000,0.9,100000,chr1,-0.6204448776707384,0.7896628937195163
59060000,59070000,0.9,100000,chr1,-0.772537575756436,1.492571481055518
59320000,59330000,0.9,100000,chr1,-0.0511131788340155,0.7735245519803813
150000,160000,0.9,130000,chr2,-0.0038185180446191,0.8073073910970184
360000,370000,0.9,130000,chr2,-0.8576323157083715,2.03732316067324
2180000,2190000,0.9,130000,chr2,-0.2705543116162166,0.5306580174701949
2910000,2920000,0.9,130000,chr2,-0.5405724375515201,1.1195446317469535
3100000,3110000,0.9,130000,chr2,-0.4176415833088561,0.4594034179651409
3900000,3910000,0.9,130000,chr2,-0.2854253726572045,0.5356730323281852
6580000,6590000,0.9,130000,chr2,-0.2403839548481965,0.4927723781185618
7250000,7260000,0.9,130000,chr2,-0.1337359293275232,0.4520526345658179
8570000,8580000,0.9,130000,chr2,-0.1889033036098833,0.5204846611653551
8860000,8870000,0.9,130000,chr2,-0.3071126454790491,0.5922758493263015
