ch,bgn,end,unknown,sim,bs_threshold,window,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
chr24,2410000,2420000,126798,0.6114569507726216,0.9,160000,-0.03362926605681397,0.4843304835029304,0.4309045694817119,0.5951123339776906,0.19038126184109702
chr2,34030000,34040000,9361,0.6024788443039701,0.9,150000,-0.05615582771648422,0.1567685402735721,0.19993274722425447,0.6165449134854968,0.20249831408219804
chr18,37330000,37340000,101690,0.5989238522235597,0.9,180000,0.05146169288726231,0.29411282950611045,0.392796151948699,0.519019229741374,0.20311583291600457
chr20,26460000,26470000,110551,0.5664401558079365,0.9,140000,0.04194542174860155,0.4345664360763814,0.2879917706305646,0.5621775513801333,0.26135030664988074
chr2,27480000,27490000,8706,0.5572733237046776,0.9,150000,-0.054277070707764205,0.4375643128278069,0.4165592092148165,0.6454417843061089,0.3464251443239479
chr25,10720000,10730000,131847,0.5548390138582339,0.9,240000,0.3113312113035371,0.12131495038705255,0.3224872038475929,0.4669232752439878,0.23385144457038307
chr20,24070000,24080000,110312,0.5521818271472935,0.9,140000,-0.04356924572429506,0.3373448008192032,0.46137401735457345,0.6569736689412913,0.2975599592186114
chr25,18350000,18360000,132610,0.5519880194411612,0.9,240000,0.04279116096147746,0.2775719322199841,0.0760660594693531,0.5757241418251915,0.21989221975160658
chr3,9670000,9680000,12890,0.5483670925186763,0.9,120000,0.5977835970930386,0.6579840841129211,0.6422657144273882,0.8148697294119827,0.4646828247215871
chr2,39660000,39670000,9924,0.5452270353392574,0.9,150000,-0.055956855995460165,-0.019731871896360005,0.2611633015974978,0.7302171825309595,0.2976591858982675
chr3,41880000,41890000,16111,0.5448544277077684,0.9,120000,0.02774699118867676,0.6653761870015471,0.2531550697529446,0.7947274716693015,0.334572617507333
chr2,11750000,11760000,7133,0.54444667616376,0.9,150000,0.09703845746031221,0.4443665854390004,0.4607622139623842,0.647203532643244,0.24174493210826514
chr9,32560000,32570000,55391,0.5374573834438121,0.9,120000,0.017299725806829612,0.16810402036192698,0.15982991299967209,0.6225623674282363,0.18057131471179685
chr4,12860000,12870000,19472,0.5360311220742677,0.9,130000,0.006372054603515166,0.2685585114043614,0.4977475874736386,0.8496475200435812,0.508057125266116
chr20,23770000,23780000,110282,0.5356025421841707,0.9,140000,-0.023082293355791896,0.2572934380430831,0.14266906352857378,0.5247321259402079,0.23004296164623309
chr7,34700000,34710000,42745,0.5347049951739845,0.9,130000,0.08415304153134626,0.16979996353863075,0.2707045133970703,0.48524345176357986,0.34544034829914844
chr1,29880000,29890000,2988,0.5332111157527373,0.9,130000,0.03173739269425228,0.6530128429707579,0.10892019321048763,0.5808391417965142,0.18103824595285628
chr6,44070000,44080000,37654,0.5325446319979973,0.9,220000,-0.0007959469490674224,0.09010299457157471,0.13902747959034242,0.603774756345413,0.33062916852332663
chr7,21720000,21730000,41447,0.532207115383806,0.9,130000,0.056578492228376735,0.4090416574800251,0.6658213243881136,0.893162407531091,0.45735921695086174
chr1,51140000,51150000,5114,0.5316313750949059,0.9,130000,-0.1967299513760343,0.33463896057981607,0.23867011577974062,0.5387599675080943,0.3016219500469529
chr15,19840000,19850000,84262,0.5304759431073337,0.9,190000,0.17012948736815617,0.5877935063240843,0.3244819719691934,0.5701381946695855,0.16111622183090915
chr1,30640000,30650000,3064,0.5304616660605879,0.9,130000,0.16216672282103214,0.31122823189516363,0.14901644261004504,0.5076989309988368,0.2141487383259823
chr7,31740000,31750000,42449,0.5246733726626202,0.9,130000,-0.08484280793514531,-0.05442165399002849,0.015181553063071182,0.4333665355448284,0.20537439993393117
chr5,44720000,44730000,30468,0.5237364480777289,0.9,150000,0.07190706132008559,0.23997309557172655,0.1887403965218973,0.4865147133921649,0.32299828127999675
chr15,16270000,16280000,83905,0.5191756245874564,0.9,190000,0.0402487620621715,0.19434010875373114,0.22981131690692597,0.6041212430948179,0.3947209193180582
chr1,15370000,15380000,1537,0.5166305131572815,0.9,130000,-0.13398454281949013,0.004135708473285272,0.10838848887321961,0.571822058318799,0.23052821114508568
chr4,14560000,14570000,19642,0.5074643236194315,0.9,130000,-0.045168660691709765,0.2531322131267359,0.327590693999199,0.8492365274306127,0.6065253222154354
chr15,18040000,18050000,84082,0.5074053611907875,0.9,190000,0.013174482218431168,0.37682170222443634,0.07563959529764973,0.5112105106419578,0.27290142163974623
chr6,50490000,50500000,38296,0.5073645682598915,0.9,220000,-0.061818470239247914,0.22432097402290668,0.14261229248197996,0.5149549058953187,0.13178737226625717
chr10,15510000,15520000,59332,0.5063916677048865,0.9,160000,0.18099868443397946,0.49722151447194934,0.1721450699754297,0.4419690778107041,0.31394750228813184
chr23,29670000,29680000,124901,0.5062687935434514,0.9,110000,0.05351818804064518,0.5545615797675076,0.3594196685689101,0.5293379787453577,0.3962201797858554
chr16,39050000,39060000,90988,0.5053378466482363,0.9,220000,-0.001200379328885362,0.013602728839091048,0.10625382022955593,0.561388516389851,0.32316240161728926
chr5,63560000,63570000,32352,0.5052992037224121,0.9,150000,-0.11875610876253247,0.22849073721022456,-0.06905490853231486,0.4051751215353853,0.30957221140503627
chr18,41660000,41670000,102123,0.504951956509187,0.9,180000,0.056858737109799475,0.3644761750612292,0.11941703890357859,0.6002944585398813,0.38476394249591755
chr3,18210000,18220000,13744,0.503792579293182,0.9,120000,-0.09586347980966689,0.21706576005545378,0.30176056868111384,0.6478645231017331,0.33669092913227017
chr22,11000000,11010000,119120,0.5028127068746799,0.9,270000,0.04624275017704374,0.07668724318990813,0.03966519285963502,0.2557401274307298,0.04849895354278272
chr22,15840000,15850000,119604,0.5016328492415387,0.9,270000,-0.03674381975314099,0.10507208528380094,0.08641090969597472,0.2861432262528457,0.1209225586704292
chr3,43660000,43670000,16289,0.5015299134511413,0.9,120000,-0.23794615805334107,0.23185224515590722,0.10605386350332448,0.39623768488498357,0.19495902038775956
chr19,14060000,14070000,104466,0.500667134061642,0.9,170000,0.025523141523065344,0.30065966802475513,0.10566236754172678,0.47041576385581646,0.2522414081022736
chr19,28180000,28190000,105878,0.4999332904567802,0.9,170000,-0.0877767442602187,0.18313871554488712,-0.01936288839872283,0.4296533122037886,0.22893228725439935
chr21,15980000,15990000,115024,0.4996878497190378,0.9,190000,-0.23050413269928846,-0.017231603407747927,0.20750490209211325,0.5161586312300438,0.28649649027912155
chr13,30800000,30810000,74872,0.4990560870042501,0.9,100000,0.11475475319232811,0.38261756847320727,0.12327700834904486,0.6620226563602674,0.34613357046966986
chr18,25640000,25650000,100521,0.4980411382551774,0.9,180000,-0.02827641891283508,0.17286561372907255,0.24560788407428258,0.5050433440130795,0.23731061934202882
chr1,50920000,50930000,5092,0.497934629844129,0.9,130000,-0.06139403278874476,0.3251569691186939,0.15904127351702277,0.559875806842843,0.3006208659163687
chr18,44480000,44490000,102405,0.4967741973335734,0.9,180000,-0.029257335542072726,0.2698922796025224,0.16089663569174886,0.5525915561109409,0.32546759975713546
chr9,10700000,10710000,53205,0.4958619604489927,0.9,120000,-0.1323000166281708,0.35006834345077203,0.1336754631625926,0.2730978271830519,-0.07892302967232179
chr17,21740000,21750000,94784,0.4956006402602791,0.9,110000,-0.030714955646855148,0.08889205335075556,0.07242555364945652,0.4487954318878265,0.2857002337026472
chr6,28860000,28870000,36133,0.4954848782837936,0.9,220000,-0.05989042245559733,-0.0012746695794858783,-0.11448722910326818,0.08576258388332779,-0.11588503931407954
chr23,38910000,38920000,125825,0.4953717285360379,0.9,110000,-0.2352126771195856,0.7149374527631968,0.5164194132341631,0.7074282219981328,0.11746462433600956
chr8,44310000,44320000,51135,0.4948017562113907,0.9,160000,-0.21236737555187246,0.25340141699371527,0.20125399599311344,0.4583015982311983,0.1605370737967783
chr4,75400000,75410000,25726,0.4944687074915235,0.9,130000,0.8397103128562325,1.025723370080955,1.1972120362857237,1.2613705854677617,0.7221596839455625
chr19,31300000,31310000,106190,0.4934268192813512,0.9,170000,-0.008842729746182462,0.31570105776077045,0.12247600376489398,0.41797034282333995,0.15182290943986396
chr10,5940000,5950000,58375,0.4930746508759158,0.9,160000,0.3266600280554986,0.4583862501855609,0.6317874921794895,0.7600339194433768,0.6000690671156074
chr21,23240000,23250000,115750,0.4918825684023796,0.9,190000,-0.04133634685804856,0.01038427754131224,0.15029741729534768,0.8236932533486315,0.40058191648506053
chr7,37640000,37650000,43039,0.4912961535562137,0.9,130000,-0.0685939960052895,0.16715410488406335,0.2714270001952483,0.6533508476902488,0.43328163649078005
chr9,28190000,28200000,54954,0.4888913887454413,0.9,120000,0.007868478980214479,0.12451014022434098,0.10006645222690581,0.46621422781577426,0.20794280571074397
chr9,23130000,23140000,54448,0.4883822144622269,0.9,120000,-0.03522106531449963,0.14370402778941693,0.07679613183956388,0.6069307463769316,0.14118666068741878
chr18,22220000,22230000,100179,0.4881560856930511,0.9,180000,0.014152726612869987,0.4874264886640696,0.32004772994086594,0.4442785695103123,0.11062543173956878
chr12,8990000,9000000,67772,0.4880815852428063,0.9,150000,0.026215785028046935,0.5999905248739075,0.05313131955807646,0.7055554872207017,0.32807342640093096
chr1,9360000,9370000,936,0.4880535814333144,0.9,130000,-0.06451014866643313,0.10028799038258654,0.2092791508459179,0.5014610798883442,0.29448080464036497
chr5,22060000,22070000,28202,0.4874149730638201,0.9,150000,-0.15160729437199166,0.08219465626255607,0.03873218928365808,0.05171547572197405,-0.07430642929427597
chr8,23500000,23510000,49054,0.486422521313911,0.9,160000,0.1446166928915873,0.26103603209209725,0.2364457016118324,0.5414097148020995,0.31970065965509864
chr12,35640000,35650000,70437,0.4861703318667565,0.9,150000,0.06399735297342138,-0.12017557618164543,0.006211118162088512,0.40063321979212924,0.19358974043825325
chr5,16050000,16060000,27601,0.4858559751216899,0.9,150000,-0.11912227816449432,-0.2107658735134143,0.15139215452171345,0.5078317732200581,0.08628554173401207
chr6,11880000,11890000,34435,0.4852916881406749,0.9,220000,-0.024308523500692927,0.10797328372516199,0.15160660724090022,0.4769922934241909,0.322046625712898
chr6,45900000,45910000,37837,0.484332349105563,0.9,220000,-0.09531358119474513,0.05392584437722297,-0.06652707006222067,0.060717344031434174,-0.11749585598435297
chr7,42470000,42480000,43522,0.4839292581929217,0.9,130000,-0.07622486799427067,0.2884991877325172,-0.2024301965004827,0.26822888988076515,0.050895297921407914
chr17,25740000,25750000,95184,0.4833639987420546,0.9,110000,0.03461369415550492,0.18376698472260117,0.07922879491170307,0.2981684002232706,0.2211301560515127
chr1,38270000,38280000,3827,0.4827552372346988,0.9,130000,-0.10403403232437168,0.05724187520154724,0.05181479389146033,0.5627329516832134,0.14659149035717997
