bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.9,20000,chr1,-1.2558470810184907,2.243325817305376
410000,420000,0.9,20000,chr1,-1.1126705160156558,1.8987702246403424
600000,610000,0.9,20000,chr1,-0.8497481001474473,1.449913995610663
760000,770000,0.9,20000,chr1,-3.042060790394728,1.8284264634978316
780000,790000,0.9,20000,chr1,-3.0772766964433966,4.1070670178412945
1080000,1090000,0.9,20000,chr1,-1.3257280119410801,2.2504779582997996
1350000,1360000,0.9,20000,chr1,-4.001789893847173,4.855359565848532
1630000,1640000,0.9,20000,chr1,-1.9955091637931859,2.6696055929500915
2070000,2080000,0.9,20000,chr1,-1.138323996491405,1.717035087124013
2260000,2270000,0.9,20000,chr1,-1.2241278294713989,1.980345812115691
2510000,2520000,0.9,20000,chr1,-1.209482942697905,1.6783573060562798
2620000,2630000,0.9,20000,chr1,-0.7357409366925753,1.3583484034140378
2800000,2810000,0.9,20000,chr1,-1.3627205062335712,1.8453724628782633
2970000,2980000,0.9,20000,chr1,-1.3077344460026574,1.7063153368790032
2990000,3000000,0.9,20000,chr1,-1.0733884990401235,1.3351794241168875
3060000,3070000,0.9,20000,chr1,-3.994195712880971,4.835665488017345
3100000,3110000,0.9,20000,chr1,-4.921549650720214,7.460868772727824
3120000,3130000,0.9,20000,chr1,-4.085410282851282,3.853748526581032
3310000,3320000,0.9,20000,chr1,-1.0660576854353787,1.6000481512324343
3650000,3660000,0.9,20000,chr1,-3.5350484185741746,4.300319587666715
3710000,3720000,0.9,20000,chr1,-1.1777276333249322,1.8238021268998952
4040000,4050000,0.9,20000,chr1,-1.0902319440872246,1.5485766883165213
4430000,4440000,0.9,20000,chr1,-1.3005799718850153,2.0063147688629828
4520000,4530000,0.9,20000,chr1,-1.1727583208609131,1.4392714659946426
4700000,4710000,0.9,20000,chr1,-1.4064405766232555,1.7512496474652886
4780000,4790000,0.9,20000,chr1,-1.5691073988114514,2.254882960265895
4970000,4980000,0.9,20000,chr1,-0.9413002842476597,1.549323254862345
5220000,5230000,0.9,20000,chr1,-0.9790793046899795,1.340050960833982
5470000,5480000,0.9,20000,chr1,-1.1657209536923656,1.8075254693705092
5630000,5640000,0.9,20000,chr1,-1.7544941236003535,2.433741161075711
6040000,6050000,0.9,20000,chr1,-0.9450679409684795,1.3642694247266585
6500000,6510000,0.9,20000,chr1,-0.9791241167489448,1.4399298122833053
7350000,7360000,0.9,20000,chr1,-1.3913587142978134,2.027775276924399
7500000,7510000,0.9,20000,chr1,-0.9615973497908168,1.34749617842219
7670000,7680000,0.9,20000,chr1,-0.9681268018038629,1.598449881718321
7940000,7950000,0.9,20000,chr1,-0.8661451147525174,1.4587257365698352
8570000,8580000,0.9,20000,chr1,-4.043260750599453,5.479604028603797
8590000,8600000,0.9,20000,chr1,-1.3025708049139018,1.7066713437589713
8690000,8700000,0.9,20000,chr1,-0.8977178961443515,1.431948655254395
8960000,8970000,0.9,20000,chr1,-1.2138048619540975,1.8055787682762314
9190000,9200000,0.9,20000,chr1,-1.0738253214053017,1.5999582405476653
9280000,9290000,0.9,20000,chr1,-1.0323894754162968,1.480889261713853
9880000,9890000,0.9,20000,chr1,-1.6265648656681162,2.3855352459769597
10070000,10080000,0.9,20000,chr1,-0.8301351632524882,1.3180946089230199
11460000,11470000,0.9,20000,chr1,-0.8838638879953429,1.496872079408062
11770000,11780000,0.9,20000,chr1,-0.8730243648889721,1.4420830635569417
11970000,11980000,0.9,20000,chr1,-0.9126205177896317,1.5878626996666734
12360000,12370000,0.9,20000,chr1,-0.7265299063985973,1.3281613032736117
12550000,12560000,0.9,20000,chr1,-0.8812434412398503,1.6178503670546989
13590000,13600000,0.9,20000,chr1,-0.9975379471377709,1.9051571423871483
13980000,13990000,0.9,20000,chr1,-0.9420189115485715,1.6837151685403389
14050000,14060000,0.9,20000,chr1,-1.1998194654714298,1.7477136702360334
15390000,15400000,0.9,20000,chr1,-1.3124044774464743,1.516366410636559
15730000,15740000,0.9,20000,chr1,-3.127114442476953,4.265643674796466
