chrom	start	end
chr1	770000	780000
chr1	1020000	1030000
chr1	1120000	1130000
chr1	1430000	1440000
chr1	1440000	1450000
chr1	1460000	1470000
chr1	1770000	1780000
chr1	1780000	1790000
chr1	1850000	1860000
chr1	1860000	1870000
chr1	1870000	1880000
chr1	2330000	2340000
chr1	2340000	2350000
chr1	2350000	2360000
chr1	2370000	2380000
chr1	2450000	2460000
chr1	2470000	2480000
chr1	2730000	2740000
chr1	2790000	2800000
chr1	4100000	4110000
chr1	4110000	4120000
chr1	4120000	4130000
chr1	4310000	4320000
chr1	4780000	4790000
chr1	4870000	4880000
chr1	5400000	5410000
chr1	6000000	6010000
chr1	6380000	6390000
chr1	6430000	6440000
chr1	7530000	7540000
chr1	7940000	7950000
chr1	7980000	7990000
chr1	7990000	8000000
chr1	8000000	8010000
chr1	8570000	8580000
chr1	8580000	8590000
chr1	8590000	8600000
chr1	8620000	8630000
chr1	9600000	9610000
chr1	9970000	9980000
chr1	9980000	9990000
chr1	10640000	10650000
chr1	10650000	10660000
chr1	10660000	10670000
chr1	11300000	11310000
chr1	11610000	11620000
chr1	11630000	11640000
chr1	11640000	11650000
chr1	11650000	11660000
chr1	11880000	11890000
chr1	12450000	12460000
chr1	12670000	12680000
chr1	13480000	13490000
chr1	13500000	13510000
chr1	13770000	13780000
chr1	14510000	14520000
chr1	14540000	14550000
chr1	14550000	14560000
chr1	14560000	14570000
chr1	14570000	14580000
chr1	14590000	14600000
chr1	14610000	14620000
chr1	14620000	14630000
chr1	14630000	14640000
chr1	14640000	14650000
chr1	14670000	14680000
chr1	14690000	14700000
chr1	14700000	14710000
chr1	14710000	14720000
chr1	14720000	14730000
chr1	14730000	14740000
chr1	14740000	14750000
chr1	14760000	14770000
chr1	14770000	14780000
chr1	16200000	16210000
chr1	17110000	17120000
chr1	17170000	17180000
chr1	17190000	17200000
chr1	17970000	17980000
chr1	18000000	18010000
chr1	18170000	18180000
chr1	18470000	18480000
chr1	18480000	18490000
chr1	18490000	18500000
chr1	18500000	18510000
chr1	18510000	18520000
chr1	18520000	18530000
chr1	18670000	18680000
chr1	18940000	18950000
chr1	18950000	18960000
chr1	19620000	19630000
chr1	19820000	19830000
chr1	19960000	19970000
chr1	20010000	20020000
chr1	20020000	20030000
chr1	20040000	20050000
chr1	20070000	20080000
chr1	20280000	20290000
chr1	20430000	20440000
chr1	20970000	20980000
chr1	20980000	20990000
chr1	20990000	21000000
chr1	21000000	21010000
chr1	21010000	21020000
chr1	21020000	21030000
chr1	21030000	21040000
chr1	21040000	21050000
chr1	21050000	21060000
chr1	21060000	21070000
chr1	21070000	21080000
chr1	21080000	21090000
chr1	21090000	21100000
chr1	21100000	21110000
chr1	21110000	21120000
chr1	21120000	21130000
chr1	21380000	21390000
chr1	21990000	22000000
chr1	22130000	22140000
chr1	22140000	22150000
chr1	22150000	22160000
chr1	22160000	22170000
chr1	22250000	22260000
chr1	22350000	22360000
chr1	22430000	22440000
chr1	22570000	22580000
chr1	22970000	22980000
