bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
150000,160000,0.97,80000,chr2,-1.135840304172622,1.59401804233845
340000,350000,0.97,80000,chr2,-0.8553245278343915,0.8736758394952444
1120000,1130000,0.97,80000,chr2,-0.599640271548694,0.7468231825869145
1230000,1240000,0.97,80000,chr2,-0.3982313683873089,0.7690451510035956
2910000,2920000,0.97,80000,chr2,-0.7076009003638483,0.8696878510645898
3910000,3920000,0.97,80000,chr2,-0.9539579542559996,1.3516392911172623
10260000,10270000,0.97,80000,chr2,-0.7864084429455508,1.2299480021458458
13680000,13690000,0.97,80000,chr2,-2.2227878981296723,2.891123418936052
17060000,17070000,0.97,80000,chr2,-0.22091313756089118,0.7594543293164554
20400000,20410000,0.97,80000,chr2,-0.4069064306785244,0.7699212669570441
22580000,22590000,0.97,80000,chr2,-0.7653907160728486,1.3495640614525035
23170000,23180000,0.97,80000,chr2,-0.43085742198318217,0.7771547228970634
24060000,24070000,0.97,80000,chr2,-0.6392345226732795,1.1098897954172044
28230000,28240000,0.97,80000,chr2,-2.4674029477948825,3.085280955675299
28360000,28370000,0.97,80000,chr2,-2.0573457444275403,2.0722390083705857
28690000,28700000,0.97,80000,chr2,-2.3965542450184034,2.413653553306864
36460000,36470000,0.97,80000,chr2,-0.5591872827986774,0.8909152243743439
41820000,41830000,0.97,80000,chr2,-0.8738040197219912,1.0251705735659917
42860000,42870000,0.97,80000,chr2,-1.0047600075506076,1.5710756279061244
45000000,45010000,0.97,80000,chr2,-0.4510188557417028,0.7514219598071668
45480000,45490000,0.97,80000,chr2,-0.6770079875848822,1.1620551299792767
47680000,47690000,0.97,80000,chr2,-0.4734854326967864,0.8997663770191779
53670000,53680000,0.97,80000,chr2,-2.4073892365530263,2.806975201967911
53880000,53890000,0.97,80000,chr2,-2.581554261077039,3.2498897818834185
54850000,54860000,0.97,80000,chr2,-0.49497494241713796,0.8364047531787485
54990000,55000000,0.97,80000,chr2,-0.5916551480899914,1.0434012336944156
56910000,56920000,0.97,80000,chr2,-1.701048532033789,2.2457646241877645
57020000,57030000,0.97,80000,chr2,-0.8309635055405861,0.925293468893305
58740000,58750000,0.97,80000,chr2,-1.837820534039853,1.7286079193160095
58940000,58950000,0.97,80000,chr2,-1.4124189922442416,0.7546959496957947
