bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength,ins_score_sperm.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_5.3.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
100000,110000,0.9,130000,chr1,-0.3972847312285627,0.9444182690953358,-0.7738361057603821,-0.21098864441656415,0.09261361180584746,-0.5561263068916598,-0.4015504216176548,-0.3972847312285627,-0.6854705341073772
670000,680000,0.9,130000,chr1,-0.4104092387943925,0.9523251193858628,0.2638765936068294,0.10824626361113207,-0.19021885639022734,-0.3956438437606289,-0.4749906841121535,-0.4104092387943925,-0.2434498600632855
1080000,1090000,0.9,130000,chr1,-0.5756977885915984,1.0672376934859429,-0.49599632445803926,-0.7717058025245764,-0.7278628010519492,-0.8941248221727796,-0.9412895531011879,-0.5756977885915984,-0.6526576974034138
1340000,1350000,0.9,130000,chr1,-1.164164809103064,1.893458947658584,-0.5040988853817131,-0.6076812225561629,-0.7328009494909135,-0.8986057487352471,-0.8202384168586473,-1.1641648091030639,-0.903734066981267
1630000,1640000,0.9,130000,chr1,-0.4582284500281954,1.103503560107112,-0.4289057866245903,-0.3588676416881613,-0.47956162138647385,-0.4955860189522315,-0.5054204786863278,-0.45822845002819546,-0.8728639278429859
2260000,2270000,0.9,130000,chr1,-0.4062938603120871,0.891232355795618,0.26583237552593825,0.3334550290937803,-0.160360602649417,0.007082341409997669,-0.1179683745406354,-0.40629386031208714,-0.31329568047876666
2440000,2450000,0.9,130000,chr1,-0.9896927428734572,1.4140504317065132,-0.386171517739364,-0.3383517206459528,-0.6735362537435599,-0.3539791292751712,-0.4620548329424893,-0.9896927428734572,-0.8431645135093363
3640000,3650000,0.9,130000,chr1,-1.6183591959484005,2.568265336909465,-1.6398003013930076,-1.2053254173348176,-1.4738783455904505,-1.6482135977763153,-1.6517537200844261,-1.6183591959484003,-1.3843488923191218
6140000,6150000,0.9,130000,chr1,-0.5468390821864776,0.9392855061206352,-0.12634812181409197,-0.10927262474684196,-0.13016676397438884,-0.16691889047409014,-0.08478813513275553,-0.5468390821864776,-0.5313174820619918
6650000,6660000,0.9,130000,chr1,-0.6300501615193941,0.8011250765015677,-0.061874485509221415,-0.17357634169753106,-0.31592222836140793,-0.18171190545711507,-0.23021756248592856,-0.6300501615193941,-0.517740035894923
7500000,7510000,0.9,130000,chr1,-0.9414089882201973,1.4222152010740117,-0.14501799163926823,-0.1402656344770203,-0.4264349056729158,-0.38793587680915437,-0.5063848734246709,-0.9414089882201971,-0.7128424316923739
7930000,7940000,0.9,130000,chr1,-0.7009437175840114,0.9571406195988588,-0.35468464704363467,-0.30249314959592166,-0.5645733513395101,-0.4512876925499288,-0.5091837471211998,-0.7009437175840114,-0.3900299095940476
8680000,8690000,0.9,130000,chr1,-0.7053491660372334,1.212710032753786,-0.18975263756037256,-0.014976970307403423,-0.2411010560997017,-0.3035606827369969,-0.09458976873324683,-0.7053491660372334,-0.64174597159891
9250000,9260000,0.9,130000,chr1,-0.4840694509921759,0.8854845309052479,-0.09916540977493432,0.012424437570177983,-0.24353091328108603,-0.28774545041547944,-0.16019175913797395,-0.48406945099217596,-0.28777367173941953
