bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.95,20000,chr1,-1.8430645135717247,2.4388833205703127
760000,770000,0.95,20000,chr1,-4.190118766776558,6.093154257201094
780000,790000,0.95,20000,chr1,-3.4474103040809454,2.308303724440112
1080000,1090000,0.95,20000,chr1,-1.8639552210135442,2.797143188663018
1340000,1350000,0.95,20000,chr1,-2.9454746551682485,3.814008920396782
1630000,1640000,0.95,20000,chr1,-0.7889050023705898,1.3716237455143658
2510000,2520000,0.95,20000,chr1,-1.7578331150466044,2.3924061095580242
2990000,3000000,0.95,20000,chr1,-0.9852746684757596,1.5672769280599392
3070000,3080000,0.95,20000,chr1,-1.69517428375458,2.3577589862356403
3100000,3110000,0.95,20000,chr1,-1.2638891305811206,1.5568982360271444
3120000,3130000,0.95,20000,chr1,-1.3057308592539616,2.091222385470861
3650000,3660000,0.95,20000,chr1,-4.13934101603024,5.242240734999919
3870000,3880000,0.95,20000,chr1,-1.0716286789611114,1.8848421919899163
4510000,4520000,0.95,20000,chr1,-0.7903616339372767,1.537365329294181
4780000,4790000,0.95,20000,chr1,-1.403946923587991,2.091300798806594
4840000,4850000,0.95,20000,chr1,-1.297632842687137,1.2269690664435864
5900000,5910000,0.95,20000,chr1,-1.0529836876159844,1.4954855685734667
6170000,6180000,0.95,20000,chr1,-0.8479177021081009,1.2394960993970052
10130000,10140000,0.95,20000,chr1,-0.6742153189418323,1.3414668761680488
12260000,12270000,0.95,20000,chr1,-0.6672990216401706,1.2467566206055953
13560000,13570000,0.95,20000,chr1,-0.9162186534630843,1.5877483934389676
14000000,14010000,0.95,20000,chr1,-0.8215210178856882,1.210752637479218
15730000,15740000,0.95,20000,chr1,-3.6094419636000565,4.755595687912132
15750000,15760000,0.95,20000,chr1,-3.422166468116458,3.0613988497550997
16140000,16150000,0.95,20000,chr1,-0.9573470489489515,1.5762267591609633
17180000,17190000,0.95,20000,chr1,-1.3340595490443028,2.0759898897798017
17780000,17790000,0.95,20000,chr1,-0.8985443153714724,1.3284861671685975
18660000,18670000,0.95,20000,chr1,-0.9591061394063253,1.4969910231933832
19420000,19430000,0.95,20000,chr1,-0.765761940724711,1.283347394308182
21200000,21210000,0.95,20000,chr1,-0.7724346427607053,1.3267489128120826
21600000,21610000,0.95,20000,chr1,-0.7521296574810266,1.4228455891918828
22460000,22470000,0.95,20000,chr1,-1.368347195329042,2.2708046732428446
23920000,23930000,0.95,20000,chr1,-0.8626691774598543,1.4338084800179711
25480000,25490000,0.95,20000,chr1,-0.7695441346717427,1.332667804999838
26270000,26280000,0.95,20000,chr1,-1.0257015773479545,1.7655672284137727
26760000,26770000,0.95,20000,chr1,-0.7552620129534665,1.3805843256347647
28060000,28070000,0.95,20000,chr1,-0.7274744168808209,1.5873052903814893
28940000,28950000,0.95,20000,chr1,-0.7771156934463229,1.455218016093872
29140000,29150000,0.95,20000,chr1,-0.8281302564861075,1.649845154443117
30060000,30070000,0.95,20000,chr1,-1.2121094479978238,1.9872762365414385
30510000,30520000,0.95,20000,chr1,-0.7605984311407398,1.2574894097764289
31720000,31730000,0.95,20000,chr1,-0.6438515350190647,1.3344635579744069
32110000,32120000,0.95,20000,chr1,-2.3019095043759457,3.1428616255773876
33210000,33220000,0.95,20000,chr1,-0.9385463105895113,1.504658329563164
33550000,33560000,0.95,20000,chr1,-0.85926995208953,1.246707900964443
33840000,33850000,0.95,20000,chr1,-0.7023482967477869,1.2387787348222676
34360000,34370000,0.95,20000,chr1,-0.7865635946080239,1.4135687985573173
35450000,35460000,0.95,20000,chr1,-0.8580979508468725,1.5202718147046517
35890000,35900000,0.95,20000,chr1,-0.7180834298512674,1.2667943518444091
36690000,36700000,0.95,20000,chr1,-0.6645181224931799,1.2835351375203083
38510000,38520000,0.95,20000,chr1,-0.7841805223980233,1.4203069817088863
38940000,38950000,0.95,20000,chr1,-0.89301246502953,1.4434829389753263
40230000,40240000,0.95,20000,chr1,-0.7823719311225187,1.256313360459336
40710000,40720000,0.95,20000,chr1,-5.575802885849638,7.88708652726652
41570000,41580000,0.95,20000,chr1,-1.8534704994091964,2.1873812120620313
42880000,42890000,0.95,20000,chr1,-0.8147460258039138,1.2210987300479959
44160000,44170000,0.95,20000,chr1,-0.8588807437126172,1.4643774879985734
45040000,45050000,0.95,20000,chr1,-0.6630178053536598,1.263629692246507
46030000,46040000,0.95,20000,chr1,-1.7650777134604656,2.5764235242583977
48580000,48590000,0.95,20000,chr1,-0.8453270479071906,1.4497681688194182
49350000,49360000,0.95,20000,chr1,-0.6616233601346124,1.3554226711292254
52750000,52760000,0.95,20000,chr1,-1.127732971360546,2.0145348293456062
54620000,54630000,0.95,20000,chr1,-0.632543711888835,1.4066235612161337
55080000,55090000,0.95,20000,chr1,-0.4699144502723042,1.23359202687417
55340000,55350000,0.95,20000,chr1,-0.44890359321143836,1.5684444910362325
55690000,55700000,0.95,20000,chr1,-0.4333104647704361,1.5150352721480194
55730000,55740000,0.95,20000,chr1,-0.6478452226652913,1.3937856182765425
56420000,56430000,0.95,20000,chr1,-1.103603178413038,1.8294648520854049
56700000,56710000,0.95,20000,chr1,-1.7294474776085074,3.5250491662231775
57290000,57300000,0.95,20000,chr1,-0.3670080041508238,1.3607266466715418
57990000,58000000,0.95,20000,chr1,-0.3924390964519436,1.9317703366189745
58680000,58690000,0.95,20000,chr1,-0.7148580703918621,1.4068895454521573
58930000,58940000,0.95,20000,chr1,-3.1933644862541284,3.442860068492427
58950000,58960000,0.95,20000,chr1,-3.3178238817028576,3.4506414326488875
58970000,58980000,0.95,20000,chr1,-3.0179132800315527,2.077024601810609
59000000,59010000,0.95,20000,chr1,-4.024695132422308,4.811021620956572
59050000,59060000,0.95,20000,chr1,-4.046869028032338,6.358152669449222
59230000,59240000,0.95,20000,chr1,-1.0027578230046135,1.6968875618873458
59330000,59340000,0.95,20000,chr1,-1.0626981829139603,2.104996667983334
150000,160000,0.95,50000,chr2,-1.3621896390346806,1.4662363207364284
240000,250000,0.95,50000,chr2,-1.3088107844219967,1.3033031288695947
340000,350000,0.95,50000,chr2,-1.4833451764841428,1.9278208334413711
670000,680000,0.95,50000,chr2,-0.698342482494969,0.995365339514863
1130000,1140000,0.95,50000,chr2,-0.9541136191630748,1.3231416702781091
1220000,1230000,0.95,50000,chr2,-0.7035599765692262,0.8513342061150471
2650000,2660000,0.95,50000,chr2,-1.738533806390952,2.3427468312575606
2910000,2920000,0.95,50000,chr2,-0.7087238308492525,0.8674325141807736
10260000,10270000,0.95,50000,chr2,-0.8067348280499964,1.2425511574008683
11040000,11050000,0.95,50000,chr2,-0.44309320915940503,0.810320082628547
11920000,11930000,0.95,50000,chr2,-0.5068039243843009,1.0878372971258163
13680000,13690000,0.95,50000,chr2,-1.787501383320554,2.7124477963029303
14470000,14480000,0.95,50000,chr2,-0.3631915012036317,1.16646106496399
15680000,15690000,0.95,50000,chr2,-0.4897737565948292,1.019217520855434
20790000,20800000,0.95,50000,chr2,-0.3565606021543299,0.8406637046093464
21450000,21460000,0.95,50000,chr2,-0.30938751888886057,0.8343588348931468
22580000,22590000,0.95,50000,chr2,-0.9231113175231377,1.37697162291026
25120000,25130000,0.95,50000,chr2,-0.3875004428008728,0.8051202529386869
25520000,25530000,0.95,50000,chr2,-0.438008907301658,0.867748467216143
28230000,28240000,0.95,50000,chr2,-2.4730255411693474,3.1290913141064625
28370000,28380000,0.95,50000,chr2,-2.848569295155145,3.7735157081375212
28690000,28700000,0.95,50000,chr2,-2.235514246407786,2.586618025899362
41740000,41750000,0.95,50000,chr2,-2.487985710948756,2.9526377313104772
41800000,41810000,0.95,50000,chr2,-2.212962077149659,1.9035184838687984
42390000,42400000,0.95,50000,chr2,-1.0853303737198998,1.2752564315147144
42870000,42880000,0.95,50000,chr2,-1.1448310918298077,1.4841737046292083
43580000,43590000,0.95,50000,chr2,-0.6419831975511616,0.9002250851252647
43930000,43940000,0.95,50000,chr2,-0.8624669799307754,1.1967352251486494
45490000,45500000,0.95,50000,chr2,-0.5895530323780951,0.9335681918838816
50050000,50060000,0.95,50000,chr2,-0.4692271581414475,0.8803856423931999
50290000,50300000,0.95,50000,chr2,-0.4331634214031757,0.8090007344703394
53190000,53200000,0.95,50000,chr2,-1.042829431326836,1.2652887908433417
53270000,53280000,0.95,50000,chr2,-1.0592208604802753,1.4833563563298073
53670000,53680000,0.95,50000,chr2,-2.1128953336635083,2.512438209306494
53890000,53900000,0.95,50000,chr2,-2.488871308703259,3.0396449286859593
54850000,54860000,0.95,50000,chr2,-1.2093762788091929,1.6563200007518681
54990000,55000000,0.95,50000,chr2,-0.5606321635289115,0.8206793915925806
56480000,56490000,0.95,50000,chr2,-0.4437787945163223,0.8301432554513897
56910000,56920000,0.95,50000,chr2,-1.8603094598689334,2.4659942959312158
57020000,57030000,0.95,50000,chr2,-1.5140465014459774,2.066767102883035
57230000,57240000,0.95,50000,chr2,-1.0038139590989656,1.2224686422719706
58090000,58100000,0.95,50000,chr2,-0.6953749919200763,1.27464213079321
58670000,58680000,0.95,50000,chr2,-0.7527095372774476,0.8315930058967658
