ch,bgn,end,unknown,sim,bs_threshold,window,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
chr7,31550000,31560000,42430,0.4090562689910883,0.9,230000,-0.002672331910206561,-0.10056316549428752,0.02188633868817484,0.22955009806325394,0.25567987428139544
chr2,34030000,34040000,9361,0.3920294432889776,0.9,250000,-0.015151324983764895,0.090550855284242,0.1058373614840595,0.40698180161902364,0.11111873454332645
chr23,23080000,23090000,124242,0.3920271692501436,0.9,120000,0.022220773068030265,0.006265544195117643,0.17580797456185368,0.6810038557054735,0.5156947222685849
chr7,21720000,21730000,41447,0.3907193383804372,0.9,230000,-0.03995414558875539,0.14076759497981264,0.3902289727799233,0.4265570741309707,0.192322218895941
chr4,14560000,14570000,19642,0.3746746439575343,0.9,150000,-0.07064773556892906,0.26933244366015346,0.32172309367695473,0.8886527470011738,0.644473881508855
chr22,11000000,11010000,119120,0.369805790922921,0.9,220000,0.04175489625973053,0.10453806816140078,0.0519732842709991,0.30645708585086684,0.07913673729261357
chr4,12860000,12870000,19472,0.3682945378182852,0.9,150000,0.0285688271628131,0.24268399045820774,0.4771400920289113,0.8186344438858498,0.5216516058889943
chr25,18350000,18360000,132610,0.3655989520398609,0.9,170000,0.05185722916535077,0.34661833989051966,0.07636147985688385,0.6594478528601407,0.2807989610073632
chr15,16270000,16280000,83905,0.3650144786587087,0.9,210000,0.07615387046941378,0.18106976110363138,0.21436926954061794,0.5476296442811436,0.3489504165594002
chr3,53600000,53610000,17283,0.3620143186688351,0.9,140000,0.10288896006247297,0.26276122591659146,0.32201467728289423,0.8171282453215682,0.533194839838473
chr15,8710000,8720000,83149,0.3618102908790278,0.9,210000,0.18520371544364503,0.2698313555081802,0.26030816723201144,0.5191851348618156,0.2852798072429811
chr7,48640000,48650000,44139,0.3565799171637729,0.9,230000,0.03754536663213983,0.2909273054770821,0.33846309296558436,0.2965145740363545,0.2645249078883093
chr3,41880000,41890000,16111,0.3552936298788881,0.9,140000,-0.0034277978909438476,0.6496488738431843,0.2233736625159787,0.7593352919206623,0.3384030430595441
chr22,18670000,18680000,119887,0.3548969660183153,0.9,220000,-0.05369345930681742,0.17559475589559392,0.2890506064070026,0.5271092060695207,0.25273325479283776
chr22,15850000,15860000,119605,0.3540632812401396,0.9,220000,-0.03969768656684494,0.12621792314306918,0.11739937302858325,0.34198035064034477,0.2067587268612161
chr2,27490000,27500000,8707,0.3487729141242975,0.9,250000,-0.06113868193282634,0.28816553055328037,0.3231970482460179,0.4738540814920686,0.22200457120262457
chr5,48090000,48100000,30805,0.3471647148499867,0.9,190000,0.25255427589515766,0.391129140680054,0.31313491775456515,0.5592668487251446,0.41092511725335773
chr6,6560000,6570000,33903,0.3467553102665094,0.9,160000,-0.02619886513064415,0.0780777908806179,0.02241202698517426,0.40060054239658993,0.29141029676957314
