bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.9,100000,chr1,-0.71099083734864,1.2039536158125448
770000,780000,0.9,100000,chr1,-0.42768288009778954,0.7318939599805778
1090000,1100000,0.9,100000,chr1,-0.9753442412444863,1.3658268160412497
1350000,1360000,0.9,100000,chr1,-1.112190251510644,1.5776106607217992
1630000,1640000,0.9,100000,chr1,-0.5631929774490664,0.9490542854474533
2020000,2030000,0.9,100000,chr1,-0.12219063739874556,0.4887687937696962
2510000,2520000,0.9,100000,chr1,-0.7299864134885291,1.1386110652913823
3060000,3070000,0.9,100000,chr1,-0.4344351049904751,0.7511713791345422
3640000,3650000,0.9,100000,chr1,-1.7294489345253719,2.5232281723789214
4030000,4040000,0.9,100000,chr1,-0.2557070280693218,0.5231010676238392
4710000,4720000,0.9,100000,chr1,-0.3507522398317495,0.6357819632495354
7500000,7510000,0.9,100000,chr1,-0.3398963816407033,0.5607328601446371
7940000,7950000,0.9,100000,chr1,-0.520925942357551,0.8334237154125732
8480000,8490000,0.9,100000,chr1,-0.4278269752569476,0.6536464568524469
9220000,9230000,0.9,100000,chr1,-0.3319605311580223,0.5243853119485509
9480000,9490000,0.9,100000,chr1,-0.315961897260889,0.48494818893889113
11110000,11120000,0.9,100000,chr1,-0.473568295989002,0.7076089588851626
13910000,13920000,0.9,100000,chr1,-0.42430091221559124,0.555443659602999
15230000,15240000,0.9,100000,chr1,-0.30242722828311697,0.6480896609903973
15740000,15750000,0.9,100000,chr1,-0.5432805286116695,0.8941061056578707
16680000,16690000,0.9,100000,chr1,-0.48353748845033073,0.6999112685444949
17720000,17730000,0.9,100000,chr1,-0.47115606904324325,0.7119488492655557
18350000,18360000,0.9,100000,chr1,-0.39258579631003493,0.4864208486812907
19100000,19110000,0.9,100000,chr1,-0.307848374721108,0.671099709859994
20730000,20740000,0.9,100000,chr1,-0.2611157428076858,0.5023038335418398
21600000,21610000,0.9,100000,chr1,-0.30248797771821206,0.6115247961292851
22870000,22880000,0.9,100000,chr1,-0.23582113251744996,0.5324542230632743
23630000,23640000,0.9,100000,chr1,-0.2317938149476468,0.5383362005824481
23910000,23920000,0.9,100000,chr1,-0.4820840590669184,0.9878858734265394
25030000,25040000,0.9,100000,chr1,-0.33897338799629234,0.5920027921794437
