bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.9,90000,chr1,-0.584854604457431,1.0806445295475893
770000,780000,0.9,90000,chr1,-0.3902189385195057,0.8726650729553196
1090000,1100000,0.9,90000,chr1,-1.0603935473516746,1.619233476119092
1340000,1350000,0.9,90000,chr1,-0.9930074727325033,1.4769592314337578
1630000,1640000,0.9,90000,chr1,-0.5194634041884282,0.9579867832724782
2510000,2520000,0.9,90000,chr1,-0.735246666712624,1.0874698518611918
3060000,3070000,0.9,90000,chr1,-0.43664438105797954,0.7393387081393678
3640000,3650000,0.9,90000,chr1,-1.672408067698902,2.6933435628761857
4410000,4420000,0.9,90000,chr1,-0.4429610793223591,0.7158718261647816
5220000,5230000,0.9,90000,chr1,-0.29224194958791866,0.5326360850893773
5580000,5590000,0.9,90000,chr1,-0.32714836025795285,0.5045668503442768
6350000,6360000,0.9,90000,chr1,-0.3442100949436335,0.5163400461795279
7500000,7510000,0.9,90000,chr1,-0.42821276903311883,0.7144418589399063
7920000,7930000,0.9,90000,chr1,-0.48368502636888,0.5924917822383989
8480000,8490000,0.9,90000,chr1,-0.5039878293065164,0.7984121047343944
9090000,9100000,0.9,90000,chr1,-0.353504966682133,0.5255099713246488
9940000,9950000,0.9,90000,chr1,-0.29691066261822285,0.56418247332057
10690000,10700000,0.9,90000,chr1,-0.3750331388873433,0.6514657856916396
11110000,11120000,0.9,90000,chr1,-0.4405070846683542,0.6720946535261935
12410000,12420000,0.9,90000,chr1,-0.38476530046762736,0.5595047983764375
13920000,13930000,0.9,90000,chr1,-0.4605281490195175,0.7895821760725145
15180000,15190000,0.9,90000,chr1,-0.2729924059905461,0.6049723602474488
15740000,15750000,0.9,90000,chr1,-0.7006404603095767,1.0751212813290552
16340000,16350000,0.9,90000,chr1,-0.45796451988426257,0.5575022704891649
16690000,16700000,0.9,90000,chr1,-0.7217970587973006,1.1961176978193118
16950000,16960000,0.9,90000,chr1,-0.3622508656185963,0.5347186197786136
18330000,18340000,0.9,90000,chr1,-0.45235311034674935,0.5928574433243119
18800000,18810000,0.9,90000,chr1,-0.4722212653394943,0.7287544099745865
19330000,19340000,0.9,90000,chr1,-0.3734322730997016,0.8097628820282802
20730000,20740000,0.9,90000,chr1,-0.30069686393809436,0.6196246497287903
21320000,21330000,0.9,90000,chr1,-0.38931496142746685,1.0727828706832276
21590000,21600000,0.9,90000,chr1,-0.3343765329655133,0.49312350026203633
22610000,22620000,0.9,90000,chr1,-0.31327909348658445,0.5707694741512359
23380000,23390000,0.9,90000,chr1,-0.1038909506296129,0.6214291958014868
23630000,23640000,0.9,90000,chr1,-0.33875145252555405,0.5422506461160094
23940000,23950000,0.9,90000,chr1,-0.34314789840848525,0.9316048065378318
24990000,25000000,0.9,90000,chr1,-0.2363931066837796,0.5979798444442759
26030000,26040000,0.9,90000,chr1,-0.22478427523514227,0.5930503804727454
26690000,26700000,0.9,90000,chr1,-0.2523204651290495,0.8193956509159438
29140000,29150000,0.9,90000,chr1,-0.15532833729862766,0.8001584942410362
29650000,29660000,0.9,90000,chr1,-0.22854284167805075,0.8343403994587646
30520000,30530000,0.9,90000,chr1,-0.3710425987219803,0.8005306786419716
31120000,31130000,0.9,90000,chr1,-0.32238117852132797,0.6599855678165065
32620000,32630000,0.9,90000,chr1,-0.17663564680176677,0.5087771870246608
34390000,34400000,0.9,90000,chr1,-0.3099746233893454,0.6127583210708093
35460000,35470000,0.9,90000,chr1,-0.3196435658826594,0.5687532865324907
35600000,35610000,0.9,90000,chr1,-0.3695095319664941,0.6666187317846735
36270000,36280000,0.9,90000,chr1,-0.34327610275787607,0.5183797359177791
37400000,37410000,0.9,90000,chr1,-0.43688721904645655,0.56543241144084
38120000,38130000,0.9,90000,chr1,-0.538150343766282,0.9487488245155158
38430000,38440000,0.9,90000,chr1,-0.4814794569882243,0.6032282111638219
38810000,38820000,0.9,90000,chr1,-0.5022340143130858,0.696149933812991
39870000,39880000,0.9,90000,chr1,-0.26460823002170364,0.49629677690058394
