ch,bgn,end,unknown,sim,bs_threshold,window,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
chr19,48060000,48070000,107866,0.3874454418584679,0.97,210000,0.14790469066881695,0.41652474833196407,-0.20636814797303535,-0.2984280080692424,-0.336557835655351
chr2,41780000,41790000,10136,0.3820737936666891,0.97,250000,-0.09917314292039386,0.13546433797190766,0.2502997971415698,0.47625416268932225,0.2912489659243367
chr21,45070000,45080000,117933,0.3799207744229507,0.97,140000,-0.04845755340865785,0.06433882434606572,0.08553335241704378,0.07188250947278695,0.02423443414085431
chr7,350000,360000,39310,0.3545564871985495,0.97,250000,0.9903778169340143,1.3271135145647588,0.5096404628299871,0.1489357208349916,0.6419991532599674
chr21,44670000,44680000,117893,0.3487619026910002,0.97,140000,-0.27516752539930284,-0.061473200513170366,-0.2525937103696415,-0.04436884456002625,-0.2333936025562907
chr4,72070000,72080000,25393,0.3381028932435672,0.97,270000,0.48301147671247774,0.5753309578819525,0.6628031635946494,0.8426275057868875,0.7708271931847333
chr18,1810000,1820000,98138,0.3241459898723827,0.97,270000,-0.4500802648948859,-0.26189458448735137,-0.15701985757072343,-0.36213871985116586,-0.35275854643501103
chr19,47810000,47820000,107841,0.3205133798343766,0.97,210000,0.3425050268728414,0.4893637795522167,0.38636936073249756,0.3076706807784237,0.13873921834973305
chr6,7900000,7910000,34037,0.3094046132502964,0.97,250000,-0.30569124340122894,-0.19208487858310472,-0.26288837445077096,-0.4842428556201348,-0.2926250653756433
chr2,300000,310000,5988,0.3084923498714126,0.97,250000,0.354833527634964,0.5381297184632284,0.21759990532416038,0.1708183658211325,0.07676419436544547
chr18,2890000,2900000,98246,0.3036587910349072,0.97,270000,0.22583856899609528,0.25896562755110375,0.29715954310101034,0.4230604549005027,0.22947920747391476
chr25,500000,510000,130825,0.2939180540957433,0.97,230000,0.31095788789046747,0.49306590730808986,0.385236611361346,0.18682292951329751,0.09618297264214493
chr6,1680000,1690000,33415,0.2874529064480214,0.97,250000,-0.04905673070247326,0.3427610795570434,0.23795562491683075,-0.07938600340924729,-0.1496381397319639
chr19,47440000,47450000,107804,0.2832689026605556,0.97,210000,0.10516058269432658,0.2687005988835738,0.271818496904998,0.06996748091220456,-0.33903174978617706
chr15,47260000,47270000,87004,0.2712880835359005,0.97,280000,-0.178458123570507,0.3366286589044133,-0.1283904474827954,-0.36129569813451573,-0.5581161990831416
chr25,2430000,2440000,131018,0.2702685841913408,0.97,230000,0.00795604516457574,0.2787869110918579,0.3496664913842653,0.09733690173494441,-0.06978729863711021
chr25,36650000,36660000,134440,0.2681268204839098,0.97,230000,-0.021292818517341612,0.3572895756990878,0.18998042440952354,0.13858311061574352,0.16665638705599312
chr4,1420000,1430000,18328,0.2648478481728101,0.97,270000,0.12812328531395317,0.10784511765318282,0.11480329045932068,0.28427551493726355,0.348293925607844
chr4,74620000,74630000,25648,0.2630733082229803,0.97,270000,0.6524052496088592,0.9118934387526062,1.2621719181413378,1.0885657227333314,0.669711960502502
chr2,58840000,58850000,11842,0.2610902662439493,0.97,250000,0.6116584482400431,0.9077161474599256,0.5635622992621804,0.5712708739379831,0.27091733380637517
chr19,2330000,2340000,103293,0.2600765051672351,0.97,210000,0.27588184370984864,0.6222217961111336,0.6166201687127258,0.45045360571078125,0.2891056247400302
chr25,7030000,7040000,131478,0.255441131100041,0.97,230000,-0.24243344667342606,0.028809230187323034,0.15836565411053857,0.21343020563264964,0.23722976880248714
chr2,43620000,43630000,10320,0.2550594482067413,0.97,250000,0.23835922922626424,0.30108961881603435,0.28027702304219565,0.21059570452845133,0.04504322792988436
chr19,2590000,2600000,103319,0.2550588724386644,0.97,210000,0.22475423071517314,0.31160988765041914,0.2788096215409813,0.14566261144733597,0.09309226724693802
chr19,1100000,1110000,103170,0.2509794458301701,0.97,210000,0.3432109562510533,0.6595713077191848,0.589959088860981,0.34688458640582887,0.37771110950349895
chr14,1630000,1640000,77174,0.2451710218318792,0.97,270000,-0.1245217225654982,0.54656738974408,0.30745072353718117,0.08804096608436637,-0.0903571321588893
chr6,270000,280000,33274,0.2442920163309505,0.97,250000,0.41362941712893453,0.5283764892988295,0.28492257531450615,0.09813821696101832,-0.038840631079023524
chr12,48710000,48720000,71744,0.2389592329669291,0.97,150000,0.4158523482541497,0.6153788765534403,0.44047998171412533,0.43132388277629014,0.17616612058786224
chr18,49420000,49430000,102899,0.238427293780954,0.97,270000,0.014324564716004727,0.34687921386300613,0.3943768805333212,0.3707881606748417,0.19618617010620082
chr4,75370000,75380000,25723,0.2377315372751357,0.97,270000,0.838674858994438,0.9221322599771912,1.2763724861477321,1.2613629708562164,1.030971793147085
chr24,8130000,8140000,127370,0.2367826043056912,0.97,270000,0.10742557931848982,0.17363970527445244,0.20090413456650102,0.16920905131305203,0.1454438602994698
chr21,410000,420000,113467,0.2329035572511422,0.97,140000,0.5557236433532179,0.7021963073102423,0.3959680596796805,0.4961248070269171,0.3011085338151229
chr3,12000000,12010000,13123,0.2274577119387642,0.97,280000,-0.6629318919782212,-0.5386545255084096,-0.4423977304318323,-0.5591166587719967,-0.7785462083746139
chr24,41470000,41480000,130704,0.2267809231363181,0.97,270000,0.3387918500495469,0.5254146963489196,0.2864231665916668,0.2754584377102036,0.09395288677363994
