bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.95,20000,chr1,-0.9502318512579631,2.2111258882765243
1080000,1090000,0.95,20000,chr1,-1.770673512070051,2.6085579997520694
1350000,1360000,0.95,20000,chr1,-2.93952340642748,4.313942196858337
1570000,1580000,0.95,20000,chr1,-0.5945346024510479,1.430751533948409
2090000,2100000,0.95,20000,chr1,-0.6194285370174109,1.5307701939532432
2510000,2520000,0.95,20000,chr1,-1.2849097502255806,1.9719425898378748
2690000,2700000,0.95,20000,chr1,-1.2565976446088964,1.8046927929888932
2720000,2730000,0.95,20000,chr1,-1.5196542160068427,2.3571463829306594
3060000,3070000,0.95,20000,chr1,-1.1292216847244132,1.86558636118844
3640000,3650000,0.95,20000,chr1,-1.8077733382838705,2.5755380837483526
3840000,3850000,0.95,20000,chr1,-1.0507174944677253,1.6570598782359114
4410000,4420000,0.95,20000,chr1,-1.1260402366494275,1.579125172245977
4700000,4710000,0.95,20000,chr1,-2.0535957384093293,3.279924148958875
4770000,4780000,0.95,20000,chr1,-1.331831190803986,1.379818876108589
4840000,4850000,0.95,20000,chr1,-1.856846734964872,2.1319175384795352
7010000,7020000,0.95,20000,chr1,-0.9473848618261893,1.4160810135186424
7940000,7950000,0.95,20000,chr1,-1.6296135478692535,2.3016673598398207
8380000,8390000,0.95,20000,chr1,-0.9967594374904756,1.68701378368093
10000000,10010000,0.95,20000,chr1,-0.8830275519699201,1.3457474804657623
10960000,10970000,0.95,20000,chr1,-0.9653885303834915,1.6287185147335137
11470000,11480000,0.95,20000,chr1,-0.8533839309929377,1.343980648784578
12050000,12060000,0.95,20000,chr1,-0.9227698065027954,1.476355205270995
12660000,12670000,0.95,20000,chr1,-1.2355841868789155,1.9539481965524799
13250000,13260000,0.95,20000,chr1,-0.8604251869758653,1.342675104913575
13790000,13800000,0.95,20000,chr1,-0.9648895795563591,1.6412255846978367
15650000,15660000,0.95,20000,chr1,-1.2932337500058788,1.7161587170273749
16070000,16080000,0.95,20000,chr1,-1.3885818626994837,2.22941232404719
16830000,16840000,0.95,20000,chr1,-0.5894880473060077,1.366416336850002
16940000,16950000,0.95,20000,chr1,-0.9250214281499891,1.7736108270977922
17780000,17790000,0.95,20000,chr1,-1.2913591973400909,2.18069113497603
18150000,18160000,0.95,20000,chr1,-1.0387613116835743,1.5298549894757152
18350000,18360000,0.95,20000,chr1,-1.212361623958367,1.8691361300565204
20460000,20470000,0.95,20000,chr1,-1.0357746116567736,1.8675509077471282
21300000,21310000,0.95,20000,chr1,-0.708325624574315,1.3437753188165176
22230000,22240000,0.95,20000,chr1,-0.7890432100375425,1.6183665811297525
