bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
1090000,1100000,0.97,220000,chr1,-0.1530255900290994,0.40889128061611346
1340000,1350000,0.97,220000,chr1,-0.27828892691236334,0.7131483026665146
1640000,1650000,0.97,220000,chr1,-0.2718469474646013,0.5875784605911243
2510000,2520000,0.97,220000,chr1,-0.3318342791744128,0.64009056227503
3640000,3650000,0.97,220000,chr1,-1.3163142447054195,1.9766529278725522
8220000,8230000,0.97,220000,chr1,-0.3497377935246978,0.377023511994573
11110000,11120000,0.97,220000,chr1,-0.3639750326055981,0.5007568891946576
12410000,12420000,0.97,220000,chr1,-0.32177745175515793,0.3898644285439867
16140000,16150000,0.97,220000,chr1,-0.4114407517897738,0.5946772443756303
16700000,16710000,0.97,220000,chr1,-0.2974634067326141,0.396306420175204
19190000,19200000,0.97,220000,chr1,-0.26471121967896066,0.5011811545285663
20520000,20530000,0.97,220000,chr1,-0.23158291987488522,0.41263647157691996
22880000,22890000,0.97,220000,chr1,-0.07506983235858168,0.4343044339873275
23660000,23670000,0.97,220000,chr1,-0.13385297289244258,0.6802908187007498
24750000,24760000,0.97,220000,chr1,-0.020724915947406292,0.38962279103224107
25970000,25980000,0.97,220000,chr1,-0.24329571105969486,0.621267637708433
30520000,30530000,0.97,220000,chr1,-0.17078891334993807,0.3812068287766248
32120000,32130000,0.97,220000,chr1,-0.24973015288750586,0.4899848520160905
38450000,38460000,0.97,220000,chr1,-0.27168002679673825,0.39398026179041873
40710000,40720000,0.97,220000,chr1,-0.7719249575173618,0.8239549225376525
41570000,41580000,0.97,220000,chr1,-0.8950234035154386,1.4881242804763146
43110000,43120000,0.97,220000,chr1,-0.18322622125990068,0.5856918765468926
45110000,45120000,0.97,220000,chr1,-0.03390491988710287,0.4254528424290984
47520000,47530000,0.97,220000,chr1,-0.1956872455141312,0.5357875402658988
48250000,48260000,0.97,220000,chr1,-0.22704123249392805,0.6457719406168029
49330000,49340000,0.97,220000,chr1,-0.1856524602958406,0.382781342781087
52740000,52750000,0.97,220000,chr1,-0.10675119455633438,0.38169906778437435
56010000,56020000,0.97,220000,chr1,-0.121329777609998,0.5900523529304887
57680000,57690000,0.97,220000,chr1,0.007818014668562441,0.40480022566151574
58980000,58990000,0.97,220000,chr1,-0.492599183467513,1.0271457917217939
140000,150000,0.97,130000,chr2,-0.31200763051642016,0.6810668033299969
540000,550000,0.97,130000,chr2,-0.4228650341366075,0.7688802157308687
2910000,2920000,0.97,130000,chr2,-0.48838831173332425,0.5584811297713312
3910000,3920000,0.97,130000,chr2,-0.7780748506308033,1.166348505781948
10260000,10270000,0.97,130000,chr2,-0.6878794758210871,0.9350739118572613
13680000,13690000,0.97,130000,chr2,-2.3730934608540357,2.907736540359151
17060000,17070000,0.97,130000,chr2,-0.12076750549746405,0.5688711044612712
19390000,19400000,0.97,130000,chr2,-0.6144560843442096,1.0726104622751893
20860000,20870000,0.97,130000,chr2,-0.40576183292456425,0.6819257597249654
22580000,22590000,0.97,130000,chr2,-0.4646000230434751,0.9126713587967751
23170000,23180000,0.97,130000,chr2,-0.4071107385424992,0.6775587301659989
24060000,24070000,0.97,130000,chr2,-0.6338468944836732,1.045255007406094
26820000,26830000,0.97,130000,chr2,-0.36416889091341637,0.7435286734752362
28230000,28240000,0.97,130000,chr2,-2.9902749205483006,3.645070081118317
28370000,28380000,0.97,130000,chr2,-2.1242943656577613,1.3407938662873549
28690000,28700000,0.97,130000,chr2,-2.7755522014151417,2.8055529064301075
35280000,35290000,0.97,130000,chr2,-0.20196285636635825,0.7509454706862555
36460000,36470000,0.97,130000,chr2,-0.2965273510025718,0.6643249373872584
41680000,41690000,0.97,130000,chr2,-0.482058563590247,0.7224925563905523
42870000,42880000,0.97,130000,chr2,-0.8619188247386761,1.4067484630004763
45480000,45490000,0.97,130000,chr2,-0.444957871033122,0.8636138365772993
47690000,47700000,0.97,130000,chr2,-0.2380668033732933,0.5949597720832255
49130000,49140000,0.97,130000,chr2,-0.23767515141536422,0.6107200818263556
50990000,51000000,0.97,130000,chr2,-0.38393966945915764,0.7434125642371976
53670000,53680000,0.97,130000,chr2,-2.9563888918966748,3.1288468736237935
53890000,53900000,0.97,130000,chr2,-3.1617951024372717,3.8165902630072885
55320000,55330000,0.97,130000,chr2,-0.2216956953411662,0.6334143087946873
56910000,56920000,0.97,130000,chr2,-1.4974263990469747,2.136280546248447
57220000,57230000,0.97,130000,chr2,-0.544671754306219,0.9544259936979853
58740000,58750000,0.97,130000,chr2,-1.421047459216373,1.85293343517878
59020000,59030000,0.97,130000,chr2,-0.9334490788038313,1.1019065951609661
3670000,3680000,0.97,220000,chr3,-0.3760574350300765,0.8432332063565795
6680000,6690000,0.97,220000,chr3,-0.6154069301478514,0.9886188011008405
9900000,9910000,0.97,220000,chr3,-1.2203931209737662,1.5281174748396675
10440000,10450000,0.97,220000,chr3,-0.9608102732914564,0.8920237813827412
11860000,11870000,0.97,220000,chr3,-1.5622425745949895,2.1012203067958355
12500000,12510000,0.97,220000,chr3,-0.13627110496665465,0.48230747769968685
13960000,13970000,0.97,220000,chr3,-0.2599074192766564,0.7863502711504835
17710000,17720000,0.97,220000,chr3,-0.13075156981417715,0.5264163358718584
19530000,19540000,0.97,220000,chr3,-0.11209437856401831,0.4993615365461387
21700000,21710000,0.97,220000,chr3,-0.2378685575589786,0.6396087015349661
22450000,22460000,0.97,220000,chr3,-0.2530110215077092,0.4645839476221405
27470000,27480000,0.97,220000,chr3,-0.2961670319990862,0.5291514397613464
29980000,29990000,0.97,220000,chr3,-0.3734022219059245,0.600294292244344
34010000,34020000,0.97,220000,chr3,-0.4428735760599239,0.48129742485286786
36360000,36370000,0.97,220000,chr3,-0.638011080897142,0.9447229218856297
37500000,37510000,0.97,220000,chr3,-0.37172138126825555,0.6085871674870049
40970000,40980000,0.97,220000,chr3,-0.241811555261289,0.528029523165459
42890000,42900000,0.97,220000,chr3,-0.8045308069024117,1.0407758272702305
46900000,46910000,0.97,220000,chr3,-1.6220201627976358,2.1609978949984816
48750000,48760000,0.97,220000,chr3,-0.1551059482667195,0.45031239347117524
52720000,52730000,0.97,220000,chr3,-0.21196563496139537,0.6254377407198022
55370000,55380000,0.97,220000,chr3,-1.1983476212337254,1.6462049859644827
56860000,56870000,0.97,220000,chr3,-0.5026928205376926,0.7166992658062574
59420000,59430000,0.97,220000,chr3,-1.1152257518640616,1.5551721728919177
60550000,60560000,0.97,220000,chr3,-0.4585894190609554,0.6797867094577642
60890000,60900000,0.97,220000,chr3,-0.31708432142476284,0.5069900706466962
280000,290000,0.97,240000,chr4,-0.24690275864116354,1.0648546889251136
4920000,4930000,0.97,240000,chr4,-0.7441945079551736,1.3419223500346469
5460000,5470000,0.97,240000,chr4,-0.49766223020324246,0.7797864013350406
5850000,5860000,0.97,240000,chr4,-0.4625999634711226,0.5888802800617559
8400000,8410000,0.97,240000,chr4,-0.2773228869531447,0.7480305711213038
14110000,14120000,0.97,240000,chr4,-0.09980789668866029,0.6293474205328152
18160000,18170000,0.97,240000,chr4,-0.05594553531385592,0.543610632726171
18950000,18960000,0.97,240000,chr4,-0.022666921817365075,0.48040947940814477
23300000,23310000,0.97,240000,chr4,0.02233364644532071,0.4470084944181085
25670000,25680000,0.97,240000,chr4,-0.00915990004428216,0.5355177591985465
26850000,26860000,0.97,240000,chr4,-1.1531233073572094,1.7774981727898678
28560000,28570000,0.97,240000,chr4,-0.7666136019240428,1.275795611617204
72190000,72200000,0.97,240000,chr4,-1.12741113674527,1.7418548300851586
72890000,72900000,0.97,240000,chr4,-1.0454597849716698,1.3016641503175455
74090000,74100000,0.97,240000,chr4,-0.8859917724423227,1.4666452654373223
74380000,74390000,0.97,240000,chr4,-0.11277891222001298,0.4759863021576232
75070000,75080000,0.97,240000,chr4,-1.1860831715971287,1.8562984654491776
77280000,77290000,0.97,240000,chr4,-1.3379815126770422,0.8243665811509264
77550000,77560000,0.97,240000,chr4,-1.623911902126813,2.441863832410763
170000,180000,0.97,140000,chr5,-0.30809799389985354,0.7876811487851034
1170000,1180000,0.97,140000,chr5,-0.817255424344815,1.2748162341806801
1530000,1540000,0.97,140000,chr5,-0.6188083231955467,1.0563721580355083
2400000,2410000,0.97,140000,chr5,-1.4389623369378781,2.09159995406301
2780000,2790000,0.97,140000,chr5,-1.419816095321916,2.030701021569093
4810000,4820000,0.97,140000,chr5,-0.49980797959763307,0.9170193868487302
6440000,6450000,0.97,140000,chr5,-0.6516646655791759,0.9700308127692728
6670000,6680000,0.97,140000,chr5,-0.7936653815483417,1.4002373528169763
7470000,7480000,0.97,140000,chr5,-0.7887041203633952,1.169867777511005
9840000,9850000,0.97,140000,chr5,-0.1598158393373811,0.5190685523671529
11180000,11190000,0.97,140000,chr5,-0.2878437761553682,0.7325449598833542
12580000,12590000,0.97,140000,chr5,-0.24797387103613008,0.5371185648148612
14000000,14010000,0.97,140000,chr5,-0.18703929117931822,0.5445095333308625
15290000,15300000,0.97,140000,chr5,-0.15952544049847042,0.5439982443763456
18500000,18510000,0.97,140000,chr5,-0.3402545202612009,0.48918720068480137
20300000,20310000,0.97,140000,chr5,-0.47777902408887957,0.5624338277901878
26710000,26720000,0.97,140000,chr5,-0.4785023635247567,0.5180622674904249
28850000,28860000,0.97,140000,chr5,-0.5014524822650941,0.9676730904370987
30310000,30320000,0.97,140000,chr5,-0.36317971692194445,0.528891374792975
33330000,33340000,0.97,140000,chr5,-0.23372596233247653,0.4686104900066511
34760000,34770000,0.97,140000,chr5,-0.3967563112797859,0.7677918298474822
36010000,36020000,0.97,140000,chr5,-0.3450512357476678,0.6193338351991247
37760000,37770000,0.97,140000,chr5,-0.3210674242853883,0.6091901326363796
40230000,40240000,0.97,140000,chr5,0.0681980878682395,0.46717707632942934
45650000,45660000,0.97,140000,chr5,-0.9560451182529441,1.1691705569484414
47760000,47770000,0.97,140000,chr5,-2.090805445571042,2.7434430626961737
51980000,51990000,0.97,140000,chr5,-0.14329281342403766,0.46612751977860256
56740000,56750000,0.97,140000,chr5,-0.18904417639555168,0.46415382854113774
57580000,57590000,0.97,140000,chr5,-0.2762379868591885,0.5342181312626998
58670000,58680000,0.97,140000,chr5,-0.5106036951362833,0.8775323718478156
60800000,60810000,0.97,140000,chr5,-0.44694655970673214,0.6194131915527004
61660000,61670000,0.97,140000,chr5,-0.24313673465717342,0.480081737595975
65340000,65350000,0.97,140000,chr5,-0.2641872782255436,0.49633998834516857
66740000,66750000,0.97,140000,chr5,-0.39737643851367144,0.6945689393606811
68530000,68540000,0.97,140000,chr5,-0.35390790105011555,0.6327214041608287
70630000,70640000,0.97,140000,chr5,-0.7161469171367745,1.151979546836536
71680000,71690000,0.97,140000,chr5,-0.010527965964082375,0.4454152466275888
72330000,72340000,0.97,140000,chr5,-0.07535698640691892,0.5640595590723834
1090000,1100000,0.97,290000,chr6,-0.30078512616050807,0.6818956376243062
1870000,1880000,0.97,290000,chr6,-0.36550806643704215,0.7039219101687924
3610000,3620000,0.97,290000,chr6,-0.11094113467492288,0.37866517010995354
5800000,5810000,0.97,290000,chr6,-0.5068681260918305,1.3142538169052882
6390000,6400000,0.97,290000,chr6,-0.16634773896151206,0.3332258145146343
7930000,7940000,0.97,290000,chr6,-0.03719087430224672,0.342651608117954
10960000,10970000,0.97,290000,chr6,0.05765060601513662,0.4766574521683318
11600000,11610000,0.97,290000,chr6,0.022405366934488493,0.5542741925797228
12480000,12490000,0.97,290000,chr6,0.14896544666094275,0.3188584838613152
13560000,13570000,0.97,290000,chr6,-0.06891334088881158,0.6791707067778988
18050000,18060000,0.97,290000,chr6,0.032546043928352114,0.5821212069196773
21280000,21290000,0.97,290000,chr6,0.24269264924539138,0.3631591694743611
23640000,23650000,0.97,290000,chr6,-1.2413453046961378,2.0487309955095956
27920000,27930000,0.97,290000,chr6,-0.1678149359215733,0.3564292231966373
28710000,28720000,0.97,290000,chr6,-0.21467971115434784,0.4113618434576493
33000000,33010000,0.97,290000,chr6,-0.31962810571234884,0.6993518850835253
35030000,35040000,0.97,290000,chr6,-0.3065758181682871,0.42367161968968076
39810000,39820000,0.97,290000,chr6,0.020647712118377994,0.336099461445234
42140000,42150000,0.97,290000,chr6,-0.24840031764774878,0.647516186924485
44520000,44530000,0.97,290000,chr6,-0.3227423109865647,0.43273582954604595
47530000,47540000,0.97,290000,chr6,-0.34446754595119244,0.35228402329296554
49330000,49340000,0.97,290000,chr6,-0.4238458831426869,0.7287648264901557
51220000,51230000,0.97,290000,chr6,-0.23929336022990344,0.5086055371822326
52590000,52600000,0.97,290000,chr6,-0.25084230893989795,0.5307962904682755
55090000,55100000,0.97,290000,chr6,-0.28416135576113255,0.4593667959587505
56670000,56680000,0.97,290000,chr6,-0.3556030758152585,0.6390282820182714
57280000,57290000,0.97,290000,chr6,-0.1478400275663813,0.4223652523491974
59070000,59080000,0.97,290000,chr6,-0.789654798951258,0.8508222871356638
59390000,59400000,0.97,290000,chr6,-0.6497930422480191,0.5558500825490068
59730000,59740000,0.97,290000,chr6,-1.0730127265367537,1.495011445686174
440000,450000,0.97,190000,chr7,-0.4680416317458381,1.3074989650339806
880000,890000,0.97,190000,chr7,-0.19443048088680795,0.7337726664096444
1430000,1440000,0.97,190000,chr7,0.06838526944071521,0.5326873595707239
4290000,4300000,0.97,190000,chr7,0.028938487349935153,0.6743579782532702
9520000,9530000,0.97,190000,chr7,-0.3723939354534079,0.7601691118894176
11190000,11200000,0.97,190000,chr7,-0.4343953234031614,1.2718931030508678
11450000,11460000,0.97,190000,chr7,-0.34914646061449206,0.8562756922799127
12690000,12700000,0.97,190000,chr7,-0.3246647425242296,0.5942883291690277
14650000,14660000,0.97,190000,chr7,-0.24943397366927386,0.4640263610070015
19700000,19710000,0.97,190000,chr7,-0.2643197486722072,0.670688205546486
22520000,22530000,0.97,190000,chr7,-0.03200261225080566,0.5089844093841422
23620000,23630000,0.97,190000,chr7,0.002902761445439515,0.3822796466389936
25770000,25780000,0.97,190000,chr7,-0.3327522942289678,0.8493339860978895
34460000,34470000,0.97,190000,chr7,-0.5068989288950198,0.8060673218840136
36900000,36910000,0.97,190000,chr7,-0.1944471311612513,0.417184294874549
38650000,38660000,0.97,190000,chr7,-0.20578739819804046,0.464502076133417
40360000,40370000,0.97,190000,chr7,-0.16761975606522478,0.3976025597231013
41950000,41960000,0.97,190000,chr7,-0.5263327570894526,0.7966795663654307
43860000,43870000,0.97,190000,chr7,-0.3194574468364912,0.5344386528337577
46840000,46850000,0.97,190000,chr7,-0.20460884633832319,0.39448621090151004
48010000,48020000,0.97,190000,chr7,-0.4022413181092619,0.6251589454462276
49980000,49990000,0.97,190000,chr7,-0.35115970936879237,0.46805512565511254
53010000,53020000,0.97,190000,chr7,-4.595218083668908,5.434675416957051
55070000,55080000,0.97,190000,chr7,-4.569776049599408,4.7693208092924
58890000,58900000,0.97,190000,chr7,-0.24984402082567492,0.48879678004373983
59490000,59500000,0.97,190000,chr7,-1.0868646642554072,1.3363702621769078
60360000,60370000,0.97,190000,chr7,-0.17180687120538315,0.5862090315750094
61030000,61040000,0.97,190000,chr7,-0.27733430936107406,0.624594188487521
63020000,63030000,0.97,190000,chr7,-0.16181214634418736,0.38659995083490134
63830000,63840000,0.97,190000,chr7,-0.49621504494809715,0.7346806870175804
65930000,65940000,0.97,190000,chr7,-0.28577699699302384,0.39203650241618576
68860000,68870000,0.97,190000,chr7,-0.44730514573312785,0.6261951485821444
70550000,70560000,0.97,190000,chr7,-0.2916192060031853,0.4099512881708122
71350000,71360000,0.97,190000,chr7,-0.9141803074436735,1.330533450312359
72850000,72860000,0.97,190000,chr7,-0.4933021773364891,0.7705970283447823
73990000,74000000,0.97,190000,chr7,-0.5742660782874162,0.8924334620987894
170000,180000,0.97,240000,chr8,-0.32432807960293525,0.7141638400542264
430000,440000,0.97,240000,chr8,-0.2373019289868248,0.39260739822350355
1400000,1410000,0.97,240000,chr8,-0.9581828568146291,1.50613173236958
1690000,1700000,0.97,240000,chr8,-0.7995464688568859,0.5058457664002185
2940000,2950000,0.97,240000,chr8,-0.9357037893269095,1.2881569820230774
4280000,4290000,0.97,240000,chr8,-0.5662491449630389,0.6296845141899499
7350000,7360000,0.97,240000,chr8,-0.8321408663135833,0.9495000940947915
7990000,8000000,0.97,240000,chr8,-0.4596253695111342,0.4455384372506829
9350000,9360000,0.97,240000,chr8,-0.2969007524705812,0.49430980213829107
10040000,10050000,0.97,240000,chr8,-0.2876711781400241,0.38955039013573184
12320000,12330000,0.97,240000,chr8,-0.36786489040035164,0.6923898957970955
15270000,15280000,0.97,240000,chr8,-0.2367676003554182,0.59001057425898
17310000,17320000,0.97,240000,chr8,-0.17116274574691104,0.4018136117435145
19800000,19810000,0.97,240000,chr8,-0.21325341172117585,0.6680848169607099
21480000,21490000,0.97,240000,chr8,-0.3129255797727269,0.7142573945970061
22360000,22370000,0.97,240000,chr8,-0.33242639509141403,0.7522261918560995
27990000,28000000,0.97,240000,chr8,-0.3625691221312659,0.43087909750955966
28520000,28530000,0.97,240000,chr8,-0.5695863588472193,1.0447073920331662
39540000,39550000,0.97,240000,chr8,-0.30201057422259875,0.5042227061456963
41750000,41760000,0.97,240000,chr8,-0.24128793715049857,0.39773570871364006
44380000,44390000,0.97,240000,chr8,-1.4748182276787067,2.162303247667145
45630000,45640000,0.97,240000,chr8,-0.48418359063765976,0.5356239409746258
46930000,46940000,0.97,240000,chr8,-0.2320649339144821,0.5314253835834591
50350000,50360000,0.97,240000,chr8,-0.0447299356310476,0.5217531280725785
52470000,52480000,0.97,240000,chr8,-0.2604364854332135,0.9479215054216518
54030000,54040000,0.97,240000,chr8,0.07509162521704874,0.43922310447646284
180000,190000,0.97,160000,chr9,-0.03822970170111386,0.4249393542654181
2100000,2110000,0.97,160000,chr9,-0.2415740934454997,0.486700655667487
5580000,5590000,0.97,160000,chr9,-0.7144985324408434,1.3110848212757011
7430000,7440000,0.97,160000,chr9,-0.20663860122530872,0.3831651603418571
9900000,9910000,0.97,160000,chr9,-0.23096754278431048,0.49292905782162866
12210000,12220000,0.97,160000,chr9,-0.148613992067852,0.3449293935412329
16920000,16930000,0.97,160000,chr9,-0.09375053567847297,0.5378564843314053
17490000,17500000,0.97,160000,chr9,0.057815811224188336,0.369619280117993
19170000,19180000,0.97,160000,chr9,-0.1648546076934329,0.7564520166301341
20860000,20870000,0.97,160000,chr9,-0.0935218089990238,0.4222737804263528
21870000,21880000,0.97,160000,chr9,-0.200058510368534,0.4028669350296957
23440000,23450000,0.97,160000,chr9,-0.23757140725385206,0.7328304271289923
23990000,24000000,0.97,160000,chr9,-0.13243119105587903,0.401206169231511
24670000,24680000,0.97,160000,chr9,-0.21841670123919607,0.5955617256920724
26390000,26400000,0.97,160000,chr9,-0.2043879931668398,0.4957448939220958
27070000,27080000,0.97,160000,chr9,-0.18807262452019297,0.4970467986609189
29170000,29180000,0.97,160000,chr9,-0.2556190893672096,0.5385023364674
30040000,30050000,0.97,160000,chr9,-0.23179288727133981,0.47082314242818146
32460000,32470000,0.97,160000,chr9,-0.3056991981900616,0.7746260585179419
37790000,37800000,0.97,160000,chr9,-0.17683546370261824,0.44793667512396385
39390000,39400000,0.97,160000,chr9,-0.3482695039033932,0.8800767840419583
45840000,45850000,0.97,160000,chr9,-0.28130409047571214,0.5789457188964746
46930000,46940000,0.97,160000,chr9,-0.17199111935702097,0.34798016680841026
47810000,47820000,0.97,160000,chr9,-0.2672581098275702,0.6863885828315064
48510000,48520000,0.97,160000,chr9,-0.11302398989634047,0.48290123712193966
49670000,49680000,0.97,160000,chr9,-0.1764173334888811,0.657586440920777
51070000,51080000,0.97,160000,chr9,-0.3263530704618568,0.7994191428363892
53670000,53680000,0.97,160000,chr9,-0.5612939347870848,0.8991215094436756
54020000,54030000,0.97,160000,chr9,-0.5078683909889293,0.41751409505697334
54220000,54230000,0.97,160000,chr9,-3.0950649495948896,3.096703212710011
54590000,54600000,0.97,160000,chr9,-3.3128263934586872,3.9152407476210778
55960000,55970000,0.97,160000,chr9,-0.6457736877605136,0.6597458695654733
56090000,56100000,0.97,160000,chr9,-1.1612643466709611,1.7636787008333514
220000,230000,0.97,90000,chr10,-0.38419025857806993,0.7485848897482273
1030000,1040000,0.97,90000,chr10,-0.32460341416767274,0.6363771190685673
4230000,4240000,0.97,90000,chr10,-1.4630683008362175,1.9671799903325788
4590000,4600000,0.97,90000,chr10,-1.4327734232877394,1.521613785564142
5620000,5630000,0.97,90000,chr10,-0.13687355069165952,0.5616792686207474
8640000,8650000,0.97,90000,chr10,-0.41110644854119666,0.8611545057295855
10270000,10280000,0.97,90000,chr10,-0.34895635617061843,0.5610897523317231
13430000,13440000,0.97,90000,chr10,-0.28328950838874273,0.6694040986382823
14130000,14140000,0.97,90000,chr10,-0.37671526549720286,0.7186640856699623
16150000,16160000,0.97,90000,chr10,-0.23585119240671892,0.5637189630769363
16840000,16850000,0.97,90000,chr10,-1.875734711826847,2.5847263043776896
20770000,20780000,0.97,90000,chr10,-0.36818730065591765,0.668871304175392
22100000,22110000,0.97,90000,chr10,-0.5707654782015585,0.770500827665019
22850000,22860000,0.97,90000,chr10,-0.5071449734368229,0.6820902850909145
23460000,23470000,0.97,90000,chr10,-0.8841053968430443,1.1969884131874342
25270000,25280000,0.97,90000,chr10,-0.5359250593254754,0.6788891032368529
25910000,25920000,0.97,90000,chr10,-0.525354472042924,0.638436586173592
29930000,29940000,0.97,90000,chr10,-0.28560880473894107,0.6191445254452734
36430000,36440000,0.97,90000,chr10,-0.5538430846846069,1.0693020310718269
40070000,40080000,0.97,90000,chr10,-0.43370480566102276,0.8879456763565357
40410000,40420000,0.97,90000,chr10,-0.26178478208327977,0.5930858508540414
41620000,41630000,0.97,90000,chr10,-0.34484492393045124,0.6824182919707114
44260000,44270000,0.97,90000,chr10,-2.0461596670514894,2.7551512596023318
44550000,44560000,0.97,90000,chr10,-1.4661601441374021,1.6597184739340394
44940000,44950000,0.97,90000,chr10,-0.628403221083307,0.9859620918232701
3020000,3030000,0.97,280000,chr11,-0.4045248486175052,0.97208481727979
4480000,4490000,0.97,280000,chr11,-0.1587793053159932,0.5319820751933917
6460000,6470000,0.97,280000,chr11,-0.08129689623746937,0.5135922523969475
9480000,9490000,0.97,280000,chr11,-0.0627206090872754,0.5847260171156479
10960000,10970000,0.97,280000,chr11,-0.011839606549795642,0.47316541769414344
15220000,15230000,0.97,280000,chr11,-0.5770417769182534,1.0783952723571293
17560000,17570000,0.97,280000,chr11,-0.20928309806047676,0.5121810679413242
22730000,22740000,0.97,280000,chr11,-0.3841171874842012,0.7463871827278822
23970000,23980000,0.97,280000,chr11,-0.42578487145624294,0.587616424824643
27330000,27340000,0.97,280000,chr11,-0.5112554360707978,0.8738030844279676
29950000,29960000,0.97,280000,chr11,-0.8592346823633937,1.446999086937656
32920000,32930000,0.97,280000,chr11,-0.4520701749343658,0.5847037193118065
35140000,35150000,0.97,280000,chr11,-0.746123413914322,0.9241774665144042
39300000,39310000,0.97,280000,chr11,-0.8371207416423203,1.1874545446948894
40860000,40870000,0.97,280000,chr11,-1.145453456265668,1.9269423335968532
41200000,41210000,0.97,280000,chr11,-1.0264385304441528,1.1485956018198595
43440000,43450000,0.97,280000,chr11,-0.20774464273083626,0.9686387552628968
