bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
1090000,1100000,0.97,220000,chr1,-0.1530255900290994,0.4088912806161134
1340000,1350000,0.97,220000,chr1,-0.2782889269123633,0.7131483026665146
1640000,1650000,0.97,220000,chr1,-0.2718469474646013,0.5875784605911243
2510000,2520000,0.97,220000,chr1,-0.3318342791744128,0.64009056227503
3640000,3650000,0.97,220000,chr1,-1.3163142447054197,1.976652927872552
8220000,8230000,0.97,220000,chr1,-0.3497377935246978,0.377023511994573
11110000,11120000,0.97,220000,chr1,-0.3639750326055981,0.5007568891946576
12410000,12420000,0.97,220000,chr1,-0.3217774517551579,0.3898644285439867
16140000,16150000,0.97,220000,chr1,-0.4114407517897738,0.5946772443756303
16700000,16710000,0.97,220000,chr1,-0.2974634067326141,0.396306420175204
19190000,19200000,0.97,220000,chr1,-0.2647112196789606,0.5011811545285663
20520000,20530000,0.97,220000,chr1,-0.2315829198748852,0.4126364715769199
22880000,22890000,0.97,220000,chr1,-0.0750698323585816,0.4343044339873275
23660000,23670000,0.97,220000,chr1,-0.1338529728924425,0.6802908187007498
24750000,24760000,0.97,220000,chr1,-0.0207249159474062,0.389622791032241
25970000,25980000,0.97,220000,chr1,-0.2432957110596948,0.621267637708433
30520000,30530000,0.97,220000,chr1,-0.170788913349938,0.3812068287766248
32120000,32130000,0.97,220000,chr1,-0.2497301528875058,0.4899848520160905
38450000,38460000,0.97,220000,chr1,-0.2716800267967382,0.3939802617904187
40710000,40720000,0.97,220000,chr1,-0.7719249575173618,0.8239549225376525
41570000,41580000,0.97,220000,chr1,-0.8950234035154386,1.4881242804763146
43110000,43120000,0.97,220000,chr1,-0.1832262212599006,0.5856918765468926
45110000,45120000,0.97,220000,chr1,-0.0339049198871028,0.4254528424290984
47520000,47530000,0.97,220000,chr1,-0.1956872455141312,0.5357875402658988
48250000,48260000,0.97,220000,chr1,-0.227041232493928,0.6457719406168029
49330000,49340000,0.97,220000,chr1,-0.1856524602958406,0.382781342781087
52740000,52750000,0.97,220000,chr1,-0.1067511945563343,0.3816990677843743
56010000,56020000,0.97,220000,chr1,-0.121329777609998,0.5900523529304887
57680000,57690000,0.97,220000,chr1,0.0078180146685624,0.4048002256615157
58980000,58990000,0.97,220000,chr1,-0.492599183467513,1.027145791721794
140000,150000,0.97,130000,chr2,-0.3120076305164201,0.6810668033299969
540000,550000,0.97,130000,chr2,-0.4228650341366075,0.7688802157308687
2910000,2920000,0.97,130000,chr2,-0.4883883117333242,0.5584811297713312
3910000,3920000,0.97,130000,chr2,-0.7780748506308033,1.166348505781948
10260000,10270000,0.97,130000,chr2,-0.6878794758210871,0.9350739118572612
13680000,13690000,0.97,130000,chr2,-2.373093460854036,2.907736540359151
17060000,17070000,0.97,130000,chr2,-0.120767505497464,0.5688711044612712
19390000,19400000,0.97,130000,chr2,-0.6144560843442096,1.0726104622751893
20860000,20870000,0.97,130000,chr2,-0.4057618329245642,0.6819257597249654
22580000,22590000,0.97,130000,chr2,-0.4646000230434751,0.9126713587967752
23170000,23180000,0.97,130000,chr2,-0.4071107385424992,0.6775587301659989
24060000,24070000,0.97,130000,chr2,-0.6338468944836732,1.045255007406094
26820000,26830000,0.97,130000,chr2,-0.3641688909134163,0.7435286734752362
28230000,28240000,0.97,130000,chr2,-2.990274920548301,3.645070081118317
28370000,28380000,0.97,130000,chr2,-2.1242943656577613,1.3407938662873549
28690000,28700000,0.97,130000,chr2,-2.7755522014151417,2.8055529064301075
35280000,35290000,0.97,130000,chr2,-0.2019628563663582,0.7509454706862555
36460000,36470000,0.97,130000,chr2,-0.2965273510025718,0.6643249373872584
41680000,41690000,0.97,130000,chr2,-0.482058563590247,0.7224925563905523
42870000,42880000,0.97,130000,chr2,-0.8619188247386761,1.4067484630004763
45480000,45490000,0.97,130000,chr2,-0.444957871033122,0.8636138365772993
47690000,47700000,0.97,130000,chr2,-0.2380668033732933,0.5949597720832255
49130000,49140000,0.97,130000,chr2,-0.2376751514153642,0.6107200818263556
50990000,51000000,0.97,130000,chr2,-0.3839396694591576,0.7434125642371976
53670000,53680000,0.97,130000,chr2,-2.9563888918966748,3.128846873623793
53890000,53900000,0.97,130000,chr2,-3.161795102437272,3.816590263007289
55320000,55330000,0.97,130000,chr2,-0.2216956953411662,0.6334143087946873
56910000,56920000,0.97,130000,chr2,-1.4974263990469747,2.136280546248447
57220000,57230000,0.97,130000,chr2,-0.544671754306219,0.9544259936979852
58740000,58750000,0.97,130000,chr2,-1.421047459216373,1.85293343517878
59020000,59030000,0.97,130000,chr2,-0.9334490788038312,1.101906595160966
3670000,3680000,0.97,220000,chr3,-0.3760574350300765,0.8432332063565795
6680000,6690000,0.97,220000,chr3,-0.6154069301478514,0.9886188011008404
9900000,9910000,0.97,220000,chr3,-1.2203931209737662,1.5281174748396675
10440000,10450000,0.97,220000,chr3,-0.9608102732914564,0.8920237813827412
11860000,11870000,0.97,220000,chr3,-1.5622425745949895,2.1012203067958355
12500000,12510000,0.97,220000,chr3,-0.1362711049666546,0.4823074776996868
13960000,13970000,0.97,220000,chr3,-0.2599074192766564,0.7863502711504835
17710000,17720000,0.97,220000,chr3,-0.1307515698141771,0.5264163358718584
19530000,19540000,0.97,220000,chr3,-0.1120943785640183,0.4993615365461387
21700000,21710000,0.97,220000,chr3,-0.2378685575589786,0.6396087015349661
22450000,22460000,0.97,220000,chr3,-0.2530110215077092,0.4645839476221405
27470000,27480000,0.97,220000,chr3,-0.2961670319990862,0.5291514397613464
29980000,29990000,0.97,220000,chr3,-0.3734022219059245,0.600294292244344
34010000,34020000,0.97,220000,chr3,-0.4428735760599239,0.4812974248528678
36360000,36370000,0.97,220000,chr3,-0.638011080897142,0.9447229218856296
37500000,37510000,0.97,220000,chr3,-0.3717213812682555,0.6085871674870049
40970000,40980000,0.97,220000,chr3,-0.241811555261289,0.528029523165459
42890000,42900000,0.97,220000,chr3,-0.8045308069024117,1.0407758272702303
46900000,46910000,0.97,220000,chr3,-1.6220201627976358,2.1609978949984816
48750000,48760000,0.97,220000,chr3,-0.1551059482667195,0.4503123934711752
52720000,52730000,0.97,220000,chr3,-0.2119656349613953,0.6254377407198022
55370000,55380000,0.97,220000,chr3,-1.1983476212337254,1.6462049859644827
56860000,56870000,0.97,220000,chr3,-0.5026928205376926,0.7166992658062574
59420000,59430000,0.97,220000,chr3,-1.1152257518640616,1.5551721728919177
60550000,60560000,0.97,220000,chr3,-0.4585894190609554,0.6797867094577642
60890000,60900000,0.97,220000,chr3,-0.3170843214247628,0.5069900706466962
280000,290000,0.97,240000,chr4,-0.2469027586411635,1.0648546889251136
4920000,4930000,0.97,240000,chr4,-0.7441945079551736,1.3419223500346469
5460000,5470000,0.97,240000,chr4,-0.4976622302032424,0.7797864013350406
5850000,5860000,0.97,240000,chr4,-0.4625999634711226,0.5888802800617559
8400000,8410000,0.97,240000,chr4,-0.2773228869531447,0.7480305711213038
14110000,14120000,0.97,240000,chr4,-0.0998078966886602,0.6293474205328152
18160000,18170000,0.97,240000,chr4,-0.0559455353138559,0.543610632726171
18950000,18960000,0.97,240000,chr4,-0.022666921817365,0.4804094794081447
23300000,23310000,0.97,240000,chr4,0.0223336464453207,0.4470084944181085
25670000,25680000,0.97,240000,chr4,-0.0091599000442821,0.5355177591985465
26850000,26860000,0.97,240000,chr4,-1.1531233073572094,1.7774981727898678
28560000,28570000,0.97,240000,chr4,-0.7666136019240428,1.275795611617204
72190000,72200000,0.97,240000,chr4,-1.12741113674527,1.7418548300851586
72890000,72900000,0.97,240000,chr4,-1.0454597849716698,1.3016641503175457
74090000,74100000,0.97,240000,chr4,-0.8859917724423227,1.4666452654373223
74380000,74390000,0.97,240000,chr4,-0.1127789122200129,0.4759863021576232
75070000,75080000,0.97,240000,chr4,-1.1860831715971287,1.8562984654491776
77280000,77290000,0.97,240000,chr4,-1.3379815126770422,0.8243665811509264
77550000,77560000,0.97,240000,chr4,-1.623911902126813,2.441863832410763
170000,180000,0.97,140000,chr5,-0.3080979938998535,0.7876811487851034
1170000,1180000,0.97,140000,chr5,-0.817255424344815,1.27481623418068
1530000,1540000,0.97,140000,chr5,-0.6188083231955467,1.0563721580355083
2400000,2410000,0.97,140000,chr5,-1.438962336937878,2.09159995406301
2780000,2790000,0.97,140000,chr5,-1.419816095321916,2.030701021569093
4810000,4820000,0.97,140000,chr5,-0.499807979597633,0.9170193868487302
6440000,6450000,0.97,140000,chr5,-0.6516646655791759,0.9700308127692728
6670000,6680000,0.97,140000,chr5,-0.7936653815483417,1.4002373528169765
7470000,7480000,0.97,140000,chr5,-0.7887041203633952,1.169867777511005
9840000,9850000,0.97,140000,chr5,-0.1598158393373811,0.5190685523671529
11180000,11190000,0.97,140000,chr5,-0.2878437761553682,0.7325449598833542
12580000,12590000,0.97,140000,chr5,-0.24797387103613,0.5371185648148612
14000000,14010000,0.97,140000,chr5,-0.1870392911793182,0.5445095333308625
15290000,15300000,0.97,140000,chr5,-0.1595254404984704,0.5439982443763456
18500000,18510000,0.97,140000,chr5,-0.3402545202612009,0.4891872006848013
20300000,20310000,0.97,140000,chr5,-0.4777790240888795,0.5624338277901878
26710000,26720000,0.97,140000,chr5,-0.4785023635247567,0.5180622674904249
28850000,28860000,0.97,140000,chr5,-0.5014524822650941,0.9676730904370988
30310000,30320000,0.97,140000,chr5,-0.3631797169219444,0.528891374792975
33330000,33340000,0.97,140000,chr5,-0.2337259623324765,0.4686104900066511
34760000,34770000,0.97,140000,chr5,-0.3967563112797859,0.7677918298474822
36010000,36020000,0.97,140000,chr5,-0.3450512357476678,0.6193338351991247
