bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.9,100000,chr1,-0.019876537143779724,0.6588660330163288
670000,680000,0.9,100000,chr1,-0.17835531699129362,0.7483689734687914
1090000,1100000,0.9,100000,chr1,-0.872794615274596,1.4340617077026296
1340000,1350000,0.9,100000,chr1,-0.8683427548651882,1.4225501062127746
1630000,1640000,0.9,100000,chr1,-0.4489901174784324,0.9031808273633459
2230000,2240000,0.9,100000,chr1,-0.3039714605371506,0.5520843336923749
2510000,2520000,0.9,100000,chr1,-0.7207399656970648,1.1136272891881394
3060000,3070000,0.9,100000,chr1,-0.4809391797495532,0.7506504158619658
3650000,3660000,0.9,100000,chr1,-1.564793897561122,2.789468905916582
4410000,4420000,0.9,100000,chr1,-0.36471437587759997,0.5417087414784989
5210000,5220000,0.9,100000,chr1,-0.3683423563940499,0.5558663992595065
5560000,5570000,0.9,100000,chr1,-0.387853545285914,0.44987819924408834
6360000,6370000,0.9,100000,chr1,-0.4231618732700822,0.6194168641801547
6640000,6650000,0.9,100000,chr1,-0.36048635370855014,0.4853513341226974
7930000,7940000,0.9,100000,chr1,-0.6009609909937301,0.8500666280213707
8480000,8490000,0.9,100000,chr1,-0.4240275748066798,0.6665381216872863
8930000,8940000,0.9,100000,chr1,-0.3276004280277645,0.6014168476002658
10700000,10710000,0.9,100000,chr1,-0.33458022791007846,0.49293900434484805
11130000,11140000,0.9,100000,chr1,-0.48919997828072026,0.8487365447559485
12400000,12410000,0.9,100000,chr1,-0.4182671703172819,0.48736892032987705
13920000,13930000,0.9,100000,chr1,-0.45362516440103356,0.5931253187563998
16440000,16450000,0.9,100000,chr1,-0.39505645531145633,0.901716983605513
16680000,16690000,0.9,100000,chr1,-0.6536905166899173,1.173973832932754
16940000,16950000,0.9,100000,chr1,-0.36874748167417876,0.4666714069224467
18340000,18350000,0.9,100000,chr1,-0.37351116449584365,0.6792748017442816
18800000,18810000,0.9,100000,chr1,-0.36154681313875453,0.6169304313673636
19110000,19120000,0.9,100000,chr1,-0.2938494461780888,0.7163681206515725
19850000,19860000,0.9,100000,chr1,-0.35223036360048404,0.9134356411852509
20720000,20730000,0.9,100000,chr1,-0.30417622802778727,0.5261744781953517
20870000,20880000,0.9,100000,chr1,-0.1594355906041299,0.46003615026262723
21310000,21320000,0.9,100000,chr1,-0.2893985245069026,0.5901519579682205
23240000,23250000,0.9,100000,chr1,-0.34564327221501484,0.6867543964644349
23630000,23640000,0.9,100000,chr1,-0.25372559618082946,0.52896319314924
23910000,23920000,0.9,100000,chr1,-0.582741493192764,1.1504380731219332
25010000,25020000,0.9,100000,chr1,-0.22407062857290877,0.6150593938353823
26050000,26060000,0.9,100000,chr1,-0.10300816390680587,0.6403134356305059
26450000,26460000,0.9,100000,chr1,-0.07622228679281233,0.4665696707143213
26680000,26690000,0.9,100000,chr1,-0.17006979637436115,0.7096648466286054
29140000,29150000,0.9,100000,chr1,0.041655452117181364,0.6968655803438578
29650000,29660000,0.9,100000,chr1,0.013414928013302409,0.7292872270586851
30530000,30540000,0.9,100000,chr1,-0.17817065626453654,0.716976088789354
31710000,31720000,0.9,100000,chr1,-0.31101861744284925,0.7237173706054354
33190000,33200000,0.9,100000,chr1,-0.2755785860210331,0.6285761496558915
35600000,35610000,0.9,100000,chr1,-0.3031140423299655,0.4886081826265736
35890000,35900000,0.9,100000,chr1,-0.3447424971118477,0.5196530575930418
37400000,37410000,0.9,100000,chr1,-0.3322399964180024,0.4714417718551544
38120000,38130000,0.9,100000,chr1,-0.4204900394777125,0.5371398360536376
38810000,38820000,0.9,100000,chr1,-0.45196743089692276,0.8323810035050849
40220000,40230000,0.9,100000,chr1,-0.12036265590695232,0.4726353646096257
40620000,40630000,0.9,100000,chr1,-1.0670227637011638,0.5310157375970085
40710000,40720000,0.9,100000,chr1,-1.303004279738456,2.527679288093916
41570000,41580000,0.9,100000,chr1,-1.0750852242373434,1.2400735234866003
42390000,42400000,0.9,100000,chr1,-0.3217714123610718,0.4856944090760622
43240000,43250000,0.9,100000,chr1,-0.29203295560451153,0.4818696905444632
43680000,43690000,0.9,100000,chr1,-0.34955458124165695,0.5464011897664351
43930000,43940000,0.9,100000,chr1,-0.4171561802195494,0.6691617940094553
45310000,45320000,0.9,100000,chr1,-0.2043121404469884,0.5099291541597266
46030000,46040000,0.9,100000,chr1,-0.7858539035449071,1.2099703507220343
46830000,46840000,0.9,100000,chr1,-0.2619240122793778,0.6499706038399475
47130000,47140000,0.9,100000,chr1,-0.24907656648327894,0.5087545649563315
47590000,47600000,0.9,100000,chr1,-0.26920198067776496,0.5727418841297001
49930000,49940000,0.9,100000,chr1,-0.4176246803909811,0.8699599948390517
50980000,50990000,0.9,100000,chr1,-0.21995542011171776,0.6404210604273894
51390000,51400000,0.9,100000,chr1,-0.2922086314408323,0.5660094609400703
51710000,51720000,0.9,100000,chr1,-0.3424669261785889,0.8214505590393687
52480000,52490000,0.9,100000,chr1,-0.20895033294902565,0.4545448002357454
52750000,52760000,0.9,100000,chr1,-0.30678308094315654,0.673815754983726
53640000,53650000,0.9,100000,chr1,-0.16719235861363263,0.4537400416431036
54180000,54190000,0.9,100000,chr1,-0.21555386883845834,0.5540740782262252
54620000,54630000,0.9,100000,chr1,-0.24568617905472656,0.6501357615780025
55250000,55260000,0.9,100000,chr1,0.06554401503519391,0.5107358269644938
55730000,55740000,0.9,100000,chr1,-0.09673371458046523,0.72294957734483
56210000,56220000,0.9,100000,chr1,0.04342631591804554,0.6305269552572995
58680000,58690000,0.9,100000,chr1,-0.24049031755706918,0.7438068191033372
58970000,58980000,0.9,100000,chr1,-0.6204448776707384,0.7896628937195163
59060000,59070000,0.9,100000,chr1,-0.772537575756436,1.492571481055518
59320000,59330000,0.9,100000,chr1,-0.05111317883401553,0.7735245519803813
150000,160000,0.9,130000,chr2,-0.003818518044619186,0.8073073910970184
360000,370000,0.9,130000,chr2,-0.8576323157083715,2.0373231606732394
2180000,2190000,0.9,130000,chr2,-0.2705543116162166,0.5306580174701949
2910000,2920000,0.9,130000,chr2,-0.5405724375515201,1.1195446317469537
3100000,3110000,0.9,130000,chr2,-0.41764158330885615,0.45940341796514095
3900000,3910000,0.9,130000,chr2,-0.2854253726572045,0.5356730323281852
6580000,6590000,0.9,130000,chr2,-0.24038395484819652,0.4927723781185618
7250000,7260000,0.9,130000,chr2,-0.13373592932752323,0.4520526345658179
8570000,8580000,0.9,130000,chr2,-0.18890330360988333,0.5204846611653551
8860000,8870000,0.9,130000,chr2,-0.3071126454790491,0.5922758493263015
10260000,10270000,0.9,130000,chr2,-0.3999067076212072,0.789208772432207
11060000,11070000,0.9,130000,chr2,-0.07676721021430988,0.5463699966177981
11650000,11660000,0.9,130000,chr2,-0.0808964919394082,0.557908166816598
11910000,11920000,0.9,130000,chr2,-0.21409236023829814,0.7846762160206705
12420000,12430000,0.9,130000,chr2,-0.10755572893363455,0.6107502540924091
12840000,12850000,0.9,130000,chr2,0.020417849800128538,0.6552342227224164
16170000,16180000,0.9,130000,chr2,-0.14365756766039176,0.59450701599771
17070000,17080000,0.9,130000,chr2,-0.23653578539237727,0.6506188927647352
17740000,17750000,0.9,130000,chr2,-0.2351140108922934,0.5909663419950779
18670000,18680000,0.9,130000,chr2,-0.2595887251101095,0.9204072384916844
19150000,19160000,0.9,130000,chr2,-0.1426240339458263,0.4343453029484882
20480000,20490000,0.9,130000,chr2,-0.09021105685544258,0.6115377323443534
20780000,20790000,0.9,130000,chr2,-0.059341166892385305,0.509601856912617
21610000,21620000,0.9,130000,chr2,-0.11384006275270381,0.7636940170992521
21880000,21890000,0.9,130000,chr2,-0.3446708760160383,0.8999601805794162
22110000,22120000,0.9,130000,chr2,0.02585418922006286,0.4872425283691375
23170000,23180000,0.9,130000,chr2,-0.47027834962090254,0.9369625317228327
24060000,24070000,0.9,130000,chr2,-0.714001981420149,1.1868264812624933
25120000,25130000,0.9,130000,chr2,-0.3957011535001047,0.6093249411308571
25790000,25800000,0.9,130000,chr2,-0.375687580209503,0.5071622293950387
27380000,27390000,0.9,130000,chr2,-0.3562680790004446,0.5942853500509347
27580000,27590000,0.9,130000,chr2,-0.5096334026096906,0.9669820519245707
27990000,28000000,0.9,130000,chr2,-0.2953199904504511,0.5355579972748918
28850000,28860000,0.9,130000,chr2,-0.2642909533683842,0.45126403317550806
29650000,29660000,0.9,130000,chr2,-0.30419946382327473,0.5441551541174637
30900000,30910000,0.9,130000,chr2,-0.3096609619459053,0.6433071961133314
32240000,32250000,0.9,130000,chr2,-0.19830272189038567,0.6070103987952691
32840000,32850000,0.9,130000,chr2,-0.23867941294802741,0.5657351469559709
33420000,33430000,0.9,130000,chr2,-0.36763263325855094,0.6162902720518294
33910000,33920000,0.9,130000,chr2,-0.3757322087820843,0.673566618960129
35540000,35550000,0.9,130000,chr2,-0.433995603339006,0.8208559552160679
36230000,36240000,0.9,130000,chr2,-0.2951034900853878,0.5226768797714381
37080000,37090000,0.9,130000,chr2,-0.21907644726922712,0.5053698551983967
37420000,37430000,0.9,130000,chr2,-0.17017416624851134,0.5477904759483387
38700000,38710000,0.9,130000,chr2,-0.4458753817408311,0.45415049782213124
39780000,39790000,0.9,130000,chr2,-0.6103665344980018,0.8992055183816969
40200000,40210000,0.9,130000,chr2,-0.45183656364416747,0.5306253089272748
41570000,41580000,0.9,130000,chr2,-0.513958485506642,0.7124472578035536
41860000,41870000,0.9,130000,chr2,-0.36595418587499784,0.4372498784050366
42390000,42400000,0.9,130000,chr2,-0.8201876588997844,1.3313245720995837
42860000,42870000,0.9,130000,chr2,-0.8136714037436805,0.916033322790575
43130000,43140000,0.9,130000,chr2,-0.5716155546015179,0.4964945030985934
43930000,43940000,0.9,130000,chr2,-0.4701813877999237,0.6640582315286118
44980000,44990000,0.9,130000,chr2,-0.3895441269968888,0.5769859538506856
45490000,45500000,0.9,130000,chr2,-0.5410871660561593,0.9938296983862864
46250000,46260000,0.9,130000,chr2,-0.3316464352287479,0.43994712962762517
47890000,47900000,0.9,130000,chr2,-0.31936100639132403,0.4723911087655164
48330000,48340000,0.9,130000,chr2,-0.49456344623242604,0.4665879405906893
48940000,48950000,0.9,130000,chr2,-0.5034854184487183,0.7071860564179138
49510000,49520000,0.9,130000,chr2,-0.38562450335496656,0.4330322593447034
50050000,50060000,0.9,130000,chr2,-0.48222241206608213,0.5342565730402371
50580000,50590000,0.9,130000,chr2,-0.4647367360779846,0.5330185212042964
52840000,52850000,0.9,130000,chr2,-0.3438325376157059,0.4498472568524276
