bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.85,30000,chr1,-0.30308281852458385,1.3513644417876036
510000,520000,0.85,30000,chr1,0.1853496275152038,0.6252303079106329
610000,620000,0.85,30000,chr1,0.07580437714434994,0.634770232716544
670000,680000,0.85,30000,chr1,-0.18253026420775126,1.070343079283057
850000,860000,0.85,30000,chr1,0.2009617453730848,0.5892593617551665
910000,920000,0.85,30000,chr1,0.1479268893105344,0.6425774683292468
1090000,1100000,0.85,30000,chr1,-1.1972064884859728,1.8532135571590174
1350000,1360000,0.85,30000,chr1,-1.0352952088047527,1.5760637197751732
1630000,1640000,0.85,30000,chr1,-0.25240093556786714,0.7565122597045059
2010000,2020000,0.85,30000,chr1,-0.2911625907524785,0.8109222547169215
2440000,2450000,0.85,30000,chr1,-0.7655574666341142,0.7391410726490344
2510000,2520000,0.85,30000,chr1,-1.0057917956938167,1.5626031864800662
2760000,2770000,0.85,30000,chr1,-0.3394119850427658,0.7798099837274304
3070000,3080000,0.85,30000,chr1,-0.4511781981790496,0.8956825763443037
3460000,3470000,0.85,30000,chr1,-0.1425307931718225,0.5330620438651333
3640000,3650000,0.85,30000,chr1,-1.293086614533394,2.2613997415653033
3830000,3840000,0.85,30000,chr1,-0.5672892642097611,0.8356572705291483
4060000,4070000,0.85,30000,chr1,-0.38313331260234607,0.5000174698051774
4410000,4420000,0.85,30000,chr1,-0.5309593301822996,0.6847372158637175
4520000,4530000,0.85,30000,chr1,-0.5270917980310935,0.6914217912146415
4700000,4710000,0.85,30000,chr1,-0.6868922108938171,0.7730120170037165
4770000,4780000,0.85,30000,chr1,-0.816952065094172,0.5449152911244526
4840000,4850000,0.85,30000,chr1,-0.8317406208228476,1.1301595470664965
5220000,5230000,0.85,30000,chr1,-0.3858368660642294,0.6763426993764816
5350000,5360000,0.85,30000,chr1,-0.3458062995098426,0.5762449050439152
5560000,5570000,0.85,30000,chr1,-0.5741673121852504,0.8215289783898353
5860000,5870000,0.85,30000,chr1,-0.4781525190083063,0.629396270189567
6360000,6370000,0.85,30000,chr1,-0.4413190862279471,0.601941256931516
6630000,6640000,0.85,30000,chr1,-0.44767616745382016,0.5732679753349923
7000000,7010000,0.85,30000,chr1,-0.5825971799389281,0.8960542403707019
7270000,7280000,0.85,30000,chr1,-0.5396255930088206,0.5398776579008445
7670000,7680000,0.85,30000,chr1,-0.39194097137842693,0.5246712474518038
7930000,7940000,0.85,30000,chr1,-0.8964827330206186,1.2307609029865683
8090000,8100000,0.85,30000,chr1,-0.48512824023344614,0.7300262820123776
8190000,8200000,0.85,30000,chr1,-0.4101446337996486,0.64540115466608
8940000,8950000,0.85,30000,chr1,-0.39302637210406316,0.8786126666823426
9650000,9660000,0.85,30000,chr1,-0.4291902423442776,0.5853388740734534
10460000,10470000,0.85,30000,chr1,-0.5832781713529528,0.9192258525804337
11260000,11270000,0.85,30000,chr1,-0.439514917048014,0.6009168783668635
11570000,11580000,0.85,30000,chr1,-0.3832448157310516,0.5231214030083562
12060000,12070000,0.85,30000,chr1,-0.4434550490843949,0.6060815080349262
12250000,12260000,0.85,30000,chr1,-0.3178839588714828,0.6194927495006965
12670000,12680000,0.85,30000,chr1,-0.5928963572347828,0.661632714943376
13000000,13010000,0.85,30000,chr1,-0.5244580072161299,0.5200952014737623
13560000,13570000,0.85,30000,chr1,-0.71857938811537,1.1651164468703388
13720000,13730000,0.85,30000,chr1,-0.6903363053170725,0.673499699713525
14090000,14100000,0.85,30000,chr1,-0.46774401616536204,0.6315290525204327
14190000,14200000,0.85,30000,chr1,-0.43798282292082086,0.5041036423145748
15270000,15280000,0.85,30000,chr1,-0.47714495139215224,0.572231742884992
15470000,15480000,0.85,30000,chr1,-0.48784548304219855,0.5018021002139759
15720000,15730000,0.85,30000,chr1,-0.7194844102246866,1.2089851572553394
16130000,16140000,0.85,30000,chr1,-0.46135031677651733,0.6224500642733319
16330000,16340000,0.85,30000,chr1,-0.4286885259913517,0.5444864403367381
16690000,16700000,0.85,30000,chr1,-0.42309896570924155,0.8948493670446607
16800000,16810000,0.85,30000,chr1,-0.2355173273436107,0.665911663522388
16940000,16950000,0.85,30000,chr1,-0.7636211042982527,1.3932146117086055
17130000,17140000,0.85,30000,chr1,-0.20253795678959288,0.5328340577529603
17320000,17330000,0.85,30000,chr1,-0.43861650479138625,0.7776063946895022
17710000,17720000,0.85,30000,chr1,-0.29022060878916467,0.5603630842272227
17780000,17790000,0.85,30000,chr1,-0.5438700960018356,0.7364141712487151
17980000,17990000,0.85,30000,chr1,-0.5368623679523299,0.6684873177864691
18110000,18120000,0.85,30000,chr1,-0.48482911519789706,0.525075580165133
18340000,18350000,0.85,30000,chr1,-0.6323680715755855,1.010886996684111
18590000,18600000,0.85,30000,chr1,-0.46312091669018485,0.5759902595431381
19070000,19080000,0.85,30000,chr1,-0.2595396232936476,0.5747725957797216
19350000,19360000,0.85,30000,chr1,-0.3018907425350873,0.655914444088647
19520000,19530000,0.85,30000,chr1,-0.3307910633600061,0.7644255598849754
19980000,19990000,0.85,30000,chr1,-0.2839213664653252,0.7150356805655739
20250000,20260000,0.85,30000,chr1,-0.4049853602190842,0.5039408379804732
20710000,20720000,0.85,30000,chr1,-0.5275568595533183,0.8567575827059248
20870000,20880000,0.85,30000,chr1,-0.48064232285441627,0.7796111836984565
21200000,21210000,0.85,30000,chr1,-0.22524958249534313,0.5316072983178989
21300000,21310000,0.85,30000,chr1,-0.5857816124823052,1.0397284363729224
21880000,21890000,0.85,30000,chr1,-0.3337843419612918,0.5900326140683088
22220000,22230000,0.85,30000,chr1,-0.52886446864926,0.9498068359440928
22630000,22640000,0.85,30000,chr1,-0.365089814813178,0.5964323556900522
23000000,23010000,0.85,30000,chr1,-0.4247154652310455,0.6100780302943447
23130000,23140000,0.85,30000,chr1,-0.45568842520610675,0.9560736552587281
23380000,23390000,0.85,30000,chr1,-0.4517717363510825,1.1074235045122571
23630000,23640000,0.85,30000,chr1,-0.274371704313095,0.6824179306203582
23920000,23930000,0.85,30000,chr1,-0.9433055196878055,1.8148417062373237
24760000,24770000,0.85,30000,chr1,-0.1871269017996245,0.5281398425858117
24830000,24840000,0.85,30000,chr1,-0.1963468571790498,0.5807741841865615
25470000,25480000,0.85,30000,chr1,-0.15594504066277745,0.5999252145349236
25830000,25840000,0.85,30000,chr1,-0.2364436438924896,0.8870825225261618
26060000,26070000,0.85,30000,chr1,-0.17768493921672388,0.7306474596832265
26100000,26110000,0.85,30000,chr1,-0.153340648100874,0.5049876689342175
26450000,26460000,0.85,30000,chr1,-0.22014751972461385,0.8159776519565153
26680000,26690000,0.85,30000,chr1,-0.18401938453691233,0.8193493374419462
27120000,27130000,0.85,30000,chr1,-0.07141463979188056,0.5531851582501762
27430000,27440000,0.85,30000,chr1,0.23887907227680988,0.5136923043641244
28010000,28020000,0.85,30000,chr1,0.293847123636905,0.5001995131806917
28170000,28180000,0.85,30000,chr1,0.06706090459790276,0.7997018093033643
28880000,28890000,0.85,30000,chr1,0.1447325080702221,0.6892798170967577
29150000,29160000,0.85,30000,chr1,-0.08933349938931771,0.9437477156002898
29610000,29620000,0.85,30000,chr1,-0.0023902084364145135,0.7562666847748329
30170000,30180000,0.85,30000,chr1,-0.18623790863210363,0.5369524650672658
30400000,30410000,0.85,30000,chr1,-0.27143715795797263,0.6925032738536814
30520000,30530000,0.85,30000,chr1,-0.48062137844639374,1.2006680100486369
31180000,31190000,0.85,30000,chr1,-0.2770951088904564,0.5977082438377965
31710000,31720000,0.85,30000,chr1,-0.5333362234763451,1.1693448592835352
31850000,31860000,0.85,30000,chr1,-0.28875853627766285,0.6110556621847628
32100000,32110000,0.85,30000,chr1,-0.3368936225597948,0.5287987633359766
32400000,32410000,0.85,30000,chr1,-0.5768996746862193,1.0454779505286946
32810000,32820000,0.85,30000,chr1,-0.4611781701157926,0.7997361664393249
32940000,32950000,0.85,30000,chr1,-0.6647830247848375,1.507294347100689
33280000,33290000,0.85,30000,chr1,-0.5448194726163141,0.6542324447287085
34000000,34010000,0.85,30000,chr1,-0.4292920925545112,0.5133466277998245
34180000,34190000,0.85,30000,chr1,-0.6583675536509495,0.9745676067796355
34300000,34310000,0.85,30000,chr1,-0.6041154079105895,0.5547039762957029
34560000,34570000,0.85,30000,chr1,-0.28286207059416346,0.609297066937847
35450000,35460000,0.85,30000,chr1,-0.4017099020394588,0.6870773190564083
35890000,35900000,0.85,30000,chr1,-0.385350270314949,0.5703529901102417
36290000,36300000,0.85,30000,chr1,-0.35542704924591023,0.5005011999297019
36390000,36400000,0.85,30000,chr1,-0.3505756583842069,0.5054921950947859
36960000,36970000,0.85,30000,chr1,-0.43059125996563,0.5362547791750509
37510000,37520000,0.85,30000,chr1,-0.5307605466652425,1.0059416250519768
37560000,37570000,0.85,30000,chr1,-0.28700537641253093,0.5983368848969055
37900000,37910000,0.85,30000,chr1,-0.340378925328174,0.5866128996970681
38130000,38140000,0.85,30000,chr1,-0.43351878296649443,0.7085342227002767
38420000,38430000,0.85,30000,chr1,-0.47542217458720026,0.7918416035389524
38800000,38810000,0.85,30000,chr1,-0.4487774592861302,0.6647929814174834
38950000,38960000,0.85,30000,chr1,-0.4237315430054687,0.6538612397429704
40710000,40720000,0.85,30000,chr1,-2.399171247938366,3.978667502227271
40830000,40840000,0.85,30000,chr1,-0.3267613630485354,0.6302489743486362
41190000,41200000,0.85,30000,chr1,-0.2885471973776481,0.5679242136737379
41570000,41580000,0.85,30000,chr1,-1.5948285613488533,1.998038365636802
41740000,41750000,0.85,30000,chr1,-0.3996158168497276,0.5557333216520124
42070000,42080000,0.85,30000,chr1,-0.48323660163069543,0.5509237757699561
43080000,43090000,0.85,30000,chr1,-0.6202150980513619,0.8741817000100953
43500000,43510000,0.85,30000,chr1,-0.7347246780609648,1.1370923621916806
43550000,43560000,0.85,30000,chr1,-0.4124503685712778,0.5074162576347201
43900000,43910000,0.85,30000,chr1,-0.44245511779498187,0.5781545216209037
44060000,44070000,0.85,30000,chr1,-0.3476677929164917,0.6006817092526129
44440000,44450000,0.85,30000,chr1,-0.4028003728830345,0.8381967987771142
44700000,44710000,0.85,30000,chr1,-0.18546314723036314,0.5679068581256512
45040000,45050000,0.85,30000,chr1,-0.3767676916286042,0.6676161350686975
45300000,45310000,0.85,30000,chr1,-0.46176762833966256,0.9870088630776759
45560000,45570000,0.85,30000,chr1,-0.40722220345665067,0.5644728973604118
45680000,45690000,0.85,30000,chr1,-0.1534282788685195,0.7815145415799074
46030000,46040000,0.85,30000,chr1,-0.6290675869779898,1.4889298165922287
46580000,46590000,0.85,30000,chr1,-0.3063448733167697,0.5857307890850182
46830000,46840000,0.85,30000,chr1,-0.5966294192171923,1.1449081372377268
48600000,48610000,0.85,30000,chr1,-0.5407508294187489,1.0745552051345622
48670000,48680000,0.85,30000,chr1,-0.4357389294252494,0.6144947224213404
49250000,49260000,0.85,30000,chr1,-0.3585745298133039,0.632724010841613
49640000,49650000,0.85,30000,chr1,-0.3320701155404629,0.5533383099419787
49700000,49710000,0.85,30000,chr1,-0.38096081080093863,0.674000826805248
50560000,50570000,0.85,30000,chr1,-0.35099480903378605,0.5824056289079941
50980000,50990000,0.85,30000,chr1,-0.28703740396246563,0.6454552720030873
51380000,51390000,0.85,30000,chr1,-0.23628085285271158,0.5999468308210669
51480000,51490000,0.85,30000,chr1,-0.3402762257063203,0.7288901362111944
51720000,51730000,0.85,30000,chr1,-0.4596297249502855,0.9314738411608396
51830000,51840000,0.85,30000,chr1,-0.4340329205954017,0.7749137411183694
52210000,52220000,0.85,30000,chr1,-0.23072705858994236,0.5343521131888913
52490000,52500000,0.85,30000,chr1,-0.26864798570335163,0.637108569111158
53110000,53120000,0.85,30000,chr1,-0.3557250964502288,0.7860678870274265
53650000,53660000,0.85,30000,chr1,-0.10303555437052943,0.7132257014922199
53970000,53980000,0.85,30000,chr1,-0.09325664292004612,0.5999641696080956
54110000,54120000,0.85,30000,chr1,-0.17597608995613248,0.6323383828787562
54490000,54500000,0.85,30000,chr1,-0.0913428155576135,0.5117528290357728
54620000,54630000,0.85,30000,chr1,-0.2681738774643184,0.9733018352077594
55250000,55260000,0.85,30000,chr1,0.05075747227238196,0.6862731623131784
55680000,55690000,0.85,30000,chr1,0.10904039273660864,0.7737801275491561
55740000,55750000,0.85,30000,chr1,-0.17617854905103977,0.7417955667615613
56190000,56200000,0.85,30000,chr1,-0.3013217718825065,0.8364176070849483
56420000,56430000,0.85,30000,chr1,-0.3333068716869175,1.2889963253600143
56620000,56630000,0.85,30000,chr1,0.10992088819102758,0.7144616064145284
57990000,58000000,0.85,30000,chr1,0.19307978413406907,0.6484980416394275
58550000,58560000,0.85,30000,chr1,0.004309014592844319,0.6672573913097836
58670000,58680000,0.85,30000,chr1,-0.5804456391093603,1.4947180396420026
58840000,58850000,0.85,30000,chr1,0.0061804068194611286,0.7095609502020365
58980000,58990000,0.85,30000,chr1,-1.2202348092170758,2.3113917542852764
59060000,59070000,0.85,30000,chr1,-1.0044105625339674,0.8309044788060609
59230000,59240000,0.85,30000,chr1,0.062310780873875336,0.617744382529437
59320000,59330000,0.85,30000,chr1,-0.10703778630758824,0.9481750858946086
150000,160000,0.85,50000,chr2,-0.9742472229080015,1.5809907211118537
240000,250000,0.85,50000,chr2,-0.9048851464220562,1.349771498032638
350000,360000,0.85,50000,chr2,-1.2731588549749273,1.8292385855843478
540000,550000,0.85,50000,chr2,-0.07556051903444107,0.5603727947754091
810000,820000,0.85,50000,chr2,-0.08356451189911476,0.5041398361486137
1120000,1130000,0.85,50000,chr2,-0.8524406343832476,1.3504059676792095
1220000,1230000,0.85,50000,chr2,-0.4779502120770538,0.7620702779174862
1330000,1340000,0.85,50000,chr2,-0.1696601003009931,0.5543234192944106
1710000,1720000,0.85,50000,chr2,-0.08134189266364711,0.4297367272377788
2180000,2190000,0.85,50000,chr2,-0.19975361512586493,0.49307734014479765
2460000,2470000,0.85,50000,chr2,-0.2770130363276255,0.5351921841960937
2590000,2600000,0.85,50000,chr2,-1.218442616645113,0.8906613322151505
2650000,2660000,0.85,50000,chr2,-1.3570128459993847,3.3927462665679897
2910000,2920000,0.85,50000,chr2,-0.6583320985002787,0.9848440217292179
3090000,3100000,0.85,50000,chr2,-0.3541832489670551,0.5364828051747389
3910000,3920000,0.85,50000,chr2,-0.40259851885997505,0.737930138165465
4030000,4040000,0.85,50000,chr2,-0.13497343066187575,0.44984137900174814
4370000,4380000,0.85,50000,chr2,-0.43364817359141467,0.8146749843874448
4880000,4890000,0.85,50000,chr2,-0.3150918774920762,0.42063778576210253
5600000,5610000,0.85,50000,chr2,-0.23123556340487583,0.43170109711953136
6520000,6530000,0.85,50000,chr2,-0.3682267133628704,0.6331599384603311
6990000,7000000,0.85,50000,chr2,-0.22101769741882005,0.44139138830795754
7250000,7260000,0.85,50000,chr2,-0.17212835220305409,0.5133663040319701
7680000,7690000,0.85,50000,chr2,-0.19614076296042657,0.6026022957260877
8110000,8120000,0.85,50000,chr2,-0.27176412032558733,0.6822301085484657
8510000,8520000,0.85,50000,chr2,-0.18717412674521322,0.4264565477817004
8840000,8850000,0.85,50000,chr2,-0.2501217782834592,0.6014155888412831
9040000,9050000,0.85,50000,chr2,-0.21903337831075664,0.4663598780083751
10130000,10140000,0.85,50000,chr2,-0.05219024375725659,0.4678206666339363
10260000,10270000,0.85,50000,chr2,-0.5573237787620877,1.3573048635866036
10400000,10410000,0.85,50000,chr2,-0.09637407694011588,0.5039681229247022
10950000,10960000,0.85,50000,chr2,-0.13626421622612903,0.5316936225805605
11050000,11060000,0.85,50000,chr2,-0.22031501922410732,0.7606669871156992
11470000,11480000,0.85,50000,chr2,-0.23136257752868924,0.8078860001542207
11910000,11920000,0.85,50000,chr2,-0.18471664938741228,0.7221805655198649
12010000,12020000,0.85,50000,chr2,-0.07205476295508037,0.6108263607283434
12620000,12630000,0.85,50000,chr2,-0.01836919273278479,0.5210194651830677
12840000,12850000,0.85,50000,chr2,-0.19554519522319766,1.0819594354757534
13220000,13230000,0.85,50000,chr2,0.15055645421027128,0.43123973306069496
16090000,16100000,0.85,50000,chr2,-0.1933407867426176,0.6927169020541497
17180000,17190000,0.85,50000,chr2,-0.2892470801373701,0.7469194419839775
17750000,17760000,0.85,50000,chr2,-0.23302641682076117,0.5308118270580392
18250000,18260000,0.85,50000,chr2,-0.19501338029761325,0.47926976825887957
18480000,18490000,0.85,50000,chr2,-0.1899159047143122,0.4406403460843089
18670000,18680000,0.85,50000,chr2,-0.37188215188248674,1.1601257900178799
18950000,18960000,0.85,50000,chr2,-0.2619938883102405,0.4410495688348331
20300000,20310000,0.85,50000,chr2,-0.14915089803077833,0.7908240944622167
20790000,20800000,0.85,50000,chr2,-0.352132646624374,1.0200988315413002
20860000,20870000,0.85,50000,chr2,-0.13245043691598116,0.5140849219813561
20980000,20990000,0.85,50000,chr2,-0.06027712967298777,0.5733862134831804
21070000,21080000,0.85,50000,chr2,-0.24837429640110567,0.8459098817042882
21320000,21330000,0.85,50000,chr2,-0.21179455225347915,0.6216008623100976
21730000,21740000,0.85,50000,chr2,-0.02015474409612844,0.5783644916050419
21900000,21910000,0.85,50000,chr2,-0.2725898658825316,0.7364379788913145
22120000,22130000,0.85,50000,chr2,-0.23454119854430172,0.5996956160257435
22580000,22590000,0.85,50000,chr2,-0.2903826442111287,0.5168746854799888
23170000,23180000,0.85,50000,chr2,-0.4042151680451537,1.1891695145291694
24070000,24080000,0.85,50000,chr2,-0.6699096147182858,1.8285414410060223
24490000,24500000,0.85,50000,chr2,-0.22601351822020138,0.5051509316946192
24900000,24910000,0.85,50000,chr2,-0.2625933045798313,0.42801800106006216
25130000,25140000,0.85,50000,chr2,-0.37464430491925593,0.4301628355643808
25520000,25530000,0.85,50000,chr2,-0.3989722480797523,0.6791375446240846
25800000,25810000,0.85,50000,chr2,-0.34055250194791936,0.42327884355460016
27380000,27390000,0.85,50000,chr2,-0.3465755411382277,0.6046865175689141
27560000,27570000,0.85,50000,chr2,-0.44911740656074867,0.8324914009985912
