bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength,ins_score_sperm.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_5.3.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
100000,110000,0.9,90000,chr1,-0.584854604457431,1.0806445295475893,-0.996138288616187,-0.4358892715916921,-0.04030493845656905,-0.7100369629018348,-0.584854604457431,-0.5314752875789109,-0.7699973754520647
770000,780000,0.9,90000,chr1,-0.3902189385195057,0.8726650729553196,-0.6397072159763643,-0.8117784057774264,-0.1310783893932918,-0.48093461243378616,-0.3902189385195057,-0.001620653692849411,-0.21533629172346752
1090000,1100000,0.9,90000,chr1,-1.0603935473516746,1.619233476119092,-0.7745482757589942,-1.012286666052033,-0.9664076516796029,-1.02115266419384,-1.0603935473516746,-0.39901908919610524,-0.4402765422674502
1340000,1350000,0.9,90000,chr1,-0.9930074727325032,1.4769592314337578,-0.7693160321628074,-0.879065986646903,-0.9421522656701969,-1.0693498700187956,-0.9930074727325033,-1.2800954822849504,-0.9522361135068309
1630000,1640000,0.9,90000,chr1,-0.5194634041884282,0.9579867832724782,-0.4986199390910766,-0.4650435307803513,-0.42216035130838453,-0.538452713729511,-0.5194634041884282,-0.4575541499763795,-1.0472876634892354
2510000,2520000,0.9,90000,chr1,-0.735246666712624,1.0874698518611918,-0.5181210775445788,-0.5857438656755956,-0.7033771143513106,-0.7122791256147657,-0.735246666712624,-0.4325346704744446,-0.4542047707481939
3060000,3070000,0.9,90000,chr1,-0.4366443810579795,0.7393387081393678,-0.710105578283698,-0.7760260940219337,-0.4946828356427912,-0.4879150884136747,-0.43664438105797954,-0.50060797362499,-0.575189166794633
3640000,3650000,0.9,90000,chr1,-1.672408067698902,2.6933435628761857,-1.879708834759352,-1.3590936062111671,-1.4514059394425534,-1.8211763258502747,-1.672408067698902,-1.7534286900313172,-1.539716185911032
4410000,4420000,0.9,90000,chr1,-0.4429610793223591,0.7158718261647816,-0.12763132313017483,-0.21905034973506252,-0.3852709507049107,-0.2424050515604724,-0.4429610793223591,-0.5325741955653465,-0.4093663638628887
5220000,5230000,0.9,90000,chr1,-0.2922419495879186,0.5326360850893773,-0.300526628367411,-0.2764323674435264,-0.33503671291030607,-0.11118728691029842,-0.29224194958791866,-0.12440977364664685,-0.4000535493370823
5580000,5590000,0.9,90000,chr1,-0.3271483602579528,0.5045668503442768,-0.12979306538638422,0.004061944622664319,-0.3011428706903987,-0.11201620799401805,-0.32714836025795285,-0.21532683580848175,-0.22358947731944645
6350000,6360000,0.9,90000,chr1,-0.3442100949436335,0.5163400461795279,-0.06169478234151794,-0.06442917207560532,-0.3759241562186023,-0.07991711037189751,-0.3442100949436335,-0.3334488795816615,-0.38513045506102334
7500000,7510000,0.9,90000,chr1,-0.4282127690331188,0.7144418589399063,-0.12052647839954458,-0.1169276228692755,-0.32237993454155744,-0.3195704613401344,-0.42821276903311883,-0.7837875906801329,-0.5507517632589539
7920000,7930000,0.9,90000,chr1,-0.48368502636888,0.5924917822383989,-0.40994605871074846,-0.16322065792367016,-0.5003211894933435,-0.3249647891018912,-0.48368502636888,-0.4021731692433188,-0.2742711654778061
8480000,8490000,0.9,90000,chr1,-0.5039878293065164,0.7984121047343944,-0.05666298119357061,0.002972691701760041,-0.41675515075116937,-0.3392069061446329,-0.5039878293065164,-0.45181086882708527,-0.3969989619340752
9090000,9100000,0.9,90000,chr1,-0.353504966682133,0.5255099713246488,-0.048321231578143616,0.013372631867764133,-0.30554514319577347,-0.2531660265888527,-0.353504966682133,-0.44944823953410773,-0.2831842486677644
9940000,9950000,0.9,90000,chr1,-0.2969106626182228,0.56418247332057,-0.037189161399443255,-0.11656039210301218,-0.18825615917323651,-0.0901209720100378,-0.29691066261822285,-0.3141590858540633,-0.11700422034577378
10690000,10700000,0.9,90000,chr1,-0.3750331388873433,0.6514657856916396,0.05359583604824953,-0.07493573611854575,-0.30130867424684227,-0.20869035816482953,-0.3750331388873433,-0.4274404286762615,-0.2650777868035398
11110000,11120000,0.9,90000,chr1,-0.4405070846683542,0.6720946535261935,-0.4306038067594413,-0.24732816306251024,-0.45165206631508076,-0.4860641868954562,-0.4405070846683542,-0.5571800951926232,-0.5321786561535198
12410000,12420000,0.9,90000,chr1,-0.3847653004676273,0.5595047983764375,-0.3633164265349494,-0.2953591731470791,-0.3898091868918619,-0.31642349531125324,-0.38476530046762736,-0.7400606435924308,-0.4921803740396799
13920000,13930000,0.9,90000,chr1,-0.4605281490195175,0.7895821760725145,-0.0337150552917115,-0.09550848337813445,-0.4411498617687682,-0.3524239825338254,-0.4605281490195175,-0.41993999654252684,-0.48369155311713224
15180000,15190000,0.9,90000,chr1,-0.2729924059905461,0.6049723602474488,-0.09931658971422759,0.06980754696063762,-0.19838318738361366,-0.15920862905159955,-0.2729924059905461,-0.24631344290615576,-0.3058430191903742
15740000,15750000,0.9,90000,chr1,-0.7006404603095767,1.0751212813290552,-0.5734306687830204,-0.6873350928950456,-0.2315490139150421,-0.5382896866100951,-0.7006404603095767,-0.5899470465746532,-0.4883957416892696
16340000,16350000,0.9,90000,chr1,-0.4579645198842625,0.5575022704891649,-0.1349045176603439,-0.15846447165780103,-0.34909051497135074,-0.2861296431225932,-0.45796451988426257,-0.29868822257753624,-0.16167430548263606
16690000,16700000,0.9,90000,chr1,-0.7217970587973006,1.1961176978193118,-0.7002283422786255,-0.4982402866085714,-0.6067132698785055,-0.459877854279431,-0.7217970587973006,-0.9906776389377643,-0.7923438724970212
16950000,16960000,0.9,90000,chr1,-0.3622508656185963,0.5347186197786136,-0.4823116752970804,-0.392941883066342,-0.39899331379538616,-0.23778544150942046,-0.3622508656185963,-0.4795485823813202,-0.2993809610314711
18330000,18340000,0.9,90000,chr1,-0.4523531103467493,0.5928574433243119,-0.16920070914621343,-0.05587287828212315,-0.32079769052592216,-0.33154864292839265,-0.45235311034674935,-0.615218038565756,-0.493166967501826
18800000,18810000,0.9,90000,chr1,-0.4722212653394943,0.7287544099745865,-0.08424096786723961,0.02978446693435731,-0.40129612009838916,-0.3608427179444329,-0.4722212653394943,-0.4643605985915644,-0.26413208295547075
19330000,19340000,0.9,90000,chr1,-0.3734322730997016,0.8097628820282802,-0.19815322913226005,-0.1655269093694445,-0.15944532023228025,-0.13209919563222966,-0.3734322730997016,-0.27242797030686505,-0.2498327329907494
20730000,20740000,0.9,90000,chr1,-0.3006968639380943,0.6196246497287903,-0.07935178556455376,-0.13095859695279405,-0.28781641936487007,-0.27573026513314847,-0.30069686393809436,-0.5002603175762601,-0.13339644544961038
21320000,21330000,0.9,90000,chr1,-0.3893149614274668,1.0727828706832276,-0.08453571844987098,-0.23626565839317365,-0.2659709209768295,-0.1601990268139554,-0.38931496142746685,-0.39298096333969634,-0.2377050299810164
