bgn,end,bs_threshold,window,ch,insulation_score,boundary_strength
100000,110000,0.97,20000,chr1,-2.770590376203516,3.866288480323213
760000,770000,0.97,20000,chr1,-3.612794581785433,4.807466160999582
1090000,1100000,0.97,20000,chr1,-1.5274315507972307,2.152557285272226
1350000,1360000,0.97,20000,chr1,-2.6170204556894454,3.418989072595456
1640000,1650000,0.97,20000,chr1,-1.6203621745158485,2.560295686226624
2510000,2520000,0.97,20000,chr1,-1.8721934824278907,2.461692032629048
3060000,3070000,0.97,20000,chr1,-1.9032707029252232,2.6173585788631666
3120000,3130000,0.97,20000,chr1,-1.7391067965774265,2.1224261956816486
3640000,3650000,0.97,20000,chr1,-2.436447237795003,3.479381917985301
4560000,4570000,0.97,20000,chr1,-1.123419179318556,2.2246259304511584
4700000,4710000,0.97,20000,chr1,-2.563790308734663,2.6654931547088494
4780000,4790000,0.97,20000,chr1,-3.7403792735349186,5.193047775290971
4840000,4850000,0.97,20000,chr1,-2.070945356781608,2.3044590483906324
5360000,5370000,0.97,20000,chr1,-1.5952347068616393,2.210750651018483
7040000,7050000,0.97,20000,chr1,-1.404010414429834,2.1211941175555022
8870000,8880000,0.97,20000,chr1,-1.3657458358433847,2.049021923406883
13870000,13880000,0.97,20000,chr1,-1.2634848057453028,2.01753984126006
15370000,15380000,0.97,20000,chr1,-1.4709712990190271,2.061505937529456
15730000,15740000,0.97,20000,chr1,-2.971372535829158,1.9985582776967723
15750000,15760000,0.97,20000,chr1,-3.4961189329503726,4.320797693014175
19530000,19540000,0.97,20000,chr1,-1.2494077620362705,2.0327089404445355
23670000,23680000,0.97,20000,chr1,-1.4213945361268032,2.2888174270836
25900000,25910000,0.97,20000,chr1,-1.3511261399719412,2.2667079517566293
27420000,27430000,0.97,20000,chr1,-1.1373901741707313,2.151031938478324
30080000,30090000,0.97,20000,chr1,-1.5081739325621875,2.374042708018565
32120000,32130000,0.97,20000,chr1,-2.321367469101585,3.121614819381475
33110000,33120000,0.97,20000,chr1,-2.2133858849666703,2.9528122985673715
33590000,33600000,0.97,20000,chr1,-1.4261666548302439,2.183503364768163
40720000,40730000,0.97,20000,chr1,-4.472652626074407,5.925321127830459
41570000,41580000,0.97,20000,chr1,-2.323268213731274,2.903913896129088
42620000,42630000,0.97,20000,chr1,-1.485489475600851,1.990402575020536
43290000,43300000,0.97,20000,chr1,-2.624532845051299,3.3348881111690645
49800000,49810000,0.97,20000,chr1,-1.5893388399881578,2.1865245858077533
52050000,52060000,0.97,20000,chr1,-1.9784713159375797,2.3725874404046396
52180000,52190000,0.97,20000,chr1,-2.008481501550304,2.8178288851948095
52380000,52390000,0.97,20000,chr1,-1.8811555248563638,2.866333695635536
52690000,52700000,0.97,20000,chr1,-1.542065459337677,2.1071404753714003
55060000,55070000,0.97,20000,chr1,-1.4051933901113478,2.3179672969369736
55730000,55740000,0.97,20000,chr1,-1.1585827797283552,2.1355213144181113
55760000,55770000,0.97,20000,chr1,-1.1834595319504504,2.2201872060498244
56380000,56390000,0.97,20000,chr1,-1.1246148212509033,2.0391756649714274
57300000,57310000,0.97,20000,chr1,-1.2004334305413045,2.483493850962173
58680000,58690000,0.97,20000,chr1,-1.659565447944264,2.601697197993636
58950000,58960000,0.97,20000,chr1,-3.6363636870974076,3.6516504536541325
58970000,58980000,0.97,20000,chr1,-4.107124162083264,5.469034990330353
59000000,59010000,0.97,20000,chr1,-2.627473161249277,2.236788843689183
59050000,59060000,0.97,20000,chr1,-3.9939701734055166,4.866623503590913
59330000,59340000,0.97,20000,chr1,-1.7626506921247154,2.7618659197870254
150000,160000,0.97,40000,chr2,-1.3372239868266824,1.715181048679213
240000,250000,0.97,40000,chr2,-1.244273008394257,1.2697583455297323
340000,350000,0.97,40000,chr2,-1.101807790505508,1.2607785005788952
670000,680000,0.97,40000,chr2,-0.978218818316401,1.1836705986299898
1120000,1130000,0.97,40000,chr2,-0.9596944851438599,1.3210522281918786
2600000,2610000,0.97,40000,chr2,-2.278761994400578,3.2417940730988404
2910000,2920000,0.97,40000,chr2,-1.0174621175495517,1.3198923590488834
3900000,3910000,0.97,40000,chr2,-0.7558556893082075,1.0282924665455035
10260000,10270000,0.97,40000,chr2,-1.0463106913598161,1.4462840709238522
14480000,14490000,0.97,40000,chr2,-0.9998286955444821,1.7019438750979992
19410000,19420000,0.97,40000,chr2,-0.5621623726936992,1.1655024740158695
20850000,20860000,0.97,40000,chr2,-0.6592861213845476,1.354407762946908
28240000,28250000,0.97,40000,chr2,-2.1195264066019197,2.574529145334449
28370000,28380000,0.97,40000,chr2,-2.390256366467928,2.7124520865672976
28690000,28700000,0.97,40000,chr2,-2.477519538684827,3.4405516173830892
41750000,41760000,0.97,40000,chr2,-2.109571928740763,2.654958452053516
41790000,41800000,0.97,40000,chr2,-2.021801648639987,1.7224800842844141
42390000,42400000,0.97,40000,chr2,-1.122761402855975,1.415603842717999
42870000,42880000,0.97,40000,chr2,-1.501237154594293,2.0502346839725862
43580000,43590000,0.97,40000,chr2,-0.9315907762667902,1.2892992927654356
45480000,45490000,0.97,40000,chr2,-0.9894552598336754,1.3566765309663142
46940000,46950000,0.97,40000,chr2,-0.6774653468882166,1.1464055714372798
52820000,52830000,0.97,40000,chr2,-0.7774484999434917,1.2728755347957355
53180000,53190000,0.97,40000,chr2,-1.5890716155307492,2.146236400087384
53660000,53670000,0.97,40000,chr2,-0.9110133129724325,1.2974719565048376
53880000,53890000,0.97,40000,chr2,-2.4317703126916195,3.0143730035198963
54850000,54860000,0.97,40000,chr2,-0.9106614733090883,1.333222545777334
56920000,56930000,0.97,40000,chr2,-1.8197280851674449,2.433939970218771
57230000,57240000,0.97,40000,chr2,-1.2922383285429206,1.6844474464047068
58120000,58130000,0.97,40000,chr2,-1.231765935271194,1.79070934669268
58670000,58680000,0.97,40000,chr2,-1.2220715092456966,1.7390145980592653
58740000,58750000,0.97,40000,chr2,-1.3714432610745317,1.4212919559572725
59000000,59010000,0.97,40000,chr2,-1.80046678017788,2.5165682866321797
59080000,59090000,0.97,40000,chr2,-1.7672911297512381,1.8358216892337762
1240000,1250000,0.97,20000,chr3,-1.4009381771638203,2.5661618140199662
3820000,3830000,0.97,20000,chr3,-2.3504125453660962,4.875710291289061
5130000,5140000,0.97,20000,chr3,-1.081480724366235,2.1309724560061407
5580000,5590000,0.97,20000,chr3,-0.9999271746484862,2.1933227113759433
6400000,6410000,0.97,20000,chr3,-1.5834177652843375,3.213744760957123
6690000,6700000,0.97,20000,chr3,-1.7198865104635854,2.6762696754354707
8200000,8210000,0.97,20000,chr3,-1.5177330665079565,2.437715170602619
8510000,8520000,0.97,20000,chr3,-3.6725334514667094,4.630336216482112
9360000,9370000,0.97,20000,chr3,-1.3499693339395116,2.1111684376109876
9790000,9800000,0.97,20000,chr3,-1.2306277196547524,2.007155181233634
10450000,10460000,0.97,20000,chr3,-4.0210248489930525,6.6013473759667125
11540000,11550000,0.97,20000,chr3,-1.7241073858918021,2.5642035554158658
13710000,13720000,0.97,20000,chr3,-1.5509870558668246,2.300090301741145
13960000,13970000,0.97,20000,chr3,-3.2901773894328024,4.3512577794554055
14960000,14970000,0.97,20000,chr3,-1.2506189440989723,1.9884752029638602
16380000,16390000,0.97,20000,chr3,-1.3416171968317507,2.1125032292310446
17350000,17360000,0.97,20000,chr3,-1.3198057358421527,2.0819985187593564
17700000,17710000,0.97,20000,chr3,-2.510683977785386,3.4043775298978045
18960000,18970000,0.97,20000,chr3,-2.1082380422474016,2.814764487056191
23360000,23370000,0.97,20000,chr3,-1.2236335163241598,1.9817647909297564
24380000,24390000,0.97,20000,chr3,-1.254234032320697,2.1040741155766725
25470000,25480000,0.97,20000,chr3,-1.21012745643955,2.0017726336130406
26580000,26590000,0.97,20000,chr3,-1.6067088984681632,2.5547105452325245
29990000,30000000,0.97,20000,chr3,-1.2730712024526443,2.0357312919604684
35120000,35130000,0.97,20000,chr3,-1.4608660273696688,2.2926596130476598
38620000,38630000,0.97,20000,chr3,-1.7801682929296336,2.7997409600402996
42890000,42900000,0.97,20000,chr3,-2.1524050428194705,3.0251439555375113
46320000,46330000,0.97,20000,chr3,-2.1907580419070047,3.2706144275437463
47810000,47820000,0.97,20000,chr3,-1.6030736755878645,2.3472905148805636
48580000,48590000,0.97,20000,chr3,-1.3264313802953531,1.9809699741248654
48940000,48950000,0.97,20000,chr3,-1.3673641512685228,2.119079133881778
48990000,49000000,0.97,20000,chr3,-1.5899588017441657,2.3864243472708626
49880000,49890000,0.97,20000,chr3,-1.014086581942391,2.0227865301678207
51140000,51150000,0.97,20000,chr3,-2.715435807533172,3.8326847132065653
53340000,53350000,0.97,20000,chr3,-1.5345937857116105,2.5809859580761714
54090000,54100000,0.97,20000,chr3,-1.2151820048326023,2.240793348998995
54330000,54340000,0.97,20000,chr3,-1.6040677929110878,2.430791380724067
55150000,55160000,0.97,20000,chr3,-1.4502128879592608,2.2056812354209323
56930000,56940000,0.97,20000,chr3,-2.030926760515587,2.9726613671542172
57610000,57620000,0.97,20000,chr3,-1.4191671329134312,2.1268281259234163
58520000,58530000,0.97,20000,chr3,-1.9083043818528027,2.8207395971948452
59080000,59090000,0.97,20000,chr3,-3.264556901667458,4.085898718224455
59420000,59430000,0.97,20000,chr3,-3.4267447919900085,6.007067318963669
60500000,60510000,0.97,20000,chr3,-2.5488015492847045,3.3378092090010743
60890000,60900000,0.97,20000,chr3,-2.0313131374635245,2.7989203749282296
62000000,62010000,0.97,20000,chr3,-3.3579244486694546,4.927059203633618
280000,290000,0.97,20000,chr4,-2.918839849746567,3.918371342110528
1010000,1020000,0.97,20000,chr4,-2.585504020613531,3.3220538826005575
1380000,1390000,0.97,20000,chr4,-3.1226960338158287,4.805673159665749
2280000,2290000,0.97,20000,chr4,-2.931533444556825,3.488587296988933
3420000,3430000,0.97,20000,chr4,-1.7644470312962295,2.453120549411743
8720000,8730000,0.97,20000,chr4,-1.955586774004332,3.0445607247855104
12180000,12190000,0.97,20000,chr4,-1.252178030841741,2.475338179299225
16200000,16210000,0.97,20000,chr4,-1.2106268436184384,2.6815598131597875
19590000,19600000,0.97,20000,chr4,-1.589915011923211,2.4231826060944575
25530000,25540000,0.97,20000,chr4,-1.9276330781614817,3.477791128160975
28550000,28560000,0.97,20000,chr4,-4.277671043917126,3.4506525101752086
28580000,28590000,0.97,20000,chr4,-5.724415919401165,8.378854490837806
29020000,29030000,0.97,20000,chr4,-1.5326787328176457,2.541996500517293
29140000,29150000,0.97,20000,chr4,-3.077236716233755,4.610198613839315
29310000,29320000,0.97,20000,chr4,-1.860560829016723,2.568173877713928
29540000,29550000,0.97,20000,chr4,-1.1327145960947256,2.8020691594227385
30200000,30210000,0.97,20000,chr4,-1.544010429748181,3.36015790616005
44500000,44510000,0.97,20000,chr4,-0.5268977283509403,2.766933456871357
62730000,62740000,0.97,20000,chr4,-0.2630183501093467,2.6133671888647823
70530000,70540000,0.97,20000,chr4,-2.005812211091163,4.593398769400604
72660000,72670000,0.97,20000,chr4,-1.5384463066128544,3.1946063529042186
73530000,73540000,0.97,20000,chr4,-0.8352934056067417,2.4346074336688384
74090000,74100000,0.97,20000,chr4,-2.062255064498164,2.782608049721605
74140000,74150000,0.97,20000,chr4,-1.879174546607198,2.599134786313561
74220000,74230000,0.97,20000,chr4,-2.5123937705092194,3.2453346150235562
74360000,74370000,0.97,20000,chr4,-2.776168353748694,4.100603468496499
74700000,74710000,0.97,20000,chr4,-3.1759636941622484,5.301012347928705
74890000,74900000,0.97,20000,chr4,-1.3654683374328347,2.4614539919829594
75310000,75320000,0.97,20000,chr4,-2.976190198482053,4.272539431401251
77060000,77070000,0.97,20000,chr4,-0.9419729841873897,2.56064890163957
77280000,77290000,0.97,20000,chr4,-1.5232213274757793,2.5200320593128174
77460000,77470000,0.97,20000,chr4,-3.5163793729303965,4.158492602205165
77540000,77550000,0.97,20000,chr4,-6.415095311833688,9.069533883270331
77950000,77960000,0.97,20000,chr4,-0.35475843989370637,2.6547050154424743
160000,170000,0.97,80000,chr5,-0.3482890083791019,1.1268941807568713
920000,930000,0.97,80000,chr5,-0.6048806650568355,0.5849711619888806
1170000,1180000,0.97,80000,chr5,-0.921687922551789,1.3468584242356778
1530000,1540000,0.97,80000,chr5,-1.149906501845942,1.7663698499884386
2400000,2410000,0.97,80000,chr5,-1.9941491541764478,2.8866005241284975
2780000,2790000,0.97,80000,chr5,-1.8186284274867741,2.142592553934431
3050000,3060000,0.97,80000,chr5,-0.49129603089999124,0.711575980420168
3330000,3340000,0.97,80000,chr5,-0.2030385736877098,0.7071064822895164
3450000,3460000,0.97,80000,chr5,-0.18164040355874916,0.7356547398337383
4820000,4830000,0.97,80000,chr5,-0.7931407302921045,1.2053054287160743
6450000,6460000,0.97,80000,chr5,-0.4924004619741658,0.6668960452034938
6670000,6680000,0.97,80000,chr5,-1.3831344516222739,1.9814702288859918
7100000,7110000,0.97,80000,chr5,-0.3860516004344771,0.6800709495227732
7470000,7480000,0.97,80000,chr5,-0.5527037043742118,0.8607931447703658
11260000,11270000,0.97,80000,chr5,-0.2930036952025929,0.5966437241026847
15300000,15310000,0.97,80000,chr5,-0.3936751631614822,0.7162411279507817
20360000,20370000,0.97,80000,chr5,-0.291232299577551,0.6103986475477498
28280000,28290000,0.97,80000,chr5,-0.4492132398619214,0.8134918394839407
28870000,28880000,0.97,80000,chr5,-0.2655824346320808,0.5984875911593733
33040000,33050000,0.97,80000,chr5,-0.3091401872914274,0.6638186793527028
45640000,45650000,0.97,80000,chr5,-0.8171050434386521,1.2636200842569738
46800000,46810000,0.97,80000,chr5,-0.19849282038645155,0.6213064048056989
47740000,47750000,0.97,80000,chr5,-0.5117552981099586,1.0968113011399052
50130000,50140000,0.97,80000,chr5,-0.2259004519953219,0.7916970119596243
59890000,59900000,0.97,80000,chr5,-0.3391785413753488,0.5795272077504409
60340000,60350000,0.97,80000,chr5,-0.397993249163553,0.6827455717046169
62400000,62410000,0.97,80000,chr5,-0.5466135643462452,0.9147801325040722
63060000,63070000,0.97,80000,chr5,-0.4291753865521294,0.637178393259947
67560000,67570000,0.97,80000,chr5,-0.34303551578434427,0.6796032949000465
68400000,68410000,0.97,80000,chr5,-0.5034270940603818,0.6499319605902498
69380000,69390000,0.97,80000,chr5,-0.5072210642764614,0.7708615353967865
70190000,70200000,0.97,80000,chr5,-0.4792358789916619,0.6428262581311912
70630000,70640000,0.97,80000,chr5,-1.3440177167442295,2.236469086696279
70770000,70780000,0.97,80000,chr5,-0.7215728767441368,0.6294894680579513
71020000,71030000,0.97,80000,chr5,-0.8223173663034683,0.7870623001131171
71140000,71150000,0.97,80000,chr5,-1.1763699096801714,1.1571633300471662
71900000,71910000,0.97,80000,chr5,-0.3687609261845267,0.6223714294704099
72370000,72380000,0.97,80000,chr5,-0.3885472677512195,0.6802644815870869
180000,190000,0.97,80000,chr6,-0.9464966261018555,1.4179416921400148
350000,360000,0.97,80000,chr6,-0.7055913454143129,0.9958025608225872
690000,700000,0.97,80000,chr6,-1.154548766861674,1.3292014103404197
1090000,1100000,0.97,80000,chr6,-1.9038194447863779,2.261821952580216
1150000,1160000,0.97,80000,chr6,-1.7037841707775303,0.7436684157847309
1300000,1310000,0.97,80000,chr6,-0.5629286587378817,0.6105829086140165
1780000,1790000,0.97,80000,chr6,-1.7991186576796083,1.8533267659609367
2260000,2270000,0.97,80000,chr6,-1.1118976728503447,1.2972367386810075
2600000,2610000,0.97,80000,chr6,-0.32777966505951467,0.5453714153841076
3840000,3850000,0.97,80000,chr6,-0.4566584448226998,0.6377028644505053
4260000,4270000,0.97,80000,chr6,-0.42921605163120596,0.5981324020726595
5810000,5820000,0.97,80000,chr6,-1.0455935103815743,1.2834361082136188
7860000,7870000,0.97,80000,chr6,-2.5485148210387436,3.2748538701417544
7930000,7940000,0.97,80000,chr6,-2.546888811376144,1.8569311676785905
8800000,8810000,0.97,80000,chr6,-0.32649007137512437,0.5647164022985777
9930000,9940000,0.97,80000,chr6,-1.2026525992820758,1.4850808480845936
14120000,14130000,0.97,80000,chr6,-0.33111498847586895,0.6270601415086867
15150000,15160000,0.97,80000,chr6,-0.3211697108950969,0.7622087256567108
19850000,19860000,0.97,80000,chr6,-0.035139072430459904,0.7077460287564282
