ch,bgn,end,unknown,sim,bs_threshold,window,ins_score_Wild-Type_2.75.danrer11-reduced.mapq_30.1000,ins_score_WT.danrer11-reduced.mapq_30.1000,ins_score_TR.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_11.danrer11-reduced.mapq_30.1000,ins_score_Wild-Type_25.danrer11-reduced.mapq_30.1000
chr6,26980000,26990000,35945,0.5462123758048882,0.9,190000,-0.07124432247338161,0.4857927725839299,0.06608433468047117,0.1673740540834675,-0.02126525493895773
chr2,21790000,21800000,8137,0.5348605867239168,0.9,130000,0.06943620935459424,0.6444809077211857,0.5199965244116181,0.5420742510167895,0.2076442975465445
chr2,27490000,27500000,8707,0.5192688080824603,0.9,130000,-0.06593616448339681,0.45262749586022444,0.4312680021067485,0.7036745737347018,0.3741952964418623
chr24,2420000,2430000,126799,0.51876697769207,0.9,210000,-0.06604450145013335,0.3582791470499041,0.33080630328560817,0.4497321423036096,0.08690182203144464
chr1,29890000,29900000,2989,0.5185540217312562,0.9,100000,0.031335692747087376,0.6995515642319361,0.12983939329576405,0.4640740478448846,0.10829876182382135
chr3,41890000,41900000,16112,0.4964363901544264,0.9,100000,0.061670835432415846,0.6081956221956369,0.25248814324055613,0.6996007732993834,0.1822024007366252
chr6,27980000,27990000,36045,0.4893458288836145,0.9,190000,-0.1349645085272092,0.39827112317485663,0.04506623293806108,0.3108061019512732,0.26506324628473565
chr3,9680000,9690000,12891,0.4881607676732269,0.9,100000,0.3943578633310098,0.4614661406703307,0.4502351231268564,0.6525238023119428,0.3397035545746587
chr9,10700000,10710000,53205,0.4742538120697428,0.9,130000,-0.10892834957605331,0.3203773105976667,0.11212532550039557,0.22764327971553927,-0.08429630736759705
chr23,22820000,22830000,124216,0.4737290874423328,0.9,70000,-0.06901217256359965,0.5519383982822501,0.4190184589694472,0.7669926397414009,0.28149856163566506
chr14,31150000,31160000,80126,0.4668155170027327,0.9,140000,-0.10928282573431951,0.6470162347000024,0.45224880847219007,0.7817312698413597,0.3308639921170544
chr5,19690000,19700000,27965,0.4641780862575126,0.9,190000,-0.032286906518379975,0.24017209833029404,0.15678269291533464,0.7242288933139857,0.4047327444936464
chr12,27550000,27560000,69628,0.4623770591198965,0.9,290000,0.006237553217767844,0.30104304001971594,0.06801734423869618,0.026702702961804242,-0.1088146480506888
chr23,38910000,38920000,125825,0.4603687711736052,0.9,70000,-0.2434414364729835,0.5001240897669651,0.23733056754944454,0.40573400193574416,-0.028938965082902425
chr12,26000000,26010000,69473,0.458926607078192,0.9,290000,-0.03213040014983842,0.1980411199578642,0.048120537670907,0.18944595461000635,0.15694606110040593
chr22,18350000,18360000,119855,0.4579090486928848,0.9,160000,-0.08804316570469704,0.29862627397681446,0.291939192331742,0.2319409595570308,-0.02622103316392281
chr1,18880000,18890000,1888,0.4567142755893647,0.9,100000,0.011849674049942912,0.5043353755382021,0.4487016826688579,0.7504422635255027,0.3697399803150988
chr20,26450000,26460000,110550,0.4549172667474742,0.9,270000,-0.02195121670995675,0.27583382567903597,0.16446091196655555,0.31284834668683753,0.1556883936034269
chr9,46430000,46440000,56778,0.4492991619644452,0.9,130000,0.05256897093380691,0.5699101305969501,0.6032522905026944,0.48109652258766894,0.22428851831446459
chr25,16660000,16670000,132441,0.4465855537380244,0.9,180000,0.007935550827685706,0.3220653373273624,0.2582756394469166,0.30489506980955194,0.059538673051030666
chr7,18520000,18530000,41127,0.4460642923916272,0.9,240000,-0.008486059993296805,0.1225393170210247,0.12247469972673344,0.13388898896893342,-0.0029376792669658885
chr22,21640000,21650000,120184,0.445008756367953,0.9,160000,-0.11433441268675941,0.4407527218381005,0.18726003571166855,0.442980976215089,0.16705231557244518
chr15,18050000,18060000,84083,0.4431220677534011,0.9,170000,-0.0053019155158528395,0.37748629668525185,0.07087919350094589,0.46943746098032146,0.23926596364359998
chr6,45900000,45910000,37837,0.4420120407107061,0.9,190000,-0.08751444100352082,0.09007765265055157,-0.06701588761882979,0.09481544506701993,-0.09077485933902696
chr10,42620000,42630000,62043,0.4406653921170428,0.9,200000,0.09364741632597699,0.5388796404932137,0.2602309955997055,0.5101161846332671,0.2297588462723613
chr3,54660000,54670000,17389,0.4374344367858871,0.9,100000,0.11108813833602896,0.7630228158183324,0.36446162329496884,0.633123898929229,0.15091782848483679
chr16,23260000,23270000,89409,0.435420934895725,0.9,150000,-0.004963771239827466,0.3440268980537377,0.08728934621239155,0.24935359922141262,0.22345898736581124
chr20,42340000,42350000,112139,0.4343046644471282,0.9,270000,-0.0980765016342662,0.15526403509514858,-0.07355044470100378,0.194341284523709,0.055226543018921326
chr11,8580000,8590000,63182,0.430499308016707,0.9,190000,-0.0430409647058812,0.4816785306252127,0.5387955829694197,0.73793065609061,0.4829811387969749
chr5,22060000,22070000,28202,0.4274259596994568,0.9,190000,-0.14789009806968487,-0.011196979502727779,-0.03013453631903156,-0.06343759265748314,-0.15119841884724178
chr14,32730000,32740000,80284,0.4270165542316639,0.9,140000,-0.04949633044620817,0.5874391146862341,0.17100389538913896,0.46634419870415333,0.2175929699341024
chr14,37610000,37620000,80772,0.4230030335159878,0.9,140000,-0.1017652622564156,0.29419250767832195,0.07392371759215448,0.36122516748448097,0.1799239190706296
chr12,8990000,9000000,67772,0.4214091355209772,0.9,290000,0.04329639082501421,0.4785796416387434,-0.018545765587180043,0.5127963444721604,0.21628972315703118
chr13,9370000,9380000,72729,0.4208672424665652,0.9,200000,0.879024040737455,1.6923846584899955,0.9529723910608536,0.78235209622455,0.5583950747740674
chr23,29680000,29690000,124902,0.4146329222323591,0.9,70000,0.13346509521178565,0.5521201264511953,0.2178276792373568,0.13952529459681412,0.13208751331992424
chr3,35480000,35490000,15471,0.4141573393109415,0.9,100000,0.05003623439420285,0.4185746600781186,0.16567413169266623,0.5367025999282565,0.3144047764902264
chr1,20810000,20820000,2081,0.407372174485439,0.9,100000,0.1242827867408072,0.2502316175394258,0.20976958491901743,0.2760001501312659,0.2211519855553055
chr7,56240000,56250000,44899,0.4069234966759619,0.9,240000,0.21050201286384468,0.7598094665930992,0.5133296907624094,0.7006208771870837,0.3385412974277005
chr1,25130000,25140000,2513,0.4046623862558686,0.9,100000,0.01645481715905569,0.47677741270526125,0.11865595788786154,0.2222134008938383,-0.03498181559873327
chr4,22460000,22470000,20432,0.4042464568056277,0.9,170000,0.024454111987381795,0.4102082011109286,0.31176570688971117,0.40084777779539266,0.3233531163149432
chr2,34000000,34010000,9358,0.4037390490728095,0.9,130000,-0.06457391862002525,0.2870285923542301,0.3107072404354863,0.5967084221120628,0.06816349183945827
chr13,18460000,18470000,73638,0.4027041008713642,0.9,200000,0.2563125099838278,0.49957566955973365,0.20719874465274996,0.4501301196191852,0.12451952202093126
chr13,30820000,30830000,74874,0.402306270067398,0.9,200000,0.07438315226812164,0.41582476646599764,0.1483993982407359,0.4581867839025752,0.323543565292197
chr8,10980000,10990000,47802,0.4012192208877911,0.9,190000,-0.08444672091015186,0.19093921703386685,0.1353953292637361,0.3206024054344771,0.05034622831384604
chr4,21560000,21570000,20342,0.3992575854437054,0.9,170000,-0.013814842139843632,0.44262266129197253,0.2335711417563465,0.4382220081071921,0.4075454618939603
chr24,14490000,14500000,128006,0.397884238320004,0.9,210000,0.07422949811912229,0.2726444866936793,-0.12785219552590893,0.07410696470819104,-0.043870849935123156
chr8,51500000,51510000,51854,0.3978829992875251,0.9,190000,0.03922806918612748,0.5226840510120123,0.24572972058687842,0.6288645790783456,0.4543736113619015
chr2,33080000,33090000,9266,0.3977277666067939,0.9,130000,-0.04703250736293433,0.3270557340079435,0.16724419149035144,0.5441705398224151,0.30375797139290056
chr6,36600000,36610000,36907,0.396398504558124,0.9,190000,0.01672177559063321,0.30338284524488285,0.1931826777626875,0.709669395808322,0.4664465432688455
chr19,29760000,29770000,106036,0.3961515631007779,0.9,160000,-0.11856618800669758,0.37235511048988457,0.27308577355301084,0.17560788816010242,0.0643168640198221
chr10,28090000,28100000,60590,0.395262745214868,0.9,200000,-0.10370983132520463,0.29705263145701744,0.06420036277561114,0.32415123326512685,0.20307396940722494
chr11,33390000,33400000,65663,0.3948456653325159,0.9,190000,-0.04991439739819565,0.16981849316445363,0.22713715154885383,0.1797063173039251,0.19881869421620743
chr7,48630000,48640000,44138,0.3942973993691523,0.9,240000,0.047568157562036834,0.31955349026658014,0.34384920554117215,0.3364301005205079,0.26530985778878896
chr4,75400000,75410000,25726,0.3942936012736413,0.9,170000,0.9089258304497267,0.8842761094817548,1.3061813190836897,1.1408926001976871,0.6726146926183617
chr2,12320000,12330000,7190,0.3938347055205269,0.9,130000,0.10251609510416873,0.4241921794279266,0.0786895156986508,0.16697328004838538,0.1006962770041071
chr10,33320000,33330000,61113,0.3936803834619072,0.9,200000,-0.04227940868919785,0.08999170138641077,-0.022987679059264257,-0.26158814877591496,-0.36030109597515864
chr22,35970000,35980000,121617,0.3931138853663972,0.9,160000,0.22103074061206848,0.395729184057077,0.4685259221597386,0.49957079093843876,0.13438121112521448
chr18,44130000,44140000,102370,0.3923344977625135,0.9,220000,0.005499431389320323,0.36028029547602813,0.35207698770500756,0.8699022497486789,0.5305305984639759
